date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,EG,88553000,2.02,43838119,1332119000,91410000,7486320000,638367000,237141000,401226000,270204000,270204000,170.77192568412892,0.011828642109875078,0.004084112620651922,0.012716055643945727,0.08527113454941813
2015-12-31,2015-12-31,EG,357281000,8.32,42942428,1561952000,464712000,7608585000,632958000,349300000,283658000,320838000,320838000,177.18106204893678,0.04695761432644835,0.0166749781517233,0.04962474863772257,0.08318997553421563
2016-03-31,2016-03-31,EG,171686000,4.03,42601985,1242046000,186295000,7840299000,638369000,309426000,328943000,375476000,375476000,184.03600207830692,0.021897889353454505,0.008232029242245366,0.022164375426952713,0.08142151211324976
2016-06-30,2016-06-30,EG,155692000,3.7,42078919,1427884000,195372000,7985468000,633067000,203780000,429287000,308090000,308090000,189.77360136081444,0.019496916148183174,0.007315605665304416,0.01993765482301395,0.07927738236506614
2016-09-30,2016-09-30,EG,295394000,7.11,41546273,1510456000,329780000,8041092000,633122000,197327000,435795000,277182000,277182000,193.5454475062059,0.03673555780732269,0.013635825225607325,0.036849362960160094,0.07873582344288561
2016-12-31,2016-12-31,EG,373572000,9.14,40872210,1613960000,424625000,8075396000,633176000,151254000,481922000,422274000,422274000,197.57669086159032,0.046260517750460785,0.017520902840625126,0.046397087857566445,0.0784080433950236
2017-03-31,2017-03-31,EG,291643000,7.12,40961096,1484778000,347377000,8347876000,633231000,164991000,468240000,381812000,381812000,203.80011316103455,0.03493619215235109,0.013141243528970661,0.035166547315413875,0.07585534332325972
2017-06-30,2017-06-30,EG,245674000,5.98,41082609,1530611000,283592000,8584798000,633285000,164080000,469205000,252550000,252550000,208.96428461980105,0.02861733030876207,0.010908231462446915,0.028901953041551298,0.07376818883799013
2017-09-30,2017-09-30,EG,-639374000,-15.73,40646790,1725471000,-896801000,7969331000,633340000,47945000,585395000,409856000,409856000,196.0629855395715,-0.08022931912352492,-0.026711514647499993,-0.1446085500122928,0.07947216648423813
2017-12-31,2017-12-31,EG,571025000,13.92,41021911,1867211000,702619000,8369232000,633395000,-1672000,635067000,118475000,118475000,204.01857924171304,0.06822908003984117,0.02420439278203199,0.0689605671405046,0.07568137673803284
