date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-27,EIX,449000000,1.29,326000000,3763000000,1153000000,11600000000,12406000000,12272000000,134000000,128000000,1065000000,35.58282208588957,0.038706896551724136,0.008757558026136142,0.021772949914946795,1.0694827586206896
2015-12-31,2016-02-23,EIX,-50000000,-0.15,326000000,2341000000,869000000,11368000000,11873000000,11712000000,161000000,585000000,1676000000,34.87116564417178,-0.004398311048557354,-0.0009938382031405286,-0.003163089183737251,1.0444229415904294
2016-03-31,2016-05-02,EIX,311000000,0.86,326000000,2440000000,972000000,11439000000,11901000000,11764000000,137000000,-98000000,853000000,35.08895705521472,0.027187691231751028,0.006163419806179274,0.018059045124510797,1.040388145816942
2016-06-30,2016-07-28,EIX,311000000,0.86,326000000,2777000000,929000000,11557000000,12341000000,12230000000,111000000,-301000000,576000000,35.45092024539877,0.026910097776239508,0.00607457468211028,0.02001644907433784,1.0678376741368867
2016-09-30,2016-11-01,EIX,452000000,1.29,326000000,3767000000,1268000000,11814000000,12045000000,11961000000,84000000,126000000,1071000000,36.239263803680984,0.038259691890976805,0.008766995752274182,0.023747295224309926,1.0195530726256983
2016-12-31,2017-02-21,EIX,377000000,1.06,326000000,2884000000,1101000000,11996000000,12463000000,12367000000,96000000,-205000000,756000000,36.79754601226994,0.031427142380793596,0.0073462070578148445,0.02021594741044056,1.0389296432144048
2017-03-31,2017-05-01,EIX,393000000,1.11,326000000,2463000000,1024000000,12051000000,12938000000,12788000000,150000000,-60000000,879000000,36.966257668711656,0.03261140154344038,0.007595670660997294,0.022596430100757972,1.0736038503028795
2017-06-30,2017-07-27,EIX,309000000,0.85,326000000,2965000000,1016000000,12146000000,12809000000,12711000000,98000000,-256000000,554000000,37.25766871165644,0.025440474230199243,0.005857486778003147,0.018331242768336378,1.054585871891981
2017-09-30,2017-10-30,EIX,502000000,1.44,326000000,3672000000,1133000000,12416000000,13129000000,13012000000,117000000,346000000,1257000000,38.08588957055215,0.04043170103092784,0.009367069711897298,0.027091198678621992,1.0574259020618557
2017-12-31,2018-02-22,EIX,-515000000,-1.58,326000000,3220000000,520000000,11671000000,14516000000,13425000000,1091000000,-271000000,897000000,35.80061349693251,-0.044126467312141204,-0.009794598706732598,-0.0005006656790864257,1.24376660097678
2018-03-31,2018-05-01,EIX,248000000,0.67,326000000,2564000000,860000000,11696000000,13916000000,13811000000,105000000,-278000000,859000000,35.877300613496935,0.021203830369357045,0.004774464316654794,0.01713162282187382,1.1898084815321477
2018-06-30,2018-07-26,EIX,306000000,0.85,326000000,2815000000,1064000000,11779000000,14624000000,14525000000,99000000,-551000000,453000000,36.1319018404908,0.02597843620001698,0.005793260128739114,0.018385246971265964,1.2415315391798964
