date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-02,EL,309300000,0.83,372500000,2834700000,554000000,3490400000,2066200000,1657700000,408500000,-81700000,8200000,9.370201342281879,0.08861448544579417,0.036710423244000284,0.06269536590369966,0.5919665367866147
2015-12-31,2016-02-05,EL,446200000,1.21,369600000,3124800000,737000000,3603800000,1981700000,1113600000,868100000,820600000,954100000,9.750541125541126,0.1238137521505078,0.05199193670546836,0.09773902447833004,0.5498917808979411
2016-03-31,2016-05-03,EL,265600000,0.72,369100000,2656500000,491000000,3811800000,1925300000,1369000000,556300000,242900000,353900000,10.327282579246816,0.06967836717561257,0.030126016582920273,0.05393350304945093,0.5050894590482187
2016-06-30,2016-08-24,EL,93500000,0.25,368800000,2646300000,258700000,3572000000,2242000000,1328000000,914100000,281600000,472500000,9.685466377440347,0.026175811870100783,0.010137369488144157,0.022155760943450894,0.6276595744680851
2016-09-30,2016-11-02,EL,294000000,0.8,366400000,2865000000,530000000,3657000000,2500000000,1836000000,664000000,-235000000,-150000000,9.98089519650655,0.08039376538146022,0.031450577663671375,0.0566947601707384,0.6836204539239814
2016-12-31,2017-02-02,EL,428000000,1.17,366900000,3208000000,734000000,3793000000,4033000000,2771000000,1262000000,851000000,974000000,10.337966748432816,0.1128394410756657,0.038173385658223334,0.06791082673166769,1.0632744529396256
2017-03-31,2017-05-03,EL,298000000,0.81,367000000,2857000000,554000000,4119000000,3896000000,2757000000,1139000000,320000000,428000000,11.223433242506813,0.07234765719834911,0.02603757099169943,0.046631591134208936,0.9458606457878126
2017-06-30,2017-08-25,EL,229000000,0.62,368100000,2894000000,366000000,4384000000,3572000000,2436000000,1136000000,360000000,548000000,11.909807117631079,0.05223540145985402,0.019795988934993083,0.03893776474421636,0.8147810218978102
2017-09-30,2017-11-01,EL,427000000,1.16,368400000,3274000000,707000000,4731000000,3935000000,2491000000,1444000000,-23000000,93000000,12.842019543973942,0.09025575988163179,0.03499426323553516,0.06290231376602257,0.8317480448108222
2017-12-31,2018-02-02,EL,123000000,0.33,368700000,3744000000,851000000,4565000000,3787000000,1682000000,2105000000,1210000000,1357000000,12.381339842690535,0.026944140197152244,0.00975880672802285,0.020937586273295245,0.8295728368017524
2018-03-31,2018-05-02,EL,372000000,1.01,367900000,3370000000,646000000,4711000000,3659000000,1519000000,2140000000,376000000,481000000,12.805110084262028,0.07896412651241774,0.02912621359223301,0.06415930979133226,0.7766928465293993
