date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,ETN,446000000,0.96,465100000,5203000000,785000000,15366000000,8672000000,8254000000,418000000,851000000,973000000,33.03805633197162,0.029025120395678772,0.013850501537219341,0.021122426092807577,0.5643628790836913
2015-12-31,2016-02-24,ETN,532000000,1.15,461400000,5057000000,851000000,15186000000,8449000000,8181000000,268000000,604000000,742000000,32.91287386215865,0.035032266561306466,0.01714414617640424,0.025199779314556563,0.5563677070986435
2016-03-31,2016-04-29,ETN,404000000,0.88,458600000,4813000000,715000000,15519000000,8645000000,8312000000,333000000,277000000,388000000,33.83994766681204,0.02603260519363361,0.012791691732894279,0.01909154413307432,0.5570590888588183
2016-06-30,2016-08-02,ETN,491000000,1.08,457000000,5080000000,850000000,15320000000,8414000000,8091000000,323000000,610000000,745000000,33.52297592997812,0.03204960835509139,0.015760415997945688,0.02318194341959001,0.5492167101827676
2016-09-30,2016-11-01,ETN,523000000,1.15,453900000,4987000000,865000000,15404000000,8432000000,7938000000,494000000,698000000,798000000,33.936990526547696,0.03395222020254479,0.016742965073470565,0.02466578232797003,0.5473902882368216
2016-12-31,2017-02-22,ETN,504000000,1.12,450500000,4867000000,848000000,14897000000,8277000000,7734000000,543000000,487000000,638000000,33.067702552719204,0.033832315231254614,0.01656859199842204,0.024856433174720603,0.5556152245418541
2017-03-31,2017-05-02,ETN,434000000,0.97,448800000,4848000000,750000000,15157000000,8213000000,7991000000,222000000,347000000,463000000,33.7722816399287,0.028633634624266015,0.014177909901669335,0.02111599721134767,0.5418618460117437
2017-06-30,2017-08-01,ETN,516000000,1.16,446300000,5132000000,860000000,15552000000,8605000000,8293000000,312000000,444000000,574000000,34.846515796549404,0.033179012345679014,0.01645670546962207,0.023993554866406946,0.5533050411522634
2017-09-30,2017-10-31,ETN,1401000000,3.16,442600000,5211000000,1986000000,16593000000,8772000000,7981000000,791000000,645000000,750000000,37.4898328061455,0.08443319472066534,0.04281130634071811,0.05905107959800584,0.5286566624480202
2017-12-31,2018-02-28,ETN,639000000,1.44,440300000,5213000000,929000000,17253000000,7751000000,7190000000,561000000,710000000,879000000,39.184646831705656,0.037037037037037035,0.01960122699386503,0.028592956584513995,0.44925520199385616
2018-03-31,2018-05-01,ETN,488000000,1.11,438800000,5251000000,865000000,17263000000,7877000000,7560000000,317000000,208000000,339000000,39.341385597082954,0.028268551236749116,0.014938165789151463,0.022049562228007927,0.45629380756531307
2018-06-30,2018-07-31,ETN,610000000,1.4,435200000,5487000000,989000000,16690000000,7685000000,7429000000,256000000,350000000,499000000,38.35018382352941,0.03654883163571001,0.01914326063078613,0.027814894280795286,0.4604553624925105
