date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,EVRG,138003000,0.97,141622697,732829000,336790000,3663269000,3411932000,3408103000,3829000,200189000,351799000,25.866397672118897,0.03767209014680604,0.013038734877167868,0.024135475679995078,0.9313899689048224
2015-12-31,2015-12-31,EVRG,39235000,0.28,141713000,545965000,199206000,3656721000,3580656000,3577425000,3231000,-82803000,130910000,25.80370890461708,0.010729557983778363,0.0036648817551378867,0.009519878610646192,0.9791985770858647
2016-03-31,2016-03-31,EVRG,65585000,0.46,141992846,569450000,239730000,3671390000,3619120000,3615649000,3471000,18027000,238876000,25.85616179564427,0.01786380635127295,0.006069539702433841,0.012980604128367214,0.9857628854466565
2016-06-30,2016-06-30,EVRG,72340000,0.51,142033842,621448000,249097000,3695133000,3827768000,3822555000,5213000,-192977000,89805000,26.015863177171536,0.019577103178694787,0.00659390221737053,0.013573232745767362,1.0358945131338981
2016-09-30,2016-09-30,EVRG,154720000,1.09,142090706,764654000,371320000,3800967000,3834181000,3830244000,3937000,45587000,363892000,26.75028583502147,0.04070543101268703,0.013759716154273169,0.024320869358548144,1.008738302647721
2016-12-31,2016-12-31,EVRG,53932000,0.38,142152000,606535000,212551000,3805875000,4018421000,4015355000,3066000,-135187000,129847000,26.773277899712983,0.01417072289552337,0.004695016328788341,0.011060271486657476,1.0558468157782377
2017-03-31,2017-03-31,EVRG,59661000,0.42,142436622,572574000,222182000,3805793000,4023253000,4019894000,3359000,61723000,237123000,26.719202874665196,0.01567636495206124,0.005180889559284413,0.012062127070417082,1.0571392085696727
2017-06-30,2017-06-30,EVRG,72065000,0.5,142500000,609300000,256006000,3825529000,4126571000,4123361000,3210000,-82026000,126201000,26.84581754385965,0.018837917579503385,0.006214562591894724,0.013168243470984657,1.0786929075691232
2017-09-30,2017-09-30,EVRG,158306000,1.11,142500000,794300000,361200000,3929003000,3985919000,3982531000,3388000,198003000,378998000,27.571950877192982,0.04029164650676011,0.013617281162973238,0.024241123344230977,1.014486117725031
2017-12-31,2017-12-31,EVRG,33888000,0.24,142479000,594781000,220114000,3908100000,4073200000,4069800000,3400000,-29907000,170116000,27.429305371317877,0.008671221309587779,0.002915247238567152,0.007149399009187595,1.042245592487398
2018-03-31,2018-03-31,EVRG,60485000,0.42,142600000,600200000,211800000,3909712000,4059490000,4048324000,11166000,84863000,259628000,27.417335203366058,0.015470448974246697,0.005205084279165317,0.012712303757879396,1.0383092156148586
2018-06-30,2018-08-08,EVRG,101800000,0.56,180900000,893400000,250500000,10938100000,8816100000,7536000000,1280100000,-122863000,137572000,60.46489773355445,0.009306918020497162,0.0038185548757844355,0.011189197028682655,0.8059992137574168
2018-09-30,2018-11-07,EVRG,355000000,1.32,268600000,1582500000,717600000,10688900000,8301700000,7622000000,679700000,531300000,794400000,39.794862248696944,0.033212023688125064,0.013614468920660244,0.023542912844371464,0.7766655128217123
2018-12-31,2019-02-22,EVRG,18500000,0.0865,213900000,1199800000,361600000,10028200000,8526700000,8366400000,160300000,-65200000,306200000,46.88265544647032,0.0018447976705689955,0.0007227098886245463,0.003025392268721423,0.8502722323049002
