date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,EW,118100000,0.18,645600000,615500000,174300000,2421400000,604900000,-41200000,646100000,176500000,202500000,3.7506195786864933,0.04877343685471215,0.030464840323995254,0.05129684417568586,0.2498141570991988
2015-12-31,2016-02-19,EW,140700000,0.22,647400000,671100000,190400000,2503100000,596900000,-121500000,718400000,62500000,103800000,3.8663886314488725,0.056210299228956095,0.0346611484738748,0.06070522710038438,0.23846430426271423
2016-03-31,2016-04-29,EW,143000000,0.22,639300000,697300000,218400000,2299300000,602200000,100800000,501400000,79400000,107100000,3.596590020334741,0.062192841299525944,0.03710623280917536,0.06582172551321,0.2619057974166051
2016-06-30,2016-07-29,EW,126600000,0.2,636600000,759300000,199000000,2471200000,602500000,232600000,369900000,112100000,190300000,3.8818724473766886,0.051230171576562,0.03124845732339438,0.050147699205720105,0.2438086759469084
2016-09-30,2016-10-28,EW,141400000,0.22,639600000,739400000,203400000,2691800000,600600000,-44400000,645000000,157600000,205900000,4.208567854909318,0.05252990563934914,0.032588153952523624,0.053410893707033315,0.22312207444832455
2016-12-31,2017-02-17,EW,158500000,0.25,641100000,767700000,228100000,2619000000,822300000,-107800000,930100000,137900000,201100000,4.085166120729995,0.0605192821687667,0.03514412416851441,0.06582585863634312,0.31397479954180985
2017-03-31,2017-04-28,EW,230200000,0.36,633600000,883500000,317200000,2742700000,847900000,28600000,819300000,109700000,128300000,4.328756313131313,0.08393189193130857,0.04815496611162246,0.08377301261637507,0.3091479199329128
2017-06-30,2017-07-28,EW,186100000,0.29,631500000,841800000,226000000,2939600000,1016800000,508600000,508200000,136000000,197700000,4.65494853523357,0.06330793305211593,0.03621679478447017,0.05436393871093179,0.3458974010069397
2017-09-30,2017-10-27,EW,170100000,0.27,633900000,821500000,232500000,3162500000,1034000000,403700000,630300000,267500000,310800000,4.988957248777409,0.05378656126482213,0.030992639020479558,0.04769782962256744,0.3269565217391304
2017-12-31,2018-02-16,EW,35700000,0.0565,632400000,888500000,342900000,2994700000,1036400000,218100000,818300000,312000000,363900000,4.735452245414295,0.011921060540287841,0.006267006056350391,-0.0008655944299369459,0.34607807125922463
2018-03-31,2018-04-27,EW,206600000,0.33,630600000,894800000,282600000,3245700000,1054600000,-172400000,1227000000,105100000,151300000,5.147002854424358,0.06365344917891363,0.03546720227978919,0.06722415644421306,0.3249222047632252
2018-06-30,2018-07-27,EW,282700000,0.45,628500000,943700000,270400000,3164200000,1193100000,-33300000,1226400000,87400000,140200000,5.034526650755768,0.08934327792174958,0.04971773271662475,0.0903654728557742,0.37706213260855825
2018-09-30,2018-10-26,EW,225900000,0.36,627000000,906600000,270000000,3361300000,1193500000,-67800000,1261300000,260200000,342300000,5.360925039872408,0.06720614048136138,0.037914135141485686,0.06916881095801707,0.35507095469014965
2018-12-31,2019-02-15,EW,7000000,0.01,624300000,977700000,18100000,3140400000,593800000,-120300000,714100000,232400000,293000000,5.030273906775589,0.0022290154120494206,0.0013148749929560268,0.0023178040462236353,0.18908419309642083
2019-03-31,2019-04-26,EW,249700000,0.4,623700000,993000000,304300000,3447500000,666200000,-43000000,709200000,-57500000,1500000,5.52749719416386,0.07242929659173314,0.04565483699925036,0.07334410339256867,0.19324147933284988
2019-06-30,2019-07-26,EW,242300000,0.39,624400000,1086900000,299100000,3500300000,668300000,-58500000,726800000,269400000,341200000,5.605861627162076,0.06922263805959489,0.04347358033551628,0.07039920971584636,0.19092649201497014
2019-09-30,2019-10-25,EW,274700000,0.44,624600000,1094000000,331700000,3814800000,670700000,-515900000,1186600000,361200000,437300000,6.107588856868396,0.07200901751074762,0.04604193553793809,0.08327018096941405,0.17581524588445005
2019-12-31,2020-02-14,EW,280200000,0.45,626400000,1174100000,346000000,4148300000,678800000,-500300000,1179100000,327900000,399400000,6.622445721583652,0.06754574162910108,0.043186757294123086,0.07680921052631579,0.1636332955668587
2020-03-31,2020-04-28,EW,310600000,0.5,624600000,1128700000,395700000,3901100000,675200000,12300000,662900000,124800000,207000000,6.245757284662184,0.07961856912152983,0.05111831602508188,0.0793683242193489,0.17307938786496116
