date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,EXPD,118310000,0.63,188424400,1651332000,203368000,1839045000,,,968683000,123130000,132676000,9.760121300638346,0.06433230290721544,0.04184975122195897,,
2015-12-31,2016-02-25,EXPD,114449000,0.62,185111000,1596221000,189580000,1691993000,,,807796000,103434000,115914000,9.14042385379583,0.06764153279593946,0.04460945822323789,,
2016-03-31,2016-05-04,EXPD,96584000,0.53,182010000,1418472000,163155000,1779251000,,,1013917000,221918000,235953000,9.775567276523267,0.054283515928893675,0.03604226226171689,,
2016-06-30,2016-08-04,EXPD,116052000,0.64,181753000,1475164000,190506000,1775915000,,,980264000,91773000,105052000,9.771035416196707,0.06534772216012591,0.04286888958006574,,
2016-09-30,2016-11-08,EXPD,107581000,0.59,181177000,1562394000,179145000,1850083000,,,1042700000,103027000,115686000,10.211467239219106,0.05814928303216667,0.03823339068170163,,
2016-12-31,2017-02-23,EXPD,110590000,0.61,180201000,1642007000,184153000,1844638000,,,974435000,53065000,72408000,10.236558065715506,0.059952142371565584,0.039625622251977966,,
2017-03-31,2017-05-04,EXPD,93264000,0.52,180062000,1545132000,158041000,1948896000,,,1156043000,182918000,195679000,10.823471915229199,0.04785478547854786,0.032129875471928214,,
2017-06-30,2017-08-08,EXPD,108851000,0.6,180012000,1672279000,180282000,1975844000,,,1114910000,60834000,81214000,10.976179365820057,0.05509088774214969,0.036010514907587644,,
2017-09-30,2017-11-07,EXPD,120263000,0.67,179416000,1802166000,199167000,1978003000,,,1033444000,50898000,85360000,11.024674499487226,0.0608002111220256,0.03918789943305068,,
2017-12-31,2018-02-23,EXPD,166967000,0.94,177523000,1901371000,212080000,1991858000,,,1051098999,98973000,126386000,11.220281315660506,0.08382475055952784,0.053566432938253604,,
2018-03-31,2018-05-09,EXPD,135692000,0.77,175900000,1854262000,206740000,1979469000,,,1132901000,221681000,235477000,11.25337691870381,0.06854969691366725,0.04223900468205104,,
2018-06-30,2018-08-08,EXPD,140605000,0.8,174754000,1957559000,197160000,1889752000,,,1020854000,136443000,148556000,10.813783947720797,0.07440394295124439,0.0448811171489566,,
2018-09-30,2018-11-07,EXPD,162692000,0.94,173394000,2090947000,216489000,1955849000,,,990612000,74988000,86721000,11.279796302063508,0.0831822906574076,0.04878613410099556,,
2018-12-31,2019-02-22,EXPD,179210000,1.04,172493000,2235597000,230193000,1986838000,,,923735000,92218000,102050000,11.518368861345097,0.09019859696663744,0.05406752451834467,,
2019-03-31,2019-05-08,EXPD,139699000,0.81,171818000,2020051000,200994000,2124270000,348186000.0,-841243000.0,1189429000,280048000,289483000,12.363489273533622,0.065763297509262,0.03834816761975035,0.10485985761430354,0.16390854269937438
