date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,EXPE,283216000,2.18,129989000,1937753000,451131000,2441048000,2475425000,1020086000,1455339000,-277217000,-120505000,18.778881289955304,0.11602229861928155,0.02283397293601455,0.08756839920700894,1.014082885711383
2015-12-31,2016-02-11,EXPE,-12538000,-0.098,127933553,1698567000,206639000,4864394000,3183140000,1506841000,1676299000,-335083000,-173481000,38.02281642252209,-0.002577505029403457,-0.0008087043367140933,0.010395240717062132,0.6543754473835796
2016-03-31,2016-04-29,EXPE,-121861000,-0.81,150818055,1903961000,129733000,4631700000,3209491000,1146162000,2063329000,931685000,1099263000,30.710514069419606,-0.026310210074054884,-0.007435062407398052,-0.015036244899634179,0.6929401731545652
2016-06-30,2016-07-29,EXPE,31649000,0.21,149552000,2195869000,230948000,4202304000,3196847000,900323000,2296524000,414431000,626834000,28.09928319246817,0.007531344709949589,0.0018919162231831083,-0.0029678529303562547,0.760736729184752
2016-09-30,2016-10-28,EXPE,279331000,1.86,150239000,2580905000,583564000,3885756000,3204210000,1359735000,1844475000,-369482000,-182419000,25.86383029706002,0.07188588269567106,0.017315587146503365,0.0599672446200025,0.8246040152804242
2016-12-31,2017-02-10,EXPE,79457000,0.53,150624000,2092829000,356110000,4132301000,3159336000,1362525000,1796811000,-161648000,20656000,27.43454562353941,0.019228270157474008,0.005036081022993056,0.02120059645332993,0.7645464355089332
2017-03-31,2017-04-28,EXPE,-86122000,-0.57,150531000,2188736000,16796000,4089272000,3170933000,667703000,2503230000,1506574000,1673443000,27.165646943154567,-0.021060472377479416,-0.00487421235927114,-0.011914972741711192,0.7754272643150174
2017-06-30,2017-07-28,EXPE,56689000,0.37,151582000,2586052000,316674000,4226077000,3220946000,346123000,2874823000,502174000,692197000,27.87980762887414,0.01341409538917535,0.003043991037438797,0.02057304050236325,0.7621597997386228
2017-09-30,2017-10-27,EXPE,352238000,2.32,152088000,2965848000,686587000,4603420000,4235736000,995850000,3239886000,-612319000,-443615000,30.268134238072694,0.07651658983972785,0.018504528865211624,0.06900100354460169,0.9201280786893223
2017-12-31,2018-02-14,EXPE,55159000,0.36,152252000,2319208000,364813000,4522335000,4249000000,1402000000,2847000000,-307605000,-122871000,29.702959567033602,0.01219701769108215,0.0029790509941115687,0.015047812747339788,0.9395588783228134
2018-03-31,2018-04-27,EXPE,-137000000,-0.91,150549450,2508000000,121000000,4195000000,4271000000,848000000,3423000000,1484000000,1676000000,27.8645986418416,-0.03265792610250298,-0.006706153017768858,-0.02062968529815187,1.0181168057210965
2018-06-30,2018-07-27,EXPE,1000000,0.01,150076000,2880000000,278000000,3967000000,4231000000,1159000000,3072000000,596000000,815000000,26.43327380793731,0.00025207965717166626,4.8652330446628395e-05,0.004640209575831893,1.06654902949332
2018-09-30,2018-10-26,EXPE,525000000,3.51,149482000,3276000000,901000000,4386000000,3727000000,807000000,2920000000,-594000000,-371000000,29.341325376968463,0.11969904240766074,0.02742803406300611,0.11010579852969496,0.8497492020063839
2018-12-31,2019-02-08,EXPE,17000000,0.11,148509000,2559000000,376000000,4104000000,3717000000,1274000000,2443000000,-389000000,-145000000,27.634688806738986,0.004142300194931774,0.0009427161315366273,0.008051984274557722,0.9057017543859649
2019-03-31,2019-05-03,EXPE,-103000000,-0.7,147882000,2609000000,128000000,4083000000,4176000000,468000000,3708000000,1875000000,2149000000,27.60985109749665,-0.025226549106049472,-0.004913418880885369,-0.015583824613404271,1.0227773695811904
2019-06-30,2019-07-25,EXPE,183000000,1.23,149049000,3153000000,502000000,4342000000,4181000000,-77000000,4258000000,839000000,1138000000,29.13135948580668,0.0421464762782128,0.008242871942705284,0.051121698136738926,0.9629203132197144
2019-09-30,2019-11-07,EXPE,409000000,2.77,147232000,3558000000,829000000,4184000000,5362000000,1565000000,3797000000,-1152000000,-861000000,28.41773527494023,0.09775334608030593,0.019129133342687434,0.075842687048728,1.281548757170172
2019-12-31,2020-02-14,EXPE,76000000,0.52,144647000,2747000000,399000000,3967000000,5470000000,2155000000,3315000000,45000000,341000000,27.425387322239658,0.019158053945046636,0.0035487485991781845,0.018368180333224435,1.3788757247290144
2020-03-31,2020-05-21,EXPE,-1301000000,-9.24,140800865,2209000000,-1200000000,2270000000,7377000000,3472000000,3905000000,-1071000000,-784000000,16.122060045582817,-0.5731277533039647,-0.06372140863006319,-0.2350700354127647,3.2497797356828193
2020-06-30,2020-07-31,EXPE,-736000000,-5.22,141011235,566000000,-626000000,1734000000,10096000000,5043000000,5053000000,-2052000000,-1846000000,12.296892513564611,-0.4244521337946944,-0.03359963478657841,-0.09830794578477509,5.82237600922722
2020-09-30,2020-11-05,EXPE,-192000000,-1.36,141306000,1504000000,109000000,1632000000,9348000000,4995000000,4353000000,-995000000,-819000000,11.549403422359985,-0.11764705882352941,-0.009756593322831445,-0.01495505399987066,5.727941176470588
2020-12-31,2021-02-12,EXPE,-383000000,-2.69,142446000,920000000,-181000000,2532000000,8729000000,5366000000,3363000000,-513000000,-385000000,17.7751569015627,-0.15126382306477093,-0.02049224184055645,-0.03930492568122348,3.447472353870458
2021-03-31,2021-05-07,EXPE,-578000000,-3.98,145181000,1246000000,-443000000,1209000000,8903000000,4612000000,4291000000,2002000000,2170000000,8.327535972337978,-0.47808105872622003,-0.02643373273575414,-0.08676905457252476,7.363937138130686
2021-06-30,2021-08-06,EXPE,-172000000,-1.15,149009900,2111000000,64000000,1607000000,8888000000,3424000000,5464000000,2331000000,2514000000,10.784518344083178,-0.10703173615432483,-0.007113022621066127,-0.02214573217480194,5.5308027380211575
2021-09-30,2021-11-05,EXPE,376000000,2.4,151019000,2962000000,752000000,2114000000,8851000000,3820000000,5031000000,-1400000000,-1221000000,13.998238632225084,0.17786187322611163,0.017134524243528983,0.07548191395675005,4.186849574266793
2021-12-31,2022-02-11,EXPE,386000000,1.8,153537000,2279000000,754000000,2057000000,8810000000,4699000000,4111000000,142000000,285000000,13.397422119749637,0.18765192027224112,0.017913495452014108,0.06889370335592236,4.282936315021876
