date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,EXR,71545000,0.58,122644837,200900000,131418000,2109292000,3467799000,2352267000,1115532000,100765000,102994000,17.198375827267803,0.03391896427806108,0.011918533173320077,0.02158905221799807,1.6440582906491847
2015-12-31,2016-02-29,EXR,8506000,0.07,123531844,229056000,84372000,2089077000,3535621000,3459822000,75799000,78489000,81048000,16.911242739969136,0.004071654611103373,0.001400993212940592,0.006194803044891627,1.6924321123634982
2016-03-31,2016-05-06,EXR,82427000,0.66,124754174,232233000,147408000,2143062000,3682188000,3632435000,49753000,94558000,95466000,17.17827894079119,0.038462256341627074,0.013101497945296275,0.01755274938573876,1.7181901410225182
2016-06-30,2016-08-05,EXR,82830000,0.66,124914467,247631000,160748000,2114707000,3797246000,3756188000,41058000,142984000,144204000,16.929240069526934,0.039168546753758325,0.012823482128868332,0.019094291794024606,1.795636936937363
2016-09-30,2016-11-04,EXR,117840000,0.94,125752291,260808000,172904000,2198826000,3991899000,3973207000,18692000,145799000,146489000,17.485375276383632,0.05359223512910981,0.017478347851159943,0.01977698341643165,1.8154683453806713
2016-12-31,2017-02-27,EXR,82227000,0.65,125525954,264098000,187535000,2244892000,4306223000,4262365000,43858000,150954000,153104000,17.883887184000212,0.03662848814107761,0.01159523741702327,0.020183906398098292,1.918231701124152
2017-03-31,2017-05-05,EXR,82085000,0.65,125605403,266587000,177214000,2236116000,4291455000,4262144000,29311000,111829000,113121000,17.802705509411883,0.03670873961815935,0.011669154693172382,0.01900248066823091,1.9191558040817203
2017-06-30,2017-08-04,EXR,86799000,0.69,125673156,279841000,186877000,2221791000,4288709000,4257061000,31648000,173110000,175928000,17.679121546052365,0.03906713097676604,0.012333848149539117,0.02100654934557934,1.9302936234776358
2017-09-30,2017-11-03,EXR,93573000,0.74,125717517,288146000,191946000,2215266000,4313012000,4249280000,63732000,159055000,160580000,17.620981171621455,0.04224007410396765,0.013203554982358432,0.021580073131028756,1.946949937389009
2017-12-31,2018-03-01,EXR,215581000,1.71,126007129,285766000,194195000,2350751000,4554217000,4498534000,55683000,145562000,147746000,18.655698440681082,0.09170728843675914,0.02891710776072928,0.021698819885901485,1.9373455546759313
2018-03-31,2018-05-09,EXR,88078000,0.7,125772439,289082000,189258000,2343754000,4514363000,4478836000,35527000,170477000,171608000,18.634877550557796,0.037579882530333814,0.011789912060893441,0.019875453989907418,1.926124926080126
2018-06-30,2018-08-09,EXR,94960000,0.75,125874130,300242000,200037000,2341950000,4767495000,4718301000,49194000,167045000,168134000,18.605491056820014,0.040547407075300496,0.01229741351568108,0.020563145592137632,2.0356946134631397
2018-09-30,2018-11-06,EXR,130199000,1.03,126466837,310575000,209496000,2395719000,4761455000,4716077000,45378000,188479000,189285000,18.943456299140305,0.05434652394542098,0.016694983388235718,0.021696214328882656,1.987484759272686
2018-12-31,2019-02-26,EXR,101289000,0.8,126466028,311157000,213607000,2413724000,4811515000,4754019000,57496000,147497000,148768000,19.085947729772933,0.04196378707756148,0.012906381745718452,0.021758585095002406,1.9933989967369923
2019-03-31,2019-05-07,EXR,94603000,0.74,127037247,314176000,205766000,2384149000,5104672000,5065684000,38988000,168157000,169339000,18.76732262625307,0.03967998644380028,0.011632688243758326,0.019929589576913587,2.1410876585314087
2019-06-30,2019-08-06,EXR,104652000,0.82,127585436,326723000,215520000,2442209000,5276328000,5228661000,47667000,193227000,194068000,19.141753765688428,0.042851369395494,0.012461489494027946,0.020509228335652538,2.160473571262738
2019-09-30,2019-11-05,EXR,107922000,0.84,128776549,340209000,221393000,2522714000,5091049000,5028772000,62277000,178123000,181059000,19.589855603290005,0.04278011696926406,0.01297384241978354,0.021156251582504233,2.018084095145149
2019-12-31,2020-02-25,EXR,112282000,0.87,129313513,338620000,222205000,2539961000,5321269000,5255523000,65746000,160415000,163220000,19.64188383003716,0.04420619056749297,0.013159521666705538,0.0210057580071248,2.095019962904942
2020-03-31,2020-05-08,EXR,108016000,0.84,129288629,337495000,217509000,2398119000,5395971000,5302674000,93297000,188161000,189256000,18.54856856746466,0.045041968309329106,0.01263420982267238,0.02067927328403643,2.2500847539258895
2020-06-30,2020-08-06,EXR,102738000,0.8,128932152,332290000,211055000,2375690000,5352773000,5296376000,56397000,201147000,202817000,18.425892712936335,0.04324554129537103,0.012044463858519226,0.01964695689018786,2.253144560106748
2020-09-30,2020-11-06,EXR,114456000,0.89,128862341,348629000,225224000,2389284000,5547315000,5472512000,74803000,190552000,191194000,18.54136733399869,0.04790389087274682,0.013064106989256148,0.020694325647398114,2.321747854168864
2020-12-31,2021-02-26,EXR,156056000,1.2,130388071,360159000,239511000,2547779000,6009788000,5900664000,109124000,184279000,187965000,19.539970032994812,0.06125178047232511,0.0166090383752483,0.021332713089110528,2.3588341060978992
2021-03-31,2021-05-03,EXR,202686000,1.54,132007556,365813000,242745000,2921969000,5543369000,5483039000,60330000,203183000,203880000,22.13486173473282,0.0693662389984288,0.021708731175719843,0.02149641153602993,1.897134774530462
2021-06-30,2021-08-05,EXR,167716000,1.25,133756610,386952000,264721000,2968089000,5609293000,5553287000,56006000,258428000,259808000,22.190222972905786,0.05650639182315625,0.017723169369676488,0.023365575014834303,1.8898668469847097
2021-09-30,2021-11-03,EXR,188016000,1.41,133809750,420747000,296049000,2991761000,5817946000,5752381000,65565000,264599000,265580000,22.358318433447486,0.06284459219837414,0.019366405729990592,0.025942523076455552,1.944656006947079
2021-12-31,2022-02-28,EXR,268044000,2.0,133900276,436208000,302843000,3116496000,6191103000,6119977000,71126000,222567000,223168000,23.274754116264855,0.08600813221002049,0.025590203692270268,0.02602068190175635,1.9865589431207356
2022-03-31,2022-05-06,EXR,203293000,1.44,141581862,452659000,312313000,3210215000,6255508000,6189530000,65978000,279480000,287465000,22.67391426170112,0.06332691112589033,0.01919352326102863,0.025631662417544998,1.9486258708528867
2022-06-30,2022-08-05,EXR,231817000,1.62,142737909,485178000,340673000,3202120000,6626032000,6567303000,58729000,351395000,352922000,22.433563882458163,0.07239485091127128,0.02100026207637139,0.027185714377732484,2.069264112525452
2022-09-30,2022-11-04,EXR,220406000,1.56,141504215,510051000,352429000,3250571000,7227366000,7140375000,86991000,297656000,307634000,22.971548939372582,0.06780531789645573,0.01861435757933795,0.02629068081526879,2.2234142862900086
2022-12-31,2023-02-28,EXR,204260000,1.52,133921234,517710000,356800000,3259597000,7560497000,7467629000,92868000,286776000,290118000,24.33965774240103,0.06266418824167527,0.01678740127970855,0.025658422255780123,2.319457589389118
2023-03-31,2023-05-04,EXR,196304000,1.46,134511273,513355000,352337000,3253333000,7566053000,7518102000,47951000,277719000,281649000,24.18632228690602,0.06033935044460558,0.016179786986688583,0.024909696837009547,2.325631283363861
2023-06-30,2023-08-09,EXR,202410000,1.5,134832232,524640000,365679000,3255778000,7721081000,7670437000,50644000,345903000,347878000,24.146882030403532,0.06216947224288634,0.016368991900256303,0.025520347437018098,2.3715010667189227
2023-09-30,2023-11-09,EXR,188350000,0.96,195324444,763077000,521347000,14537121000,11194520000,10978399000,216121000,404822000,408432000,74.42550815606059,0.01295648567553369,0.006817897663699949,0.013974164903620724,0.7700644439844726
2023-12-31,2024-02-29,EXR,216134000,1.02,211071794,814007000,553021000,14390921000,11253263000,11154201000,99062000,358036000,364515000,68.18021833841048,0.015018774684399976,0.007871938284971203,0.013916708108789687,0.7819696182058118
2024-03-31,2024-05-03,EXR,213112000,1.01,211283335,814546000,547801000,14297046000,11390233000,11339417000,50816000,458954000,465556000,67.6676463858354,0.01490601624979034,0.007755133529256786,0.01328526932104792,0.7966843640287651
2024-06-30,2024-08-02,EXR,185872000,0.88,211584155,827918000,571484000,14172632000,11724340000,11647367000,76973000,542194000,545244000,66.98342794147322,0.013114854036991858,0.006695175577622426,0.013888839023621041,0.8272521293151477
2024-09-30,2024-11-04,EXR,192818000,0.95,211698000,854780000,588485000,14010613000,12234321000,12145390000,88931000,462290000,468351000,66.18207540930949,0.01376228149332224,0.006870868977241552,0.014278172402073823,0.873218109728675
