date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,FANG,-156781000,-2.4,65251000,111946000,-174495000,2056411000,489000000,445173000,43827000,32849000,139818000,31.51539440008582,-0.0762401095889878,-0.052407878981960546,-0.05958464947679915,0.2377929314713839
2015-12-31,2016-02-19,FANG,-187409000,-2.81,66699718,114323000,-135956000,1875972000,501907000,481792000,20115000,-39931000,76897000,28.125636153364248,-0.09989967867324245,-0.06794090222925364,-0.07562837421253948,0.26754503798564155
2016-03-31,2016-05-05,FANG,-32912000,-0.46,71026000,87481000,16455000,2107912000,485641000,249831000,235810000,-33720000,72760000,29.678033396221103,-0.01561355502506746,-0.011183302247839675,-0.01086377947045119,0.2303895988067813
2016-06-30,2016-08-09,FANG,-155490000,-2.17,71654377,112483000,-106863000,1959464000,494475000,275681000,218794000,-24236000,49021000,27.34604754152004,-0.07935333336055166,-0.05474315710536183,-0.06580265663753335,0.25235217385979025
2016-09-30,2016-11-08,FANG,-2230000,-0.03,77167465,142131000,54380000,2514869000,497813000,330544000,167269000,-698504000,104565000,32.58975787269933,-0.0008867261078012414,-0.0006325020988858887,0.0033858002335689055,0.1979478851582329
2016-12-31,2017-02-15,FANG,25598000,0.32,80315000,185012000,90011000,3697462000,1119769000,-546805000,1666574000,-102627000,105734000,46.03700429558613,0.0069231272694621334,0.004784959100357405,0.012353890922604053,0.3028480076333442
2017-03-31,2017-05-04,FANG,136273000,1.46,93161000,235230000,214185000,4651867000,985786000,948346000,37440000,-1769942000,175927000,49.93363102585846,0.029294259702609727,0.021393943199836726,0.027343912327725352,0.2119119054779511
2017-06-30,2017-08-02,FANG,158405000,1.61,98142000,269434000,249125000,4817624000,1151515000,1134927000,16588000,-179601000,218504000,49.08830062562409,0.03288031610603069,0.023350451051909037,0.028944638103863742,0.2390213516040272
2017-09-30,2017-11-07,FANG,73024000,0.74,98144000,301253000,179576000,4898500000,1256388000,1226183000,30205000,-301951000,243587000,49.91135474404956,0.014907420638971113,0.010020352468752264,0.014865237323221024,0.2564842298662856
2017-12-31,2018-02-15,FANG,114559000,1.17,98169000,399194000,221616000,5254860000,1505197000,1392751000,112446000,-161718000,250607000,53.52871069278489,0.02180058079568247,0.01474188921996375,0.02150687755794478,0.2864390297743422
2018-03-31,2018-05-10,FANG,163000000,1.65,98555000,479000000,354000000,5417083000,1701912000,1629425000,72487000,-147000000,339000000,54.965075338643395,0.03008999492900515,0.019817899040084193,0.026827712993509747,0.3141749904884234
2018-06-30,2018-08-09,FANG,219000000,2.22,98614000,527000000,440000000,5631449000,1967074000,1853147000,113927000,-192000000,425000000,57.10597886709798,0.038888747816059416,0.024457263723568146,0.042347428107607624,0.34930157407090073
2018-09-30,2018-11-07,FANG,157000000,1.59,98638000,537000000,368000000,5933359000,2332359000,1823913000,508446000,-172000000,389000000,60.15287211825057,0.026460559693084473,0.016009670248719916,0.022619747934168447,0.3930925130267695
2018-12-31,2019-02-25,FANG,306660000,2.5,122510000,631759000,661341000,13700000000,4523000000,4308000000,214516000,-1406610000,412789000,111.82760590972165,0.022383941605839418,0.01420005763187807,0.01864688476444703,0.33014598540145984
2019-03-31,2019-05-10,FANG,10000000,0.06,164852000,864000000,378000000,13773000000,4670000000,4544000000,126000000,-411000000,377000000,83.54766699827724,0.0007260582298700356,0.000449599856128046,0.013146257574930393,0.33906919334930663
2019-06-30,2019-08-09,FANG,349000000,2.12,164839000,1021000000,866000000,14004000000,4472000000,4146000000,326000000,-147000000,666000000,84.9556233658297,0.024921451013996,0.015061930861853179,0.021712800895016062,0.3193373321908026
2019-09-30,2019-11-06,FANG,368000000,2.27,162543000,975000000,893000000,14050000000,4761000000,4661000000,100000000,-394000000,809000000,86.4386654608319,0.026192170818505337,0.015624336602555938,0.022344599215347514,0.3388612099644128
2019-12-31,2020-02-27,FANG,-487000000,-3.04,159998000,1104000000,-156000000,13249000000,5490000000,5367000000,123000000,-8000000,882000000,82.80728509106363,-0.036757491131406146,-0.02069610301304662,-0.02369542833904875,0.414370895916673
2020-03-31,2020-05-08,FANG,-272000000,-1.72,158291000,899000000,138000000,12826000000,5677000000,5528000000,149000000,-6000000,849000000,81.02798011257747,-0.021206923436769064,-0.011630890276233643,-0.01863113413763458,0.44261656011227196
2020-06-30,2020-08-10,FANG,-2393000000,-15.16,157829000,425000000,-2706000000,10714000000,5952000000,5901000000,51000000,-238000000,324000000,67.88359553694188,-0.2233526227366063,-0.11766730589565816,-0.14313874952845412,0.5555348142617137
2020-09-30,2020-11-05,FANG,-1113000000,-7.05,157833000,720000000,-1072000000,9552000000,5847000000,5755000000,92000000,172000000,542000000,60.51966318830663,-0.11652010050251256,-0.059328358208955226,-0.06967871149837374,0.6121231155778895
2020-12-31,2021-02-25,FANG,-739000000,-4.68,157975000,769000000,-642000000,8794000000,5930000000,5826000000,104000000,146000000,403000000,55.6670359234056,-0.08403456902433477,-0.0419433566036665,-0.04911908930198287,0.6743234023197635
