date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,FFIV,97037000,1.37,70955004,501301000,160957000,1316728000,0,-390460000,390460000,164196000,183343000,18.5572253649651,0.07369555443493266,0.04196575689035545,0.10345405430151815,0.0
2015-12-31,2016-01-27,FFIV,89716000,1.29,69554000,489486000,144712000,1262528000,0,-433297000,433297000,187329000,203871000,18.151766972424305,0.07106060222030719,0.0387361236502523,0.10726211263910186,0.0
2016-03-31,2016-04-27,FFIV,75415000,1.12,67549000,483677000,137965000,1180994000,0,-398325000,398325000,116617000,133118000,17.483515670106144,0.0638572253542355,0.03363527701214019,0.10373786104453234,0.0
2016-06-30,2016-07-27,FFIV,91789000,1.37,66851000,496522000,152772000,1187065000,0,-429597000,429597000,154360000,170476000,17.756877234446755,0.0773243251212023,0.04072663606034831,0.11987455478819481,0.0
2016-09-30,2016-11-04,FFIV,108935000,1.66,65772000,525349000,177755000,1185262000,0,-514571000,514571000,184991000,204070000,18.020768716171016,0.09190794946602523,0.04723319326911278,0.1627829750089616,0.0
2016-12-31,2017-02-01,FFIV,94218000,1.45,65195000,515958000,152341000,1194993000,0,-572934000,572934000,171179000,189312000,18.329519134902984,0.0788439764919125,0.039305075518492175,0.14860412001068682,0.0
2017-03-31,2017-05-10,FFIV,93138000,1.44,64479000,518248000,153779000,1184605000,0,-655773000,655773000,165758000,175340000,18.37195055754587,0.07862367624651255,0.039003868224900616,0.17431019391362004,0.0
2017-06-30,2017-08-02,FFIV,97662000,1.53,63935000,517837000,154470000,1204607000,0,-690912000,690912000,155104000,162564000,18.841119887385627,0.08107374438302284,0.04038002589958041,0.18664523228399077,0.0
2017-09-30,2017-11-03,FFIV,135743000,2.15,63088000,537998000,177623000,1229392000,0,-673228000,673228000,205559000,213065000,19.486938879026123,0.11041474159584574,0.05471742986133505,0.2571030713590314,0.0
2017-12-31,2018-02-02,FFIV,88429000,1.42,62195000,523191000,157177000,1227178000,0,-611996000,611996000,183466000,189957000,19.73113594340381,0.07205882113271261,0.03546040704339949,0.14160536882323166,0.0
2018-03-31,2018-05-02,FFIV,109636000,1.79,61420000,533304000,158226000,1226614000,0,-595917000,595917000,175000000,184755000,19.970921523933573,0.08938101146734018,0.043555677739789425,0.17051453934777894,0.0
2018-06-30,2018-08-01,FFIV,122743000,2.01,60970000,542203000,165985000,1265975000,0,-599268000,599268000,162223000,182051000,20.763900278825652,0.09695531112383736,0.047926527469420936,0.1814064931878407,0.0
2018-09-30,2018-11-21,FFIV,132881000,2.2,60462000,562709000,187428000,1285492000,0,-424707000,424707000,186914000,204305000,21.261155767258774,0.1033697603719043,0.05100066168331622,0.16673935104750276,0.0
2018-12-31,2019-02-01,FFIV,130905000,2.17,60216000,543770000,172217000,1409188000,0,-480121000,480121000,176812000,197858000,23.402218679420752,0.09289392188976914,0.045266150649954214,0.13485214165603157,0.0
2019-03-31,2019-05-03,FFIV,116087000,1.94,59686000,544895000,157038000,1467408000,0,-726662000,726662000,164542000,193552000,24.585463927889286,0.07911024064200277,0.03882201939913773,0.14896121172677831,0.0
2019-06-30,2019-08-02,FFIV,85905000,1.43,59981000,563394000,121139000,1623782000,0,-688350000,688350000,117393000,150345000,27.07160600856938,0.052904269169137236,0.027037319715794195,0.08779926129955871,0.0
2019-09-30,2019-11-15,FFIV,94837000,1.57,60283000,590388000,136576000,1761497000,0,-599219000,599219000,185552000,206086000,29.22046016289833,0.05383886546499937,0.027973247007986077,0.07924901391208283,0.0
2019-12-31,2020-02-05,FFIV,98527000,1.62,60649000,569305000,149114000,1929458000,384822000,-350635000,735457000,121708000,144012000,31.81351712311827,0.051064599488561034,0.025423960612691466,0.06366759488370102,0.19944564743052193
2020-03-31,2020-05-06,FFIV,61379000,1.01,60869000,583449000,107831000,1998194000,802445000,229557000,572888000,168649000,181808000,32.82777768650709,0.030717237665612046,0.013821057843803289,0.027598495196262972,0.4015851313736304
2020-06-30,2020-08-05,FFIV,69872000,1.15,60978000,583252000,113846000,2153899000,785208000,70940000,714268000,146780000,159174000,35.32255895568894,0.03243977549550838,0.01527805504796586,0.031354962041838755,0.3645519126012872
2020-09-30,2020-11-19,FFIV,77663000,1.27,61149000,614816000,125133000,2232268000,773047000,-76509000,849556000,163821000,175904000,36.50538847732587,0.034791073473256794,0.016602036802681533,0.03642848191625346,0.34630564072055864
2020-12-31,2021-02-05,FFIV,87678000,1.43,61440000,624617000,145408000,2401590000,758735000,-268094000,1026829000,132666000,137363000,39.08837890625,0.03650831324247686,0.01789588350591784,0.041335697606352695,0.3159302795231492
2021-03-31,2021-05-06,FFIV,43241000,0.71,60667000,645287000,82026000,2007819000,747547000,215381000,532166000,119083000,128476000,33.09573573771573,0.02153630382021487,0.009568303360423722,0.019963714880539662,0.37231792307971984
2021-06-30,2021-08-05,FFIV,89604000,1.49,60186000,651515000,125212000,2192169000,732158000,148347000,583811000,172860000,182304000,36.42323796231682,0.04087458585537885,0.01872554528924138,0.03916247441465351,0.3339879361490834
2021-09-30,2021-11-16,FFIV,110718000,1.83,60526000,681997000,156803000,2360213000,715278000,134301000,580977000,189936000,197053000,38.99502693057529,0.046910172937781464,0.02215565267505523,0.04541425668373025,0.3030565461676552
2021-12-31,2022-02-04,FFIV,93559000,1.54,60810000,687100000,152320000,2405361000,698714000,186308000,512406000,79802000,90366000,39.555352738036504,0.0388960326537264,0.018392115603427465,0.03944105069232649,0.29048196923455566
