date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,FITB,381000000,0.46,795793000,1653000000,627000000,15826000000,19925000000,17470000000,2455000000,498000000,567000000,19.88708118819844,0.02407430810059396,0.0026846488817486155,0.011442815953868332,1.2590041703525843
2015-12-31,2016-02-25,FITB,656000000,0.8,784855000,1632000000,1056000000,15839000000,16886000000,14346000000,2540000000,811000000,901000000,20.180797726968677,0.041416756108340176,0.004650898984742783,0.021732648666556238,1.0661026579960855
2016-03-31,2016-05-06,FITB,326000000,0.4,773564000,1595000000,545000000,16323000000,18224000000,15926000000,2298000000,304000000,395000000,21.101033657202247,0.01997181890583839,0.0022888436424910483,0.010108840584204162,1.1164614347852724
2016-06-30,2016-08-05,FITB,328000000,0.4,759105000,1549000000,545000000,16726000000,19540000000,17181000000,2359000000,216000000,307000000,22.03384248555865,0.019610187731675235,0.0022837249782419497,0.009555549001681068,1.168241061819921
2016-09-30,2016-11-09,FITB,516000000,0.66,750886000,1553000000,807000000,16776000000,19798000000,17634000000,2164000000,396000000,498000000,22.341607114795057,0.030758226037195996,0.003601365168656956,0.014995640802092413,1.180138292799237
2016-12-31,2017-02-24,FITB,389000000,0.49,746107000,1563000000,621000000,16205000000,17681000000,15289000000,2392000000,886000000,914000000,21.719404857480228,0.02400493674791731,0.002736026220837407,0.012351559027116276,1.0910829990743598
2017-03-31,2017-05-05,FITB,305000000,0.38,747668000,1547000000,485000000,16430000000,15447000000,13242000000,2205000000,472000000,530000000,21.97499424878422,0.01856360316494218,0.0021754636233951496,0.010279050957131303,0.9401704199634814
2017-06-30,2017-08-08,FITB,367000000,0.46,741401000,1602000000,575000000,16419000000,18581000000,16378000000,2203000000,16000000,112000000,22.145910242904986,0.02235215299348316,0.002601600657843436,0.011190047870232036,1.1316767159997563
2017-09-30,2017-11-06,FITB,1014000000,1.37,721280000,1606000000,1574000000,16360000000,19495000000,17290000000,2205000000,579000000,586000000,22.68189884649512,0.06198044009779951,0.007127593769330259,0.030133729569093607,1.1916259168704157
2017-12-31,2018-02-28,FITB,509000000,0.68,703372000,1600000000,478000000,16200000000,18749000000,16235000000,2514000000,188000000,258000000,23.031909146227033,0.031419753086419755,0.003582463524327672,0.01569292431015878,1.1573456790123458
2018-03-31,2018-05-04,FITB,701000000,0.99,689820000,1653000000,975000000,16184000000,16040000000,14002000000,2038000000,216000000,265000000,23.461192774926793,0.04331438457736036,0.004954063604240283,0.02322268601338369,0.9911023232822541
2018-06-30,2018-08-08,FITB,602000000,0.81,683345000,1789000000,881000000,16232000000,16418000000,14366000000,2052000000,976000000,1028000000,23.753740789791394,0.03708723509117792,0.004278759017733395,0.019674488528662003,1.0114588467225234
2018-09-30,2018-11-06,FITB,436000000,0.62,667624000,1811000000,599000000,15830000000,17663000000,15563000000,2100000000,590000000,634000000,23.710951074257366,0.027542640555906505,0.003077248826622437,0.013888446468958048,1.1157927984838913
2018-12-31,2019-03-01,FITB,472000000,0.65,653062000,1898000000,808000000,16250000000,16653000000,13972000000,2681000000,882000000,929000000,24.882782951695244,0.029046153846153847,0.003231349567670074,0.015617761895308054,1.0248
2019-03-31,2019-05-10,FITB,775000000,1.14,661057000,1932000000,1085000000,19647000000,19160000000,16411000000,2749000000,473000000,534000000,29.720583852829634,0.03944622588690385,0.004617135231422733,0.02149314992512064,0.9752125006362294
2019-06-30,2019-08-08,FITB,453000000,0.57,738051000,2229000000,686000000,20474000000,16574000000,13810000000,2764000000,204000000,274000000,27.740630390040796,0.022125622741037413,0.002683617492683736,0.013213160658032902,0.8095145062029891
2019-09-30,2019-11-08,FITB,549000000,0.72,726716000,2295000000,780000000,21404000000,18794000000,15533000000,3261000000,-437000000,-363000000,29.453046306947968,0.025649411324985983,0.0032090437750980543,0.01486314535560549,0.8780601756680995
2019-12-31,2020-03-02,FITB,734000000,0.97,715137000,2175000000,1124000000,21203000000,15699000000,12421000000,3278000000,1280000000,1379000000,29.64886448330879,0.03461774277224921,0.004333732855481227,0.021829645491315726,0.7404140923454228
2020-03-31,2020-05-08,FITB,46000000,0.04,713556000,2133000000,178000000,21873000000,22002000000,18720000000,3282000000,359000000,433000000,30.65351563156921,0.002103049421661409,0.00024812423472552603,0.0011332003054713867,1.0058976820737897
2020-06-30,2020-08-07,FITB,195000000,0.23,714767000,1996000000,357000000,22335000000,17349000000,14128000000,3221000000,1440000000,1519000000,31.24794513456833,0.008730691739422432,0.0009610361448158261,0.00534788689904835,0.7767629281396911
2020-09-30,2020-11-05,FITB,581000000,0.78,715102000,1989000000,873000000,22951000000,16083000000,13087000000,2996000000,-80000000,63000000,32.09472215152524,0.025314801097991373,0.002876294580090695,0.01612187135801099,0.7007537797917303
2020-12-31,2021-02-26,FITB,604000000,0.79,715482000,1955000000,880000000,23111000000,15991000000,12844000000,3147000000,-1706000000,-1644000000,32.30130177977922,0.02613474103240881,0.002950947820988861,0.01679877624808789,0.6919215957769028
2021-03-31,2021-05-07,FITB,694000000,0.94,714433000,1973000000,1005000000,22595000000,15651000000,12529000000,3122000000,-426000000,-366000000,31.626478620108532,0.030714759902633327,0.003354293640858583,0.019758569638993282,0.6926753706572251
2021-06-30,2021-08-06,FITB,709000000,0.95,708833000,1974000000,1032000000,22926000000,13236000000,9951000000,3285000000,400000000,489000000,32.343302301106185,0.030925586670156154,0.003451969424022591,0.021565227970921922,0.5773357759748757
2021-09-30,2021-11-05,FITB,704000000,0.98,697457000,2033000000,1023000000,22524000000,12295000000,9082000000,3213000000,1164000000,1239000000,32.29446403147434,0.03125554963594388,0.003388998271803438,0.022274251724356136,0.5458621914402415
2021-12-31,2022-02-25,FITB,663000000,0.91,688370000,1974000000,806000000,22210000000,12646000000,9652000000,2994000000,1257000000,1342000000,32.264625128927754,0.02985141828005403,0.003140453589495822,0.02080848659845584,0.5693831607384061
2022-03-31,2022-05-09,FITB,494000000,0.69,687538000,1897000000,721000000,20177000000,11566000000,8517000000,3049000000,1592000000,1687000000,29.34674156192094,0.02448332259503395,0.002336150270265158,0.017216142747612743,0.5732269415671309
2022-06-30,2022-08-05,FITB,562000000,0.76,689019000,2073000000,833000000,18970000000,18400000000,14963000000,3437000000,871000000,958000000,27.5318967982015,0.02962572482867686,0.0027178381097000704,0.016562048743111426,0.9699525566684238
2022-09-30,2022-11-08,FITB,653000000,0.91,689278000,2357000000,951000000,16736000000,18175000000,15107000000,3068000000,1573000000,1710000000,24.280478993961797,0.03901768642447419,0.0031781878002365388,0.020506861790660427,1.0859823135755258
2022-12-31,2023-02-24,FITB,737000000,1.01,688680000,2734000000,1026000000,17327000000,18608000000,15142000000,3466000000,1920000000,2073000000,25.15972585235523,0.042534772320655626,0.003552629041898849,0.022698574024454094,1.0739308593524557
2023-03-31,2023-05-09,FITB,558000000,0.78,684017000,2852000000,835000000,18364000000,20226000000,17446000000,2780000000,1208000000,1321000000,26.847285959267094,0.03038553692006099,0.002674245292513551,0.015582239597877688,1.1013940318013504
2023-06-30,2023-08-07,FITB,601000000,0.82,684029000,3002000000,890000000,17809000000,18144000000,15550000000,2594000000,345000000,480000000,26.035445865599264,0.033746981863102925,0.0028995156216831664,0.018016127581762045,1.0188107136840923
2023-09-30,2023-11-07,FITB,660000000,0.91,684224000,3174000000,961000000,16544000000,21109000000,18272000000,2837000000,519000000,636000000,24.179216163127865,0.0398936170212766,0.0030990716871628,0.018956801470588234,1.2759308510638299
2023-12-31,2024-02-27,FITB,530000000,0.72,684413000,3298000000,765000000,19172000000,19431000000,16289000000,3142000000,1946000000,2072000000,28.012325890945963,0.02764448153557271,0.002470010346081072,0.014945997010800597,1.013509284373044
2024-03-31,2024-05-07,FITB,520000000,0.7,685750000,3269000000,786000000,19018000000,18557000000,15761000000,2796000000,321000000,386000000,27.733138899015675,0.027342517614891156,0.00242417461516228,0.014951551223439432,0.9757598064991061
2024-06-30,2024-08-06,FITB,601000000,0.82,686781000,3259000000,884000000,19226000000,19822000000,16985000000,2837000000,588000000,679000000,27.99436792805858,0.03125975241859981,0.0028181298121559397,0.016597166606832178,1.0309996879226049
2024-09-30,2024-11-05,FITB,573000000,0.78,680895000,3311000000,851000000,20784000000,18632000000,15417000000,3215000000,1729000000,1860000000,30.524530213909635,0.027569284064665127,0.0026735971780251777,0.0158282920361316,0.8964588144726713
2024-12-31,2025-02-24,FITB,620000000,0.86,675307000,3234000000,889000000,19645000000,18972000000,15958000000,3014000000,-228000000,-101000000,29.09047292564715,0.03156019343344362,0.0029117960615610045,0.017414262843018846,0.9657419190633749
2025-03-31,2025-05-06,FITB,515000000,0.71,671052000,3075000000,788000000,20403000000,20223000000,17214000000,3009000000,1103000000,1233000000,30.404499204234543,0.02524138607067588,0.002421603524726218,0.013690618603291066,0.9911777679752978
