date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,FI,218000000,0.47,459000000,1313000000,448000000,2869000000,4235000000,3926000000,309000000,266000000,355000000,6.250544662309368,0.07598466364586964,0.023223607116224565,0.030767199841587642,1.4761240850470547
2015-12-31,2016-02-29,FI,189000000,0.42,450600000,1368000000,433000000,2660000000,4293000000,4018000000,275000000,324000000,391000000,5.90324012427874,0.07105263157894737,0.020235546038543897,0.03251851163367103,1.6139097744360902
2016-03-31,2016-04-29,FI,289000000,0.65,446000000,1331000000,439000000,2684000000,4449000000,4166000000,283000000,437000000,509000000,6.017937219730942,0.10767511177347243,0.030255443886097154,0.02423607639236076,1.6576005961251863
2016-06-30,2016-07-28,FI,212000000,0.48,441200000,1363000000,464000000,2642000000,4554000000,4291000000,263000000,105000000,178000000,5.988213961922031,0.08024224072672217,0.02224554039874082,0.034376951352474844,1.7236941710825133
2016-09-30,2016-11-03,FI,214000000,0.49,438400000,1380000000,473000000,2569000000,4630000000,4327000000,303000000,277000000,355000000,5.859945255474453,0.08330089528999611,0.022206080730517795,0.034911542923433875,1.8022576878162708
2016-12-31,2017-02-24,FI,215000000,0.5,431000000,1431000000,480000000,2541000000,4562000000,4262000000,300000000,322000000,389000000,5.895591647331787,0.08461235733963007,0.022067125115467514,0.03542422328252109,1.7953561589925227
2017-03-31,2017-05-02,FI,247000000,0.58,425800000,1394000000,473000000,2424000000,4638000000,4330000000,308000000,387000000,463000000,5.692813527477689,0.1018976897689769,0.025474422442244224,0.03824752476087607,1.9133663366336633
2017-06-30,2017-08-07,FI,221000000,0.52,421600000,1386000000,485000000,2391000000,4741000000,4442000000,299000000,168000000,228000000,5.671252371916508,0.09242994562944375,0.022818791946308724,0.036655446607151566,1.9828523630280217
2017-09-30,2017-11-02,FI,232000000,0.56,417600000,1400000000,481000000,2350000000,5111000000,4786000000,325000000,252000000,324000000,5.6273946360153255,0.09872340425531916,0.022747328169428375,0.036451963582008425,2.1748936170212767
2017-12-31,2018-02-27,FI,546000000,1.32,415200000,1516000000,536000000,2731000000,4900000000,4575000000,325000000,389000000,468000000,6.577552986512524,0.19992676675210547,0.05306638157255321,0.08128682985865979,1.794214573416331
2018-03-31,2018-05-08,FI,423000000,1.03,411000000,1440000000,741000000,2971000000,4604000000,4222000000,382000000,295000000,372000000,7.228710462287105,0.142376304274655,0.04160519327235172,0.06350756940275712,1.5496465836418714
2018-06-30,2018-08-08,FI,251000000,0.62,406100000,1420000000,492000000,2850000000,4806000000,4458000000,348000000,149000000,241000000,7.017975868012805,0.08807017543859649,0.024564494030142884,0.038386619015422264,1.6863157894736842
2018-09-30,2018-11-06,FI,227000000,0.57,401000000,1412000000,483000000,2661000000,5275000000,4602000000,673000000,274000000,368000000,6.635910224438903,0.08530627583615183,0.021120208410867137,0.03576312005832391,1.982337467117625
2018-12-31,2019-02-25,FI,286000000,0.73,392500000,1551000000,578000000,2293000000,5959000000,5544000000,415000000,474000000,571000000,5.84203821656051,0.1247274313126908,0.025395134079204403,0.041762679296549546,2.598778892280855
2019-03-31,2019-05-07,FI,225000000,0.58,391700000,1502000000,460000000,2394000000,5875000000,5423000000,452000000,275000000,373000000,6.111820270615267,0.09398496240601503,0.019270298047276466,0.03541709975054369,2.454051796157059
2019-06-30,2019-08-06,FI,223000000,0.57,392500000,1512000000,495000000,2546000000,14157000000,5315000000,8441000000,94000000,206000000,6.486624203821656,0.08758837391987431,0.01135437881873727,0.03328577428441167,5.560487038491752
2019-09-30,2019-11-05,FI,198000000,0.34,584800000,3128000000,991000000,32669000000,22491000000,21463000000,1028000000,817000000,1038000000,55.863543091655266,0.00606079157611191,0.0025428953046337205,0.006279613861559832,0.6884508249410757
2019-12-31,2020-02-25,FI,247000000,0.36,679900000,4045000000,1261000000,32979000000,21899000000,21006000000,893000000,888000000,1178000000,48.5056625974408,0.00748961460323236,0.0031854937515314874,0.007142724830971566,0.6640286242760545
2020-03-31,2020-05-11,FI,392000000,0.58,678100000,3769000000,1483000000,31843000000,21968000000,21072000000,896000000,642000000,888000000,46.95915056776287,0.012310397889646076,0.0053995977850629494,0.010171352268036622,0.6898847470401658
2020-06-30,2020-08-04,FI,2000000,0.003,670000000,3465000000,985000000,31583000000,21874000000,21005000000,869000000,789000000,1031000000,47.13880597014926,6.332520659848652e-05,2.594269259206413e-05,-0.0015973225830988058,0.6925877845676471
2020-09-30,2020-11-03,FI,264000000,0.39,669800000,3786000000,1344000000,31692000000,21259000000,20322000000,937000000,841000000,1042000000,47.31561660197074,0.008330177962892843,0.0036478195987398442,0.007388972199792364,0.6708002019437082
2020-12-31,2021-03-01,FI,300000000,0.45,669100000,3832000000,1284000000,32330000000,20684000000,19778000000,906000000,975000000,1186000000,48.3186369750411,0.009279307145066501,0.004020423752663531,0.009199534992119625,0.6397772966285185
2021-03-31,2021-05-04,FI,304000000,0.45,668600000,3755000000,1294000000,31851000000,21204000000,20373000000,831000000,718000000,952000000,47.63834878851331,0.009544441304825594,0.0040619989310529125,0.009006874234068627,0.6657247810115852
2021-06-30,2021-08-06,FI,269000000,0.41,663700000,4051000000,1459000000,31793000000,20843000000,20002000000,841000000,801000000,1061000000,47.90266686756065,0.008460981977164784,0.0035499366554054054,0.006918199150497152,0.6555845626395748
2021-09-30,2021-09-30,FI,428000000,0.65,661400000,4163000000,1456000000,31596000000,20989000000,20056000000,933000000,358000000,678000000,47.771394012700334,0.013546018483352323,0.005648897277178719,0.011242391388523194,0.6642929484744905
2021-12-31,2021-12-31,FI,333000000,0.51,650000000,4257000000,1349000000,30952000000,21237000000,20402000000,835000000,997000000,1343000000,47.61846153846154,0.010758593951925563,0.00436727039043135,0.009393471676940601,0.6861269061773068
2022-03-31,2022-03-31,FI,669000000,1.03,647000000,4138000000,1644000000,31272000000,21070000000,20207000000,863000000,484000000,815000000,48.3338485316847,0.02139293937068304,0.008864449450112628,0.01435213064226837,0.6737656689690458
2022-06-30,2022-06-30,FI,598000000,0.93,643000000,4450000000,1603000000,31109000000,21515000000,20632000000,883000000,603000000,990000000,48.38102643856921,0.0192227329711659,0.007744910117598301,0.012527492444969644,0.6916005014625992
2022-09-30,2022-09-30,FI,481000000,0.76,636000000,4518000000,1635000000,30326000000,21375000000,20482000000,893000000,750000000,1180000000,47.68238993710692,0.01586097737914661,0.0063590692755156,0.01281125142694064,0.7048407307261096
2022-12-31,2022-12-31,FI,782000000,1.23,635910974,4631000000,1944000000,30828000000,21542000000,20640000000,902000000,1302000000,1633000000,48.47848403383584,0.02536654988971065,0.009324064910753676,0.018807762721451644,0.6987803295705203
2023-03-31,2023-03-31,FI,563000000,0.9,626900000,4547000000,1707000000,30077000000,22529000000,21483000000,1046000000,791000000,1130000000,47.97734885946722,0.018718622203012267,0.0073548623086168155,0.01471439654217001,0.7490441200917645
2023-06-30,2023-06-30,FI,683000000,1.11,615400000,4756000000,1910000000,29991000000,23321000000,22239000000,1082000000,538000000,878000000,48.73415664608385,0.02277349871628155,0.008801659815203804,0.016861012539374054,0.7775999466506619
2023-09-30,2023-09-30,FI,952000000,1.57,606200000,4873000000,2247000000,29573000000,23306000000,21957000000,1349000000,1204000000,1559000000,48.784229627185745,0.032191526054171034,0.011312593578439528,0.023007590254760617,0.7880837250194435
2023-12-31,2023-12-31,FI,870000000,1.45,600618514,4917000000,2159000000,29857000000,23236000000,22032000000,1204000000,1241000000,1595000000,49.71042234638808,0.029138895401413404,0.009572010122125647,0.021700413167598204,0.778242958100278
2024-03-31,2024-03-31,FI,735000000,1.24,590900000,4883000000,1958000000,28801000000,24539000000,23943000000,596000000,411000000,831000000,48.740903706210865,0.02551994722405472,0.007928973656389567,0.018652966104180477,0.852019027117114
2024-06-30,2024-07-25,FI,894000000,1.53,582700000,5107000000,2217000000,28154000000,25619000000,25010000000,609000000,993000000,1341000000,48.31645786854299,0.031753924841940756,0.00956999261376409,0.021667599939542558,0.9099595084179868
2024-09-30,2024-10-23,FI,564000000,0.98,573700000,5215000000,2388000000,27751000000,25394000000,24777000000,617000000,1836000000,2238000000,48.37197141363082,0.0203235919426327,0.007068377782233808,0.0271338490272888,0.9150661237432886
2024-12-31,2025-02-20,FI,938000000,1.64,578700000,5251000000,2276000000,27068000000,24956000000,23720000000,1236000000,1822000000,2221000000,46.77380335234145,0.034653465346534656,0.012154037524619053,0.02483323815786776,0.9219742869809369
2025-03-31,2025-04-25,FI,851000000,1.5161232852307145,561300000,5130000000,2153000000,25884000000,28415000000,27774000000,641000000,313000000,648000000,46.11437733832175,0.03287745325297481,0.010584313823039228,0.021086951104228157,1.0977824138463916
2025-06-30,2025-07-24,FI,1026000000,1.86,552700000,5516000000,2481000000,25215000000,29836000000,28837000000,999000000,1186000000,1665000000,45.62149448163561,0.040690065437239735,0.012584170438238217,0.02481875038805654,1.1832639302002776
