date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2017-09-30,2017-09-30,FOX,390000000,0.63,620000000,2188000000,659000000,6247000000,0,19000000,-19000000,236000000,265000000,10.075806451612904,0.062429966383864256,inf,0.07516561882925277,0.0
2018-06-30,2018-06-30,FOX,471000000,0.76,620000000,2394000000,661000000,9594000000,0,-2500000000,2500000000,465000000,532000000,15.474193548387097,0.049093183239524704,0.03589665421842848,0.07028717235333187,0.0
2018-09-30,2018-09-30,FOX,604000000,0.97,620000000,2541000000,890000000,11045000000,0,-2756000000,2756000000,205000000,247000000,17.81451612903226,0.05468537799909461,0.04290382156556329,0.07562325434125432,0.0
2018-12-31,2019-03-18,FOX,8000000,0.0129,620595275,3583000000,97000000,10394000000,0,-1951000000,1951000000,-257000000,-211000000,16.748435604831183,0.0007696748123917645,0.0005940888162780336,0.004218038993936569,0.0
2019-03-31,2019-05-10,FOX,529000000,0.85,621000000,2752000000,845000000,8600000000,6750000000,3932000000,2818000000,1529000000,1588000000,13.848631239935587,0.06151162790697674,0.02995978931868381,0.04794445765582319,0.7848837209302325
2019-06-30,2019-08-09,FOX,454000000,0.73,621000000,2513000000,807000000,9947000000,6751000000,3517000000,3234000000,812000000,900000000,16.017713365539453,0.04564190208102946,0.023271310677123378,0.039327434133298554,0.6786970946013874
2019-09-30,2019-11-06,FOX,499000000,0.8,622000000,2667000000,840000000,10320000000,7357000000,4017000000,3340000000,163000000,202000000,16.591639871382636,0.04835271317829457,0.02430115905327749,0.040382028517621744,0.7128875968992248
2019-12-31,2020-02-05,FOX,300000000,0.49,617000000,3778000000,566000000,10334000000,7324000000,5333000000,1991000000,-529000000,-458000000,16.748784440842787,0.02903038513644281,0.014669926650366748,0.024347118192122964,0.7087284691310238
2020-03-31,2020-05-07,FOX,78000000,0.13,608000000,3440000000,291000000,10114000000,6754000000,3558000000,3196000000,1519000000,1601000000,16.63486842105263,0.007712082262210797,0.0038543262341256116,0.010623272331066767,0.6677872256278425
2020-06-30,2020-08-10,FOX,122000000,0.2,607000000,2418000000,394000000,10094000000,7946000000,3301000000,4645000000,853000000,1020000000,16.629324546952223,0.012086387953239549,0.0056091954022988505,0.016237402015677492,0.7872003170200119
2020-09-30,2020-11-03,FOX,1106000000,1.83,603000000,2717000000,1645000000,10791000000,8483000000,3422000000,5061000000,150000000,267000000,17.895522388059703,0.10249281808914837,0.04916211050362271,0.08379747573703226,0.7861180613474191
2020-12-31,2021-02-09,FOX,224000000,0.38,595000000,4087000000,471000000,10917000000,7949000000,3447000000,4502000000,-155000000,-30000000,18.347899159663864,0.020518457451680863,0.009844422958600685,0.0211214256401237,0.7281304387652285
2021-03-31,2021-05-06,FOX,567000000,0.96,589000000,3215000000,954000000,11081000000,7950000000,2185000000,5765000000,1538000000,1629000000,18.813242784380307,0.051168667087807956,0.0247522591347623,0.049397787877625186,0.7174442739824926
2021-06-30,2021-08-10,FOX,253000000,0.43,579000000,2890000000,540000000,11123000000,7951000000,2065000000,5886000000,622000000,773000000,19.21070811744387,0.022745662141508586,0.01103550553956207,0.02634429568005546,0.7148251371032994
2021-09-30,2021-11-04,FOX,701000000,1.22,575000000,3045000000,1128000000,11430000000,7953000000,2542000000,5411000000,-24000000,29000000,19.878260869565217,0.06132983377077865,0.03026639609688701,0.05583586139866768,0.6958005249343832
2021-12-31,2022-02-09,FOX,-85000000,-0.15,569000000,4441000000,96000000,11275000000,8465000000,4210000000,4255000000,-753000000,-685000000,19.815465729349736,-0.00753880266075388,-0.0037153597342425037,0.00014887072379042536,0.7507760532150776
2022-03-31,2022-05-10,FOX,283000000,0.5,563000000,3455000000,574000000,11200000000,7312000000,2678000000,4634000000,1537000000,1607000000,19.893428063943162,0.025267857142857144,0.012854287790697675,0.025825785877666554,0.6528571428571428
2022-06-30,2022-08-12,FOX,306000000,0.55,557000000,3033000000,638000000,11339000000,7313000000,2113000000,5200000000,817000000,933000000,20.357271095152605,0.026986506746626688,0.013793103448275862,0.027608645471411817,0.6449422347649705
2022-09-30,2022-11-01,FOX,605000000,1.1,550000000,3192000000,1031000000,11521000000,7701000000,2751000000,4950000000,196000000,270000000,20.94727272727273,0.05251280270809826,0.02698002140563682,0.04737343115663226,0.6684315597604374
