date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,GDDY,-2500000,-0.04,62500000,411100000,50900000,363800000,1048000000,720300000,327700000,44900000,78700000,5.8208,-0.006871907641561297,-0.00072044033313161,0.011489543357151898,2.880703683342496
2015-12-31,2016-03-03,GDDY,100000,0.0015,66244000,425400000,55500000,425800000,1056000000,708000000,348000000,38800000,61300000,6.427751947346175,0.00023485204321277596,2.8581227849548415e-05,0.004126452133155255,2.480037576326914
2016-03-31,2016-05-06,GDDY,-10500000,-0.15,67834000,433700000,36300000,436800000,1042900000,611200000,431700000,93300000,105300000,6.439248754311997,-0.02403846153846154,-0.002919261565836299,-0.0026864357017028773,2.3875915750915753
2016-06-30,2016-08-04,GDDY,-8900000,-0.11,79872000,456200000,42100000,441200000,1041800000,569700000,472100000,77800000,92400000,5.523838141025641,-0.020172257479601087,-0.002424605661045577,0.00267346789559024,2.3612873980054396
2016-09-30,2016-11-03,GDDY,4800000,0.0573,83733000,472100000,65200000,504100000,1040800000,484600000,556200000,83500000,99700000,6.02032651403867,0.009521920253917874,0.0012830107986742223,0.02473080949868651,2.0646697083911922
2016-12-31,2017-02-28,GDDY,-1900000,-0.0216,87774000,485900000,52200000,542700000,1046600000,480500000,566100000,69100000,89100000,6.1829243283888164,-0.0035010134512622076,-0.0005017296469407695,0.021422986708365913,1.9285056200479087
2017-03-31,2017-05-08,GDDY,600000,0.0067,89600000,489700000,42300000,598600000,1037400000,379200000,658200000,106800000,126600000,6.680803571428571,0.0010023387905111927,0.00015424561042700325,0.016153853646183366,1.7330437687938522
2017-06-30,2017-08-09,GDDY,20800000,0.2,101800000,557800000,96300000,385400000,3004000000,2425200000,578800000,96600000,113300000,3.7858546168958744,0.05396990140114167,0.003325924623035226,0.018068376404826107,7.7944992215879605
2017-09-30,2017-11-08,GDDY,22400000,0.2,114836000,582200000,88500000,395100000,2437200000,1900300000,536900000,107700000,131400000,3.440558709812254,0.05669450771956467,0.0039332748024582965,0.021501114636484,6.168564920273348
2017-12-31,2018-02-27,GDDY,92600000,0.72,128388000,602200000,168500000,486500000,2432300000,1849600000,582700000,29300000,104300000,3.789294949683771,0.19033915724563208,0.01613718348639841,0.05372370767020765,4.999588900308325
2018-03-31,2018-05-09,GDDY,3300000,0.0239,137841000,633200000,85500000,548300000,2428300000,1717600000,710700000,132300000,148400000,3.9777714903403196,0.006018602954586905,0.000556398583712696,0.013165086381027065,4.428779865037388
2018-06-30,2018-08-03,GDDY,18100000,0.12,152577000,651600000,100700000,631600000,2424100000,1614400000,809700000,109100000,128900000,4.139549211217942,0.028657378087397087,0.003053357850166163,0.020685663401602848,3.8380303989867004
2018-09-30,2018-11-07,GDDY,13200000,0.0813,162359000,679500000,99500000,695700000,2419500000,1568300000,851200000,134600000,154000000,4.284948786331524,0.018973695558430356,0.002186407831315323,0.018023209123032444,3.4777921517895645
2018-12-31,2019-02-22,GDDY,42500000,0.25,167753000,695800000,119800000,792700000,2410800000,1478400000,932400000,86800000,128500000,4.7253998438179945,0.053614229847357135,0.006986224808495249,0.03207857801795842,3.041251419200202
2019-03-31,2019-05-03,GDDY,12900000,0.0754,171001000,710000000,90900000,910400000,2563200000,1472900000,1090300000,170300000,199700000,5.323945474003076,0.014169595782073814,0.0020313041287437408,0.020069759604127105,2.8154657293497363
2019-06-30,2019-08-02,GDDY,-12600000,-0.0716,176007000,737200000,63400000,945100000,2578600000,1379800000,1198800000,144800000,161300000,5.369672797104661,-0.013331922547878532,-0.0019538215819752207,0.003884515940948476,2.7283885303142523
2019-09-30,2019-11-07,GDDY,76200000,0.44,174820000,760500000,146900000,667900000,2622900000,1656200000,966700000,175000000,200200000,3.82050108683217,0.11408893546938165,0.012354886827939554,0.0432573525043955,3.927084892948046
2019-12-31,2020-02-21,GDDY,60500000,0.35,171870000,780400000,127000000,772000000,2627600000,1564800000,1062800000,141000000,162200000,4.491767033222785,0.0783678756476684,0.009601345775407858,0.036189115741063344,3.4036269430051815
2020-03-31,2020-05-07,GDDY,42900000,0.25,173113000,792000000,115200000,480700000,2621800000,1770400000,851400000,219800000,233300000,2.776798969459255,0.08924485125858124,0.006961799357372367,0.028923658587752636,5.454129394632827
2020-06-30,2020-08-06,GDDY,-673200000,-4.06,165812807,806400000,-604500000,-261300000,2609100000,1836400000,772700000,150900000,168100000,-1.5758734486655184,2.5763490241102183,-0.11050376717388093,-0.41506826833289184,-9.985074626865671
2020-09-30,2020-11-05,GDDY,64700000,0.39,167258000,844400000,144300000,-164200000,3333600000,2711800000,621800000,188900000,197300000,-0.9817168685503832,-0.3940316686967113,0.010422371854763362,0.034315696569173715,-20.302070645554203
2020-12-31,2021-02-19,GDDY,70500000,0.42,168345000,873900000,143600000,-12900000,3322600000,2557400000,765200000,123500000,165900000,-0.07662835249042145,-5.465116279069767,0.010959287413141817,0.039226898815758394,-257.5658914728682
2021-03-31,2021-05-06,GDDY,10800000,0.0637,169435000,901100000,87700000,-72800000,4102000000,2808900000,1293100000,212300000,221300000,-0.42966329270811815,-0.14835164835164835,0.0014877467524416954,0.015275757465004935,-56.34615384615385
2021-06-30,2021-08-05,GDDY,46800000,0.28,168204000,931300000,137100000,-33300000,4088700000,2713500000,1375200000,187500000,209400000,-0.1979738888492545,-1.4054054054054055,0.006356881867945288,0.027965802908039863,-122.78378378378379
2021-09-30,2021-11-04,GDDY,97500000,0.58,167542000,964000000,180800000,-102800000,4075000000,2931600000,1143400000,21800000,226400000,-0.6135774910171777,-0.9484435797665369,0.01335982460948205,0.04603835519666568,-39.64007782101167
2021-12-31,2022-02-17,GDDY,87200000,0.52,166481000,1019300000,173600000,81700000,4061900000,2806200000,1255700000,154500000,172200000,0.49074669181468156,1.0673194614443084,0.011756616467352468,0.040914560223673034,49.71725826193391
2022-03-31,2022-05-05,GDDY,68400000,0.42,164323000,1002700000,156700000,-470500000,4046500000,3303800000,742700000,238600000,250900000,-2.8632632072199264,-0.14537725823591924,0.009911176155217133,0.035073529727067704,-8.600425079702445
2022-06-30,2022-08-04,GDDY,90400000,0.57,159822000,1015500000,171800000,-447200000,4034500000,3264100000,770400000,233000000,250900000,-2.7981129006019194,-0.20214669051878353,0.013093668979302154,0.04479701109907053,-9.021690518783542
2022-09-30,2022-11-04,GDDY,99800000,0.64,156393000,1033200000,181300000,-278400000,4020600000,3194400000,826200000,257100000,269900000,-1.7801308242696285,-0.3584770114942529,0.014110195252301037,0.046853742936657124,-14.441810344827585
2022-12-31,2023-02-16,GDDY,93600000,0.6,154745000,1039900000,187600000,-331800000,3980900000,3206900000,774000000,190900000,208000000,-2.144172671168697,-0.2820976491862568,0.013422241342224134,0.046981291923327576,-11.99789029535865
2023-03-31,2023-05-05,GDDY,47300000,0.31,154124000,1036000000,141900000,-357900000,3966500000,3074100000,892400000,247500000,270300000,-2.322156185928214,-0.1321598211791003,0.006669204630373786,0.03424179479611593,-11.082704666107851
2023-06-30,2023-08-04,GDDY,82900000,0.54,152328000,1048100000,169900000,-667100000,3962100000,3379500000,582600000,156800000,198000000,-4.37936557953889,-0.12426922500374757,0.012202122492235682,0.04792730415940871,-5.939289461849798
2023-09-30,2023-11-03,GDDY,130700000,0.9,145484000,1069700000,212500000,-976300000,3948100000,3618900000,329200000,272200000,281600000,-6.7107035825245385,-0.13387278500460925,0.020110167405219103,0.06662622348083162,-4.0439414114513985
2023-12-31,2024-02-29,GDDY,1113900000,8.01,141418000,1100300000,229800000,62200000,3935700000,3476900000,458800000,293700000,297700000,0.4398308560437851,17.908360128617364,0.147245832727465,0.4078495681895569,63.27491961414791
