date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-27,GLW,212000000,0.16,1210000000,2272000000,548000000,19997000000,4016000000,-424000000,4440000000,399000000,697000000,16.526446280991735,0.01060159023853578,0.007336147830299675,0.012719262680241504,0.2008301245186778
2015-12-31,2016-02-12,GLW,224000000,0.17,1146000000,2231000000,510000000,18788000000,4462000000,-38000000,4500000000,653000000,964000000,16.394415357766142,0.011922503725782414,0.0078467089361404,0.014703589743589745,0.23749201618054078
2016-03-31,2016-04-29,GLW,-368000000,-0.36,1088888888,2047000000,-336000000,17918000000,4437000000,897000000,3540000000,-353000000,-83000000,16.455306135881884,-0.020538006473936825,-0.01316872427983539,-0.018365539146830673,0.2476280834914611
2016-06-30,2016-07-27,GLW,2207000000,2.06,1059000000,2360000000,2038000000,19609000000,4197000000,-2947000000,7144000000,263000000,526000000,18.516525023607176,0.11255035952878781,0.07199947802825173,0.13556823508938345,0.21403437197205366
2016-09-30,2016-10-27,GLW,284000000,0.27,978000000,2507000000,598000000,17721000000,3923000000,-898000000,4821000000,370000000,652000000,18.119631901840492,0.016026183623948986,0.009858030476587178,0.019574831658806927,0.22137576886180238
2016-12-31,2017-02-06,GLW,1572000000,1.64,942000000,2476000000,2746000000,17893000000,3902000000,-1389000000,5291000000,1111000000,1405000000,18.994692144373673,0.08785558598334545,0.056346105595182626,0.0967156250327657,0.21807410719275694
2017-03-31,2017-04-25,GLW,86000000,0.07,925000000,2375000000,334000000,18308000000,3926000000,-918000000,4844000000,-173000000,191000000,19.79243243243243,0.004697400043696745,0.003038332450097156,0.014094307073030478,0.21444177408783047
2017-06-30,2017-07-26,GLW,439000000,0.46,908000000,2497000000,911000000,18012000000,3933000000,-256000000,4189000000,-117000000,280000000,19.837004405286343,0.02437264046191428,0.015774344232842255,0.026311052830257607,0.21835443037974683
2017-09-30,2017-10-26,GLW,390000000,0.41,883000000,2607000000,810000000,17317000000,4625000000,760000000,3865000000,159000000,645000000,19.611551528878824,0.022521221920656004,0.013881967679931658,0.02324087298558024,0.2670785932898308
2017-12-31,2018-02-15,GLW,-1412000000,-1.71,823624555,2637000000,915000000,15724000000,5128000000,811000000,4317000000,331000000,888000000,19.0912229419872,-0.08979903332485373,-0.051384693766148695,-0.09188219442429112,0.3261256677690155
