date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-26,2015-10-28,GRMN,119299000,0.63,190342000,679690000,145710000,3234685000,0,-914907000,914907000,123392000,137835000,16.994068571308485,0.03688118008399582,0.027184632828920863,0.03912806076554707,0.0
2015-12-26,2016-02-17,GRMN,132383000,0.7,189320000,781357000,165739000,3345126000,0,-833070000,833070000,129969000,158336000,17.66916332136066,0.03957489194726895,0.0294224262794676,0.050356430460042324,0.0
2016-03-26,2016-04-27,GRMN,88092000,0.46,189497000,624040000,123996000,3437247000,0,-857679000,857679000,113763000,129387000,18.13879375399083,0.025628649904996643,0.01997404272339175,0.032961054260542536,0.0
2016-06-25,2016-07-27,GRMN,161064000,0.85,188892000,811609000,221990000,3218835000,0,-801464000,801464000,134164000,149985000,17.04061050759164,0.05003797957956838,0.03557394751239237,0.06560545767718944,0.0
2016-09-24,2016-10-26,GRMN,125054000,0.66,188692000,722250000,180649000,3362229000,0,-912559000,912559000,197576000,212994000,17.818609162020646,0.03719377829410192,0.02723357141892713,0.054407164964948816,0.0
2016-12-31,2017-02-22,GRMN,136605000,0.73,188233000,860767000,183614000,3418003000,0,-846883000,846883000,163504000,213316000,18.15836224253983,0.039966319514640566,0.03018806298069029,0.05037530777891393,0.0
2017-04-01,2017-05-03,GRMN,238404000,1.27,188333000,638546000,138756000,3702062000,0,-833577000,833577000,93635000,120395000,19.657001162833918,0.06439762489120927,0.05181928501454459,0.11063970012450818,0.0
2017-07-01,2017-08-02,GRMN,176979000,0.94,187757000,816885000,230725000,3484447000,0,-859560000,859560000,124044000,143432000,18.55828011738577,0.05079112984068921,0.037268371696935546,0.05986262473895288,0.0
2017-09-30,2017-11-01,GRMN,151074000,0.81,187616000,743077000,194516000,3639685000,0,-891279000,891279000,150618000,198750000,19.399651415657512,0.04150743814368551,0.031243388590498678,0.05005886545423255,0.0
2017-12-30,2018-02-21,GRMN,138780000,0.74,187607000,888496000,201928000,3802466000,0,-891488000,891488000,140617000,198265000,20.26825225071559,0.03649736776081627,0.027699161320969373,0.047379919976485156,0.0
2018-03-31,2018-05-02,GRMN,129374000,0.69,188322000,710872000,165348000,3997193000,0,-898981000,898981000,186232000,214190000,21.225310903665,0.032366212989965705,0.026646361381621686,0.038563572826532916,0.0
2018-06-30,2018-08-01,GRMN,190342000,1.01,188542000,894452000,242582000,3758881000,0,-946656000,946656000,156307000,223873000,19.93657116186314,0.050637942515339006,0.0381544764989817,0.062362379533743746,0.0
2018-09-29,2018-10-31,GRMN,184214000,0.98,188799000,810011000,219215000,3952708000,0,-1056397000,1056397000,233415000,263719000,20.93606428000148,0.04660450506336415,0.036148978201781916,0.06190712443033001,0.0
2018-12-29,2019-02-20,GRMN,190150000,1.01,188878000,932108000,247391000,4162974000,0,-1201732000,1201732000,183211000,217738000,22.040544690223317,0.04567648032392227,0.03532510053209652,0.06166515231404452,0.0
2019-03-30,2019-05-01,GRMN,140173000,0.74,189601000,766050000,175394000,4315286000,43277000,-1072674000,1115951000,134075000,164582000,22.75982721610118,0.032482899163578036,0.026547187624582278,0.039359144807637726,0.010028767502316184
2019-06-29,2019-07-31,GRMN,223656000,1.18,189855000,954840000,282944000,4150966000,46281000,-773900000,820181000,79795000,110636000,21.863875062547734,0.0538804702327121,0.04048231396599649,0.06153130262231744,0.01114945292252454
2019-09-28,2019-10-30,GRMN,227866000,1.2,190102000,934383000,288341000,4380894000,42855000,-933547000,976402000,156969000,188952000,23.04496533439943,0.05201358444189702,0.039593717230180854,0.06704593752785751,0.009782249924330513
2019-12-28,2020-02-19,GRMN,360791000,1.9,190165000,1102233000,305083000,4793496000,49238000,-978329000,1027567000,207302000,234379000,25.207035995056923,0.07526677815106135,0.05850539315453609,0.0909846645637252,0.010271835003095862
2020-03-28,2020-04-29,GRMN,161180000,0.84,190803000,856108000,205686000,4934400000,52834000,-995770000,1048604000,183560000,225874000,25.86122859703464,0.03266455901426719,0.026623750638628093,0.040887611419970694,0.010707279507133592
2020-06-27,2020-07-29,GRMN,184180000,0.96,191024000,869867000,217717000,4740861000,60000000,-1294924000,1354924000,141907000,199237000,24.81814326995561,0.03884948324787417,0.029610732532031135,0.05095904952936375,0.01265592895467722
2020-09-26,2020-10-28,GRMN,313417000,1.64,191234000,1109194000,349679000,5104341000,58416000,-1165100000,1223516000,235267000,274338000,26.69159772843741,0.06140204974550094,0.04784503689623151,0.07492772837185682,0.011444376463092884
2020-12-26,2021-02-17,GRMN,333548000,1.74,191278000,1351405000,407872000,5516116000,75958000,-1382484000,1458442000,387067000,435818000,28.83821453591108,0.06046790894172639,0.04743710794463613,0.07652769597405693,0.013770196275785353
2021-03-27,2021-04-28,GRMN,220029000,1.15,191896000,1072327000,286549000,5715827000,74741000,-1524734000,1599475000,330708000,368362000,29.78606641097261,0.03849469201919512,0.03143393122790897,0.0523200140831817,0.013076148035970998
2021-06-26,2021-07-28,GRMN,316997000,1.65,192150000,1326905000,408961000,5584248000,74336000,-1565111000,1639447000,119622000,229680000,29.06192037470726,0.05676628258630347,0.042821669428712995,0.07868387404729639,0.013311729708279431
2021-09-25,2021-10-27,GRMN,259039000,1.35,192322000,1191973000,321748000,5854738000,71527000,-1567529000,1639056000,203767000,245423000,30.44237268747205,0.04424433680892296,0.03421242505932453,0.06201951420091236,0.01221694292724969
2021-12-25,2022-02-16,GRMN,286136000,1.49,192353000,1391589000,356181000,6114159000,70044000,-1428014000,1498058000,48743000,168962000,31.786137985890523,0.04679891379991917,0.03642990125186726,0.062301987889095786,0.011456031810752713
2022-03-26,2022-04-27,GRMN,211592000,1.1,192887000,1172662000,269768000,6248842000,82127000,-1335404000,1417531000,125372000,185634000,32.39638752222804,0.03386099376492477,0.027467890496594358,0.04172964889367095,0.013142755089663012
2022-06-25,2022-07-27,GRMN,257873000,1.34,193074000,1240833000,334384000,5865933000,106952000,-980429000,1087381000,4419000,79842000,30.381786258118648,0.043961122638120825,0.03300269168393549,0.05538948060648177,0.018232734673239534
2022-09-24,2022-10-26,GRMN,210848000,1.09,192672000,1140434000,278871000,5878189000,100181000,-982157000,1082338000,103464000,154118000,30.508786953994353,0.03586955097905154,0.027642749245307113,0.04680055077490721,0.01704283411098214
2022-12-31,2023-02-22,GRMN,293272000,1.53,191613000,1306356000,308673000,6204340000,114541000,-1164653000,1279194000,308811000,368665000,32.37953583525126,0.047268847290767434,0.03793371507805416,0.04713141832258827,0.01846143183642418
2023-04-01,2023-05-03,GRMN,202327000,1.06,191498000,1147424000,240397000,6405004000,111388000,-1250205000,1361593000,232064000,279210000,33.446845397863164,0.031588895182579124,0.02618770232736576,0.03486277363476186,0.017390777585775122
2023-07-01,2023-08-02,GRMN,287939000,1.51,191293000,1320795000,328544000,6123822000,110740000,-1314786000,1425526000,220655000,273702000,32.01278666757278,0.04701949207537384,0.0365785462029015,0.053882685909460805,0.018083477932572176
2023-09-30,2023-11-01,GRMN,257243000,1.34,191435000,1277531000,314999000,6349280000,111035000,-1311820000,1422855000,311554000,357412000,33.166766787682505,0.04051530252249074,0.03229658373824956,0.049385190110394946,0.01748780964140816
2023-12-30,2024-02-21,GRMN,542127000,2.83,191363000,1482501000,385792000,7012060000,113035000,-1580417000,1693452000,416964000,465941000,36.64271567648918,0.0773135141456291,0.06301187332838268,0.08871305461394646,0.016120084540063834
2024-03-30,2024-05-01,GRMN,275961000,1.44,191890000,1381649000,343235000,7246097000,105859000,-1815923000,1921782000,402137000,435305000,37.76172286205639,0.03808408857899639,0.03196257070980834,0.04637100010073846,0.014609106116023564
2024-06-29,2024-07-31,GRMN,300630000,1.57,192074000,1506671000,386139000,7004982000,102167000,-1835316000,1937483000,218164000,255321000,36.470225017441194,0.042916598500895506,0.03384206944203982,0.05434784940171892,0.01458490542873629
2024-09-28,2024-10-30,GRMN,399111000,2.08,192201000,1586022000,481730000,7506547000,109832000,-1899529000,2009361000,219411000,257955000,39.05571250930016,0.053168387542234796,0.04269602508929439,0.06404059714547909,0.014631494347534225
2024-12-28,2025-02-19,GRMN,435733000,2.27,192075000,1822561000,562624000,7848398000,134886000,-1944582000,2079468000,399188000,483890000,40.86111154496941,0.05551871859709459,0.045244979843782174,0.07379716433793075,0.01718643728312453
2025-03-29,2025-04-30,GRMN,332769000,1.73,192544000,1535099000,379122000,8179478000,140235000,-2035280000,2175515000,380726000,420788000,42.48108484294499,0.04068340302400716,0.03399896318022907,0.04632928737258342,0.017144737109140707
2025-06-28,2025-07-30,GRMN,400822000,2.08,192523000,1814564000,519400000,8125111000,148608000,-1923600000,2072208000,127495000,173171000,42.20332635581203,0.04933126452057086,0.03882400710727042,0.06356222662450507,0.018289965515548033
