date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-23,HAL,-54000000,-0.0632,855000000,5582000000,426000000,15448000000,7891000000,5642000000,2249000000,-499000000,26000000,18.067836257309942,-0.003495598135680994,-0.0017852419994710395,0.0002513039355144618,0.5108104609010875
2015-12-31,2016-02-05,HAL,-28000000,-0.0327,856000000,5082000000,461000000,15462000000,15346000000,5269000000,10077000000,449000000,885000000,18.063084112149532,-0.0018108912171775967,-0.0007579448865789616,0.0007956501691145616,0.9924977363859785
2016-03-31,2016-05-06,HAL,-2412000000,-2.81,858000000,4198000000,-2416000000,13015000000,15393000000,5800000000,9593000000,-405000000,-171000000,15.168997668997669,-0.18532462543219363,-0.07108334315690204,-0.12197021761812167,1.1827122550902804
2016-06-30,2016-08-01,HAL,-3208000000,-3.73,860000000,3835000000,-3515000000,9734000000,12921000000,9813000000,3108000000,-3845000000,-3632000000,11.31860465116279,-0.32956646805013357,-0.11565778562930382,-0.1561388707200811,1.3274090815697555
2016-09-30,2016-10-28,HAL,6000000,0.007,862000000,3833000000,482000000,9682000000,12315000000,9026000000,3289000000,863000000,1041000000,11.232018561484919,0.0006197066721751704,0.00022425714819659877,-0.000769929770891926,1.2719479446395372
2016-12-31,2017-02-07,HAL,-149000000,-0.17,865000000,4021000000,369000000,9384000000,12384000000,8375000000,4009000000,886000000,1059000000,10.848554913294798,-0.015878090366581415,-0.005517496759859285,0.0010338419956078609,1.319693094629156
2017-03-31,2017-04-28,HAL,-32000000,-0.0369,867000000,4279000000,695000000,8951000000,10909000000,8802000000,2107000000,-260000000,5000000,10.324106113033448,-0.003575019550888169,-0.0012859152099658428,0.005850259061725174,1.2187465087699698
2017-06-30,2017-07-28,HAL,28000000,0.0322,869000000,4957000000,534000000,8917000000,11152000000,9013000000,2139000000,19000000,346000000,10.261219792865363,0.0031400695301110238,0.0011056268509378085,-0.18739542665923034,1.2506448357070763
2017-09-30,2017-10-27,HAL,365000000,0.42,872000000,5444000000,1035000000,9217000000,10938000000,9040000000,1898000000,764000000,1106000000,10.569954128440367,0.03960073776716936,0.014152772392400155,0.02435775849121945,1.1867201909515026
2017-12-31,2018-02-09,HAL,-824000000,-0.94,873000000,5940000000,783000000,8322000000,10942000000,8605000000,2337000000,572000000,1011000000,9.532646048109966,-0.09901465993751501,-0.0328483157265298,-0.054251283476684356,1.3148281663061765
2018-03-31,2018-04-27,HAL,46000000,0.0526,875000000,5740000000,733000000,8365000000,10894000000,8562000000,2332000000,71000000,572000000,9.56,0.0054991034070531975,0.0018260489857488786,0.004833391316524773,1.3023311416616856
2018-06-30,2018-07-27,HAL,511000000,0.58,877000000,6147000000,1173000000,8823000000,10871000000,8813000000,2058000000,391000000,956000000,10.060433295324971,0.057916808341833846,0.019833106928003105,0.03563048009295936,1.2321205939023008
2018-09-30,2018-10-26,HAL,435000000,0.5,877000000,6172000000,1084000000,8998000000,10459000000,8402000000,2057000000,368000000,777000000,10.259977194982897,0.048344076461435875,0.016892547862218943,0.03194885703215808,1.16236941542565
2018-12-31,2019-02-13,HAL,664000000,0.76,872000000,5936000000,1028000000,9522000000,10348000000,8340000000,2008000000,301000000,852000000,10.919724770642201,0.0697332493173703,0.02555615426064198,0.05217731868634788,1.086746481831548
2019-03-31,2019-04-26,HAL,152000000,0.17,873000000,5737000000,759000000,9605000000,11320000000,9940000000,1380000000,-481000000,-44000000,11.002290950744559,0.015825091098386257,0.005631924117232946,0.01389315255393536,1.1785528370640292
2019-06-30,2019-07-26,HAL,75000000,0.0858,874000000,5930000000,719000000,9508000000,11283000000,10107000000,1176000000,43000000,451000000,10.878718535469108,0.007888094236432478,0.0027901785714285715,0.0077731429352789535,1.1866848969289019
2019-09-30,2019-10-25,HAL,295000000,0.34,876000000,5550000000,936000000,9745000000,11283000000,9712000000,1571000000,526000000,871000000,11.124429223744292,0.030271934325295024,0.01101198253014297,0.02122463596317438,1.1578245253976398
2019-12-31,2020-02-11,HAL,-1653000000,-1.88,877601879,5191000000,-1319000000,8012000000,11360000000,9092000000,2268000000,827000000,1167000000,9.129424391307621,-0.2063155267099351,-0.06513772313512235,-0.08901685955412926,1.417873190214678
2020-03-31,2020-04-24,HAL,-1017000000,-1.16,876724137,5037000000,-404000000,6830000000,10851000000,9466000000,1385000000,12000000,225000000,7.790363823415529,-0.14890190336749634,-0.043053086106172214,-0.05227509818360334,1.5887262079062958
2020-06-30,2020-07-24,HAL,-1676000000,-1.91,877000000,3196000000,-1701000000,5189000000,10817000000,9006000000,1811000000,456000000,598000000,5.916761687571266,-0.32299094237810755,-0.07941622441243366,-0.11097441388438282,2.0846020427828096
2020-09-30,2020-10-23,HAL,-17000000,-0.02,850000000,2975000000,362000000,5200000000,10821000000,8706000000,2115000000,265000000,420000000,6.117647058823529,-0.003269230769230769,-0.0008144102711507138,0.18035380411333238,2.0809615384615383
2020-12-31,2021-02-05,HAL,-235000000,-0.27,884173297,3237000000,124000000,4974000000,10836000000,8273000000,2563000000,420000000,638000000,5.625594006148774,-0.04724567752312023,-0.011363636363636364,-0.007496980448403412,2.178528347406514
2021-03-31,2021-04-27,HAL,170000000,0.19,889000000,3451000000,584000000,5170000000,10610000000,8164000000,2446000000,99000000,203000000,5.815523059617548,0.03288201160541586,0.008262454434993925,0.020587984053712115,2.0522243713733075
2021-06-30,2021-07-23,HAL,227000000,0.26,890000000,3707000000,652000000,5420000000,10574000000,7916000000,2658000000,218000000,409000000,6.089887640449438,0.041881918819188194,0.010852416694554669,0.025080577104918,1.9509225092250924
2021-09-30,2021-10-22,HAL,236000000,0.26,894000000,3860000000,671000000,5681000000,10301000000,7669000000,2632000000,429000000,617000000,6.354586129753915,0.04154198204541454,0.01122473246135553,0.025430237519556254,1.8132371061432846
2021-12-31,2022-02-04,HAL,824000000,0.92,896000000,4277000000,778000000,6713000000,10219000000,7175000000,3044000000,366000000,682000000,7.4921875,0.12274690898257114,0.03691590878544868,0.07792500633916169,1.522270221957396
2022-03-31,2022-04-22,HAL,263000000,0.29,899000000,4284000000,690000000,7017000000,9582000000,7428000000,2154000000,-239000000,-50000000,7.805339265850946,0.037480404731366684,0.011915009287364654,0.02521237598368552,1.3655408294142797
2022-06-30,2022-07-22,HAL,109000000,0.12,904000000,5074000000,594000000,7130000000,9538000000,7312000000,2226000000,155000000,376000000,7.8871681415929205,0.015287517531556803,0.00485631543773669,0.012485229768154572,1.3377279102384292
2022-09-30,2022-10-26,HAL,544000000,0.6,908000000,5357000000,1063000000,7621000000,8954000000,6977000000,1977000000,502000000,753000000,8.3931718061674,0.07138170843721296,0.024110269024509152,0.04422261283241948,1.1749114289463325
2022-12-31,2023-02-07,HAL,656000000,0.72,910000000,5582000000,1195000000,7948000000,8943000000,6597000000,2346000000,813000000,1163000000,8.734065934065933,0.0825364871665828,0.02820898731455601,0.052073220221623605,1.1251887267237042
2023-03-31,2023-04-26,HAL,651000000,0.72,904000000,5677000000,1188000000,8415000000,8968000000,7089000000,1879000000,-146000000,122000000,9.30862831858407,0.07736185383244207,0.02756255556966849,0.048260630199638735,1.0657159833630423
2023-06-30,2023-07-26,HAL,610000000,0.68,901000000,5798000000,1148000000,8693000000,9076000000,6971000000,2105000000,749000000,1052000000,9.648168701442842,0.0701714022776947,0.025339592074107922,0.04535279176890955,1.0440584378235362
2023-09-30,2023-10-25,HAL,716000000,0.8,898000000,5804000000,1291000000,9150000000,8900000000,6864000000,2036000000,465000000,874000000,10.189309576837417,0.07825136612021857,0.029293838474756567,0.05103449328998698,0.9726775956284153
2023-12-31,2024-02-06,HAL,661000000,0.74,893000000,5739000000,1312000000,9391000000,8809000000,6545000000,2264000000,1011000000,1410000000,10.516237402015678,0.07038654030454691,0.026779564882712797,0.05293268883918909,0.9380257693536365
2024-03-31,2024-04-24,HAL,606000000,0.68,889000000,5804000000,1164000000,9636000000,8787000000,6896000000,1891000000,157000000,487000000,10.839145106861642,0.06288916562889166,0.024580189827208568,0.042173724302273424,0.911892901618929
2024-06-30,2024-07-29,HAL,709000000,0.8,884000000,5833000000,1305000000,10000000000,8728000000,6590000000,2138000000,734000000,1081000000,11.312217194570136,0.0709,0.028188613231552164,0.04830319469559976,0.8728
2024-09-30,2024-11-07,HAL,571000000,0.65,881000000,5697000000,1117000000,10296000000,8695000000,6517000000,2178000000,502000000,841000000,11.68671963677639,0.055458430458430456,0.022541549879594173,0.039807979131238624,0.8445027195027195
2024-12-31,2025-02-12,HAL,615000000,0.7,875000000,5610000000,1207000000,10506000000,8602000000,5984000000,2618000000,1030000000,1456000000,12.006857142857143,0.05853797829811536,0.024035643100011723,0.04376132273218436,0.8187702265372169
2025-03-31,2025-04-25,HAL,204000000,0.24,866000000,5417000000,694000000,10367000000,8574000000,6770000000,1804000000,75000000,377000000,11.971131639722863,0.019677823864184433,0.0081019897533659,0.01614268862122663,0.8270473618211633
2025-06-30,2025-07-25,HAL,472000000,0.55,862000000,5510000000,987000000,10505000000,8561000000,6523000000,2038000000,542000000,896000000,12.18677494199536,0.04493098524512137,0.018599519249714307,0.03243334267579691,0.8149452641599239
