date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,HBAN,152588000,0.18,800883000,791596000,294421000,6582637000,7813257000,6723094000,1090163000,288803000,314731000,8.219224281199626,0.0231803758888725,0.0021733031356223026,0.011467840436575788,1.186949394292895
2015-12-31,2016-02-17,HBAN,178309000,0.21,803412000,816368000,312385000,6594606000,7656643000,6757649000,898994000,608460000,632536000,8.208249316664427,0.027038613072562636,0.0025107471945858013,0.013354223687309746,1.161046315731372
2016-03-31,2016-04-29,HBAN,171314000,0.21,795755000,799118000,331374000,7157670000,8406787000,7523871000,882916000,179633000,191790000,8.994816243693096,0.02393432499682159,0.002358236324892267,0.011668666116179494,1.1745144718881984
2016-06-30,2016-07-29,HBAN,174540000,0.19,798167000,836770000,331969000,7507304000,9886565000,8974489000,912076000,87159000,94848000,9.405680766055225,0.023249358225003278,0.0023601152051010293,0.010589867255340484,1.3169261561807009
2016-09-30,2016-11-08,HBAN,127004000,0.12,938578000,996761000,242948000,10386765000,11146689000,9433637000,1713052000,355326000,399168000,11.066491010869635,0.012227483725683599,0.0012603928022444845,0.006407740872258797,1.073162721983216
2016-12-31,2017-02-22,HBAN,238963000,0.18,1085253000,1149195000,393243000,10308000000,12002000000,10559000000,1443000000,472746000,529496000,9.498246031109797,0.023182285603414822,0.002396483944080069,0.011451718023673743,1.164338377958867
2017-03-31,2017-04-28,HBAN,208094000,0.17,1086374000,1130000000,478000000,10437147000,10542570000,9170702000,1371868000,341000000,396000000,9.607323997076513,0.01993782400496994,0.002079993478167825,0.010607996828208949,1.010100748796582
2017-06-30,2017-07-31,HBAN,271741000,0.23,1088934000,1171000000,351000000,10654182000,13089348000,11496724000,1592624000,105000000,163000000,9.784047518031397,0.02550557142725739,0.0026797123691306673,0.012279407442747489,1.2285643327662321
2017-09-30,2017-10-30,HBAN,274568000,0.24,1086038000,1203000000,461000000,10698849000,11030256000,9786428000,1243828000,515000000,547000000,9.851265793646263,0.025663321353539992,0.002692156535948116,0.013424275395446203,1.030975948908149
2017-12-31,2018-02-16,HBAN,431597000,0.38,1077397000,1230451000,517659000,10814000000,14262000000,12695000000,1567000000,798342000,847705000,10.037154363711798,0.039910948770112815,0.004142602102030043,0.0183587987579225,1.3188459404475679
2018-03-31,2018-04-30,HBAN,326000000,0.29,1083836000,1228000000,490000000,11308000000,11472000000,10357000000,1115000000,278000000,294000000,10.433312789019741,0.028829147506190308,0.0031272183105346967,0.015047311331640896,1.0145030067209055
2018-06-30,2018-07-30,HBAN,355000000,0.3,1103337000,1308000000,535000000,11472000000,12168000000,10745000000,1423000000,286000000,308000000,10.397548527784348,0.030944909344490935,0.0033694641128343365,0.015978755007426744,1.0606694560669456
