date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-26,HIG,381000000,0.92,413800000,4562000000,539000000,18204000000,5526000000,4861000000,665000000,799000000,891000000,43.992266795553405,0.02092946605141727,0.0016461225389171883,0.0198731701792628,0.3035596572181938
2015-12-31,2016-02-26,HIG,421000000,1.03,406900000,4513000000,718000000,17642000000,5359000000,4911000000,448000000,643000000,756000000,43.3570901941509,0.023863507538827797,0.0018436771944575824,0.021852405515332844,0.30376374560707403
2016-03-31,2016-04-28,HIG,323000000,0.81,398500000,4410000000,562000000,18112000000,5323000000,4844000000,479000000,314000000,398000000,45.450439146800505,0.017833480565371023,0.0014198239066696558,0.01724639033293865,0.2938935512367491
2016-06-30,2016-07-28,HIG,216000000,0.55,391800000,4696000000,344000000,18559000000,5324000000,4863000000,461000000,365000000,418000000,47.36855538540072,0.01163855811196724,0.0009489666807254323,0.013833148322090342,0.2868689045745999
2016-09-30,2016-10-27,HIG,438000000,1.14,383800000,4715000000,726000000,18658000000,5325000000,4515000000,810000000,543000000,589000000,48.613861386138616,0.02347518490727838,0.001917436413781027,0.021979929620286935,0.2854003644549255
2016-12-31,2017-02-24,HIG,-81000000,-0.22,371400000,4537000000,-91000000,16903000000,5052000000,4170000000,328000000,620000000,661000000,45.511577813677974,-0.0047920487487428266,-0.00036252640624440547,-0.0026285325161729657,0.29888185529196
2017-03-31,2017-04-27,HIG,378000000,1.02,371400000,4169000000,577000000,17009000000,5137000000,4800000000,337000000,184000000,225000000,45.796984383414106,0.022223528720089366,0.0016771079205636502,0.016665086790108957,0.30201657945793403
2017-06-30,2017-07-27,HIG,-40000000,-0.11,361904761,4214000000,-107000000,17288000000,5137000000,4775000000,362000000,618000000,669000000,47.76947380363421,-0.0023137436372049976,-0.00017709850661684295,-0.004952495305017031,0.29714252660805185
2017-09-30,2017-10-26,HIG,234000000,0.65,360200000,4192000000,369000000,17233000000,5138000000,4805000000,333000000,593000000,630000000,47.842865074958354,0.013578599199210816,0.0010436597669159853,0.009451279282043723,0.2981489003655777
2017-12-31,2018-02-23,HIG,-3703000000,-10.37,357000000,2866000000,288000000,13494000000,4998000000,4818000000,180000000,541000000,662000000,37.79831932773109,-0.27441825996739294,-0.01643878185208204,-0.07233443836250096,0.3703868385949311
2018-03-31,2018-04-26,HIG,597000000,1.67,357500000,4691000000,715000000,13143000000,5168000000,4940000000,228000000,673000000,712000000,36.763636363636365,0.045423419310659664,0.002755393093517211,0.02731698418670406,0.39321311724872554
2018-06-30,2018-07-26,HIG,582000000,0.41,358300000,4789000000,737000000,12546000000,4675000000,4528000000,147000000,538000000,558000000,35.015350265140945,0.046389287422285985,0.009576306046894282,0.02915821130454377,0.37262872628726285
2018-09-30,2018-10-25,HIG,432000000,1.2,358600000,4842000000,721000000,12729000000,4676000000,4574000000,102000000,561000000,572000000,35.49637479085332,0.03393825123733207,0.007031593339518531,0.027890571926124708,0.3673501453374185
2018-12-31,2019-02-22,HIG,196000000,0.53,359100000,4633000000,345000000,13101000000,4678000000,4557000000,112000000,949000000,1001000000,36.482873851294904,0.014960690023662316,0.003145713964723065,0.01574436455667371,0.3570719792382261
2019-03-31,2019-05-01,HIG,630000000,1.74,360000000,4940000000,947000000,14340000000,4266000000,4162000000,104000000,259000000,279000000,39.833333333333336,0.043933054393305436,0.009948834565093803,0.03686227469741719,0.297489539748954
2019-06-30,2019-08-01,HIG,372000000,1.03,361400000,5092000000,632000000,15292000000,4550000000,4324000000,226000000,701000000,725000000,42.31322634200332,0.02432644520010463,0.005354675264854906,0.021584152571477635,0.29754119801203244
2019-09-30,2019-11-04,HIG,535000000,1.45,361400000,5347000000,832000000,16078000000,4846000000,4639000000,207000000,1411000000,1442000000,44.48810182623132,0.033275282995397434,0.007615007970849465,0.028473852510027015,0.3014056474685906
