date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-28,HLT,279000000,0.84,328999671,2895000000,839000000,5214000000,10816000000,10188000000,628000000,265000000,343000000,15.848040164149587,0.053509781357882626,0.010758907913003239,0.023158472435581754,2.074415036440353
2015-12-31,2016-02-26,HLT,814000000,2.46,328999671,2856000000,658000000,5985000000,10547000000,9938000000,609000000,273000000,403000000,18.191507553209682,0.13600668337510444,0.03165344532586716,0.07288742763699865,1.7622389306599833
2016-03-31,2016-04-27,HLT,309000000,0.94,329000000,2750000000,329000000,6237000000,10448000000,9756000000,692000000,208000000,312000000,18.95744680851064,0.04954304954304954,0.012013529800552078,0.014589716334229558,1.6751643418310085
2016-06-30,2016-07-27,HLT,239000000,0.73,329000000,3051000000,433000000,6375000000,10443000000,9633000000,810000000,225000000,343000000,19.376899696048632,0.037490196078431376,0.009244575097667582,0.013789042978510744,1.6381176470588235
2016-09-30,2016-10-26,HLT,187000000,0.57,329000000,2942000000,424000000,6516000000,10401000000,9542000000,859000000,185000000,281000000,19.805471124620063,0.028698588090853284,0.007228170538440725,0.012628553836556134,1.5962246777163904
2016-12-31,2017-02-15,HLT,-387000000,-1.18,329032574,2920000000,584000000,5899000000,10812000000,9394000000,1418000000,279000000,414000000,17.928316118634502,-0.06560433971859637,-0.01476479340734806,-0.04002500243279438,1.8328530259365994
2017-03-31,2017-05-02,HLT,47000000,0.14,330000000,2161000000,241000000,1598000000,6629000000,5767000000,862000000,32000000,63000000,4.842424242424243,0.029411764705882353,0.0032897039266466016,0.017601678701475037,4.148310387984981
2017-06-30,2017-07-26,HLT,150000000,0.46,327000000,2346000000,419000000,1515000000,6620000000,5836000000,784000000,265000000,313000000,4.63302752293578,0.09900990099009901,0.010512299390286636,0.029253162834988435,4.36963696369637
2017-09-30,2017-10-26,HLT,158000000,0.49,322000000,2354000000,424000000,1447000000,6613000000,5943000000,670000000,217000000,270000000,4.4937888198757765,0.10919143054595715,0.011108767489277931,0.03081551334216724,4.570145127850726
2017-12-31,2018-02-14,HLT,840000000,2.66,316000000,2279000000,448000000,2072000000,6602000000,6032000000,570000000,202000000,278000000,6.556962025316456,0.40540540540540543,0.05870841487279843,0.14593487783810463,3.186293436293436
2018-03-31,2018-04-26,HLT,161000000,0.51,316000000,2074000000,386000000,1742000000,6605000000,5995000000,610000000,218000000,243000000,5.512658227848101,0.09242250287026406,0.01129032258064516,0.028979862294188415,3.7916188289322617
2018-06-30,2018-07-25,HLT,217000000,0.72,301000000,2291000000,472000000,555000000,7575000000,7152000000,423000000,248000000,289000000,1.8438538205980066,0.390990990990991,0.015515515515515516,0.03713219830660352,13.64864864864865
2018-09-30,2018-10-24,HLT,162000000,0.55,297000000,2253000000,473000000,574000000,7574000000,6953000000,621000000,335000000,382000000,1.9326599326599327,0.28222996515679444,0.011454429753234815,0.029150122131430378,13.195121951219512
2018-12-31,2019-02-13,HLT,224000000,0.76,296000000,2288000000,443000000,551000000,7282000000,6879000000,403000000,295000000,341000000,1.8614864864864864,0.40653357531760437,0.016005716327259736,0.040984021291452045,13.215970961887477
2019-03-31,2019-05-01,HLT,158000000,0.54,293000000,2204000000,400000000,100000000,8468000000,8086000000,382000000,322000000,364000000,0.3412969283276451,1.58,0.010637581633340066,0.028155028612287254,84.68
2019-06-30,2019-07-24,HLT,260000000,0.9,290000000,2484000000,549000000,-30000000,8875000000,8240000000,635000000,238000000,286000000,-0.10344827586206896,-8.666666666666666,0.017173051519154558,0.04066022435919004,-295.8333333333333
2019-09-30,2019-10-23,HLT,288000000,1.01,285000000,2395000000,612000000,-208000000,8809000000,8090000000,719000000,477000000,532000000,-0.7298245614035088,-1.3846153846153846,0.01911462135793456,0.045969016870574954,-42.35096153846154
2019-12-31,2020-02-11,HLT,175000000,0.62,281000000,2369000000,443000000,-482000000,9163000000,8625000000,538000000,142000000,202000000,-1.7153024911032029,-0.3630705394190871,0.011700207260814334,0.031397615362029244,-19.010373443983404
2020-03-31,2020-05-07,HLT,18000000,0.06,277000000,1920000000,168000000,-914000000,10462000000,8728000000,1734000000,100000000,129000000,-3.299638989169675,-0.019693654266958426,0.0011401064099315936,-0.010433761423689002,-11.446389496717725
2020-06-30,2020-08-06,HLT,-430000000,-1.55,277000000,564000000,-250000000,-1299000000,11408000000,7905000000,3503000000,783000000,817000000,-4.689530685920578,0.33102386451116245,-0.025108022889174356,-0.049782752780027986,-8.782140107775211
2020-09-30,2020-11-04,HLT,-79000000,-0.29,277000000,933000000,92000000,-1324000000,11444000000,8039000000,3405000000,-113000000,-100000000,-4.7797833935018055,0.05966767371601209,-0.004612061416311519,0.00021162362346670847,-8.643504531722055
2020-12-31,2021-02-17,HLT,-224000000,-0.81,278000000,890000000,-174000000,-1490000000,11628000000,8410000000,3218000000,-154000000,-138000000,-5.359712230215828,0.15033557046979865,-0.013369143539242017,-0.0219868492969177,-7.804026845637584
2021-03-31,2021-05-05,HLT,-108000000,-0.39,276923076,874000000,10000000,-1623000000,10926000000,8524000000,2402000000,-182000000,-171000000,-5.860833352869444,0.066543438077634,-0.006760986603230249,-0.004497134070746591,-6.7319778188539745
2021-06-30,2021-07-29,HLT,130000000,0.47,279000000,1329000000,274000000,-1417000000,9721000000,8677000000,1044000000,-143000000,-129000000,-5.078853046594982,-0.09174311926605505,0.008614976805831677,0.031652241816880325,-6.860268172194778
2021-09-30,2021-10-27,HLT,241000000,0.86,279000000,1749000000,484000000,-1128000000,9666000000,8378000000,1288000000,258000000,278000000,-4.043010752688172,-0.21365248226950354,0.015737233903617604,0.04264503042596349,-8.569148936170214
2021-12-31,2022-02-16,HLT,147000000,0.53,279000000,1836000000,377000000,-821000000,9776000000,8349000000,1427000000,97000000,131000000,-2.942652329749104,-0.17904993909866018,0.009520108801243442,0.027540501396754506,-11.907429963459196
2022-03-31,2022-05-03,HLT,212000000,0.76,279000000,1721000000,425000000,-698000000,9588000000,8156000000,1432000000,181000000,195000000,-2.5017921146953404,-0.3037249283667622,0.013713694288116954,0.037041798331826616,-13.736389684813753
2022-06-30,2022-07-27,HLT,368000000,1.32,278000000,2240000000,652000000,-789000000,9537000000,8362000000,1175000000,311000000,333000000,-2.838129496402878,-0.4664131812420786,0.02392406709140554,0.05781388635989816,-12.087452471482889
2022-09-30,2022-10-26,HLT,347000000,1.27,273000000,2368000000,672000000,-913000000,9517000000,8235000000,1282000000,645000000,671000000,-3.3443223443223444,-0.380065717415115,0.022375548104204283,0.05675961866890714,-10.423877327491786
2022-12-31,2023-02-09,HLT,328000000,1.22,270000000,2444000000,562000000,-1102000000,9691000000,8482000000,1209000000,442000000,482000000,-4.0814814814814815,-0.29764065335753176,0.021144920061887573,0.05855776795981359,-8.794010889292196
2023-03-31,2023-04-26,HLT,206000000,0.77,266000000,2293000000,455000000,-1420000000,9572000000,8671000000,901000000,267000000,330000000,-5.338345864661654,-0.14507042253521127,0.013542830846098218,0.039894931139893015,-6.740845070422536
2023-06-30,2023-07-26,HLT,411000000,1.56,264000000,2660000000,716000000,-1431000000,9570000000,8764000000,806000000,411000000,464000000,-5.420454545454546,-0.28721174004192873,0.026868013335948224,0.06732708400958046,-6.687631027253669
2023-09-30,2023-10-25,HLT,377000000,1.45,260000000,2673000000,701000000,-1763000000,9523000000,8825000000,698000000,626000000,687000000,-6.780769230769231,-0.21384004537719795,0.024802631578947368,0.06473399318238666,-5.401588201928531
2023-12-31,2024-02-07,HLT,147000000,0.57,256000000,2609000000,431000000,-2360000000,10120000000,9320000000,800000000,395000000,465000000,-9.21875,-0.06228813559322034,0.009544834750990196,0.031305059149257485,-4.288135593220339
2024-03-31,2024-04-24,HLT,265000000,1.05,252000000,2573000000,532000000,-2833000000,10948000000,9602000000,1346000000,312000000,346000000,-11.242063492063492,-0.09354041651959054,0.016633191062013556,0.053802083227930717,-3.864454641722556
2024-06-30,2024-08-07,HLT,421000000,1.69,249000000,2951000000,766000000,-3116000000,10958000000,10227000000,731000000,383000000,421000000,-12.514056224899598,-0.13510911424903724,0.026752239944080828,0.0735030520384876,-3.516688061617458
2024-09-30,2024-10-23,HLT,344000000,1.4,246000000,2867000000,668000000,-3470000000,11962000000,10382000000,1580000000,617000000,664000000,-14.105691056910569,-0.09913544668587897,0.020612379411588472,0.06395913479671117,-3.4472622478386166
2024-12-31,2025-02-06,HLT,505000000,2.08,243000000,2783000000,532000000,-3727000000,12003000000,10702000000,1301000000,503000000,582000000,-15.337448559670781,-0.13549771934531796,0.03056530686357584,0.10623186550605905,-3.2205527233700026
2025-03-31,2025-04-29,HLT,300000000,1.25,240000000,2695000000,596000000,-4378000000,11880000000,11149000000,731000000,412000000,452000000,-18.241666666666667,-0.06852444038373687,0.01869974443682603,0.05997600959616153,-2.71356783919598
2025-06-30,2025-07-23,HLT,440000000,1.85,237000000,3137000000,823000000,-4590000000,11693000000,11322000000,371000000,635000000,658000000,-19.367088607594937,-0.09586056644880174,0.02766599597585513,0.08141831671243435,-2.5474945533769064
