date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-16,HON,1264000000,1.62,780400000,9611000000,1974000000,17760000000,10567000000,4004000000,6563000000,1389000000,1666000000,22.75756022552537,0.07117117117117117,0.027109919571045575,0.06110185343397733,0.5949887387387387
2015-12-31,2016-02-12,HON,1194000000,1.55,771800000,9982000000,1955000000,18283000000,12068000000,6613000000,5455000000,1571000000,1959000000,23.68877947654833,0.0653065689438276,0.024211209343823505,0.050776529819584866,0.6600667286550347
2016-03-31,2016-04-22,HON,1216000000,1.58,767900000,9522000000,1948000000,18197000000,13957000000,9484000000,4473000000,63000000,257000000,23.697095976038547,0.0668242017915041,0.024143750620470566,0.04546240083251029,0.7669945595427817
2016-06-30,2016-07-22,HON,1319000000,1.73,763300000,9991000000,2101000000,18771000000,14013000000,8968000000,5045000000,1263000000,1544000000,24.591903576575397,0.07026796654413724,0.02577128231179539,0.04875729595438309,0.7465238932395717
2016-09-30,2016-10-21,HON,1240000000,1.62,763700000,9804000000,1960000000,19191000000,15858000000,9427000000,6431000000,1381000000,1655000000,25.128977347125836,0.06461362096816216,0.02315333482709687,0.04542595569222168,0.8263248397686416
2016-12-31,2017-02-10,HON,1034000000,1.36,762400000,9985000000,1727000000,19369000000,15775000000,7932000000,7843000000,1696000000,2042000000,25.405299055613852,0.053384273839640665,0.019096516824880876,0.03929271627146897,0.8144457638494501
2017-03-31,2017-04-21,HON,1326000000,1.74,763100000,9492000000,2059000000,20323000000,15867000000,8157000000,7710000000,772000000,940000000,26.632158301664266,0.06524627269596024,0.024206356450464594,0.04850589170729164,0.7807410323279044
2017-06-30,2017-07-21,HON,1392000000,1.82,764200000,10078000000,2124000000,20425000000,16510000000,8633000000,7877000000,1214000000,1447000000,26.727296519235804,0.06815177478580171,0.025005389092476828,0.050076333892085496,0.8083231334149327
2017-09-30,2017-10-20,HON,1345000000,1.76,762200000,10121000000,2145000000,21074000000,16783000000,9394000000,7389000000,1195000000,1407000000,27.6489110469693,0.06382271993926165,0.02369292559188275,0.046735867190835854,0.7963841700673816
2017-12-31,2018-02-09,HON,-2411000000,-3.18,757805486,10843000000,1987000000,16502000000,17882000000,10823000000,7059000000,1754000000,2172000000,21.776036601561366,-0.14610350260574476,-0.04054144947032117,-0.09251872686194998,1.083626227123985
2018-03-31,2018-04-20,HON,1439000000,1.92,750600000,10395000000,2236000000,17595000000,18287000000,10390000000,7897000000,996000000,1136000000,23.441247002398082,0.08178459789712987,0.023610290739646912,0.052908460558409226,1.039329354930378
2018-06-30,2018-07-20,HON,1267000000,1.7,745500000,10919000000,2365000000,17600000000,17084000000,9002000000,8082000000,1662000000,1861000000,23.608316566063046,0.07198863636363637,0.021166054126294687,0.04999417233614927,0.9706818181818182
2018-09-30,2018-10-19,HON,2338000000,3.15,741800000,10762000000,2231000000,18239000000,18251000000,8448000000,9803000000,1695000000,1878000000,24.587489889458077,0.12818685234936125,0.03775412986258014,0.092416480764956,1.00065793080761
2018-12-31,2019-02-08,HON,1721000000,2.34,734000000,9729000000,2102000000,18180000000,16214000000,6927000000,9287000000,1253000000,1559000000,24.768392370572208,0.09466446644664467,0.029789001782839736,0.07446084247791546,0.8918591859185918
2019-03-31,2019-04-18,HON,1416000000,1.94,729700000,8884000000,2212000000,18767000000,16112000000,7487000000,8625000000,993000000,1134000000,25.718788543236947,0.07545159055789417,0.02418032786885246,0.057933077898392936,0.8585282677039484
2019-06-30,2019-07-18,HON,1541000000,2.13,723200000,9242000000,2399000000,17870000000,16183000000,7958000000,8225000000,1507000000,1678000000,24.70962389380531,0.08623391158365977,0.026683982683982685,0.06395299682585424,0.9055959709009513
2019-09-30,2019-10-17,HON,1624000000,2.26,717600000,9085000000,2381000000,18109000000,18611000000,7703000000,10908000000,1279000000,1471000000,25.235507246376812,0.08967916505604948,0.027019832290696127,0.06874753753057479,1.027721022695897
2019-12-31,2020-02-14,HON,1562000000,2.19,713500000,9495000000,2080000000,18494000000,16707000000,7640000000,9067000000,2279000000,2614000000,25.92011212333567,0.08445982480804586,0.026619403875321666,0.06231999749290725,0.903374067265059
2020-03-31,2020-05-01,HON,1581000000,2.23,709600000,8463000000,2251000000,17644000000,16112000000,8391000000,7721000000,800000000,939000000,24.864712514092446,0.08960553162548175,0.027533001288704676,0.06401337098886462,0.9131716164135116
2020-06-30,2020-07-24,HON,1081000000,1.54,702300000,7478000000,1559000000,18147000000,22089000000,8311000000,13778000000,1253000000,1480000000,25.839384878257157,0.059569074778200254,0.016995786428526508,0.04460428902098213,1.217225987766573
2020-09-30,2020-10-30,HON,758000000,1.08,702600000,7798000000,1504000000,18074000000,22222000000,8186000000,14036000000,758000000,1007000000,25.724452035297467,0.0419386964700675,0.011944720213050946,0.032357641754526566,1.2295009405776254
2020-12-31,2021-02-12,HON,1359000000,1.94,701800000,8901000000,2059000000,17549000000,23212000000,8937000000,14275000000,2491000000,2782000000,25.00569962952408,0.07744030998917317,0.02104171182609234,0.05495775545990754,1.3226964499401674
2021-03-31,2021-04-23,HON,1427000000,2.05,696200000,8453000000,2292000000,17986000000,21327000000,9609000000,11718000000,757000000,978000000,25.834530307382934,0.07933948626709664,0.022450873963594027,0.05501093920187202,1.1857555876793062
2021-06-30,2021-07-23,HON,1430000000,2.06,693800000,8807000000,2248000000,17938000000,21356000000,9929000000,11427000000,1093000000,1278000000,25.85471317382531,0.07971903222209833,0.022362968175776057,0.05421644052509082,1.1905452112833093
2021-09-30,2021-10-22,HON,1257000000,1.82,690600000,8471000000,2098000000,17842000000,21249000000,10162000000,11087000000,911000000,1119000000,25.835505357660004,0.07045174307813025,0.01958218441837641,0.04786438071872085,1.1909539289317341
2021-12-31,2022-02-11,HON,1428000000,2.07,688300000,8656000000,2163000000,18569000000,20631000000,9672000000,10959000000,2382000000,2663000000,26.978061891617028,0.07690236415531262,0.02214983713355049,0.05333873079870882,1.1110452905379935
2022-03-31,2022-04-29,HON,1134000000,1.66,684700000,8375000000,1920000000,18365000000,19369000000,10088000000,9281000000,-147000000,36000000,26.821965824448665,0.06174789000816771,0.017899987372142948,0.04210615793160323,1.0546692077320992
2022-06-30,2022-07-28,HON,1261000000,1.86,679000000,8951000000,2066000000,17541000000,19077000000,10829000000,8248000000,631000000,789000000,25.83357879234168,0.07188871786101135,0.02025442513411931,0.046791827808585734,1.0875662733025484
2022-09-30,2022-10-27,HON,1552000000,2.3,674100000,8947000000,2379000000,17707000000,16985000000,9536000000,7449000000,1899000000,2083000000,26.267616080700193,0.08764895239170949,0.025743526796821868,0.05967143762673045,0.9592251651889083
2022-12-31,2023-02-10,HON,1019000000,1.52,670600000,9180000000,1632000000,16697000000,20537000000,10910000000,9627000000,2125000000,2366000000,24.898598270205785,0.06102892735221896,0.016362906463267764,0.041462436712718036,1.2299814337905013
2023-03-31,2023-04-27,HON,1394000000,2.09,667800000,8863000000,2235000000,16919000000,19162000000,12293000000,6869000000,-977000000,-784000000,25.335429769392032,0.08239257639340386,0.023278726850692183,0.05279751429735455,1.132572847094982
2023-06-30,2023-07-27,HON,1487000000,2.24,665300000,9144000000,2375000000,17299000000,21373000000,12747000000,8626000000,1127000000,1360000000,26.00180369758004,0.08595872593791548,0.023854211784333543,0.05486319785852169,1.2355049424822244
2023-09-30,2023-10-26,HON,1514000000,2.29,662400000,9207000000,2481000000,17231000000,20286000000,12516000000,7770000000,1560000000,1809000000,26.01298309178744,0.08786489466658928,0.024699817280083528,0.05626325136938187,1.177296732633045
2023-12-31,2024-02-16,HON,1263000000,1.92,656500000,9433000000,2009000000,15856000000,21536000000,13611000000,7925000000,2591000000,2955000000,24.152322924600153,0.07965438950554996,0.020528240552620886,0.048033204001451016,1.3582240161453079
2024-03-31,2024-04-25,HON,1463000000,2.24,652300000,9104000000,2382000000,16454000000,25256000000,13500000000,11756000000,215000000,448000000,25.224589912616896,0.08891454965357967,0.022286541244573084,0.05503227164602685,1.534945909809165
2024-06-30,2024-07-25,HON,1544000000,2.37,650200000,9575000000,2533000000,16947000000,27932000000,18356000000,9576000000,1112000000,1371000000,26.064287911411874,0.09110757066147401,0.022270622683148465,0.04978524173746567,1.6481973210597747
2024-09-30,2024-10-24,HON,1413000000,2.17,650400000,9728000000,2478000000,17406000000,31974000000,21330000000,10644000000,1718000000,1997000000,26.7619926199262,0.0811789038262668,0.019226582485168453,0.04247735854312051,1.836952774905205
2024-12-31,2025-02-14,HON,1285000000,1.98,650600000,10089000000,2212000000,18619000000,32225000000,21658000000,10567000000,1888000000,2281000000,28.618198585920688,0.06901552177882808,0.017088674929517527,0.03791707130195932,1.7307589021966807
2025-03-31,2025-04-29,HON,1449000000,2.24,648200000,9821000000,2544000000,17463000000,33991000000,24334000000,9657000000,346000000,597000000,26.940759024992285,0.08297543377426558,0.019264005956021166,0.040426285432669795,1.9464582259634655
2025-06-30,2025-07-24,HON,1570000000,2.46,637500000,10353000000,2605000000,16095000000,37648000000,27299000000,10349000000,1016000000,1319000000,25.24705882352941,0.09754582168375271,0.02002065825884033,0.04253432194886046,2.339111525318422
