date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-12-17,HPE,1385000000,0.79,1742520126,13448000000,2063000000,33535000000,15794000000,5952000000,9842000000,-896000000,-158000000,19.24511487679655,0.04130013418816162,0.01704195890242402,0.34277679420384616,0.4709706277024005
2016-01-31,2016-03-10,HPE,267000000,0.15,1761000000,12724000000,1800000000,31249000000,16139000000,7634000000,8505000000,-907000000,-75000000,17.7450312322544,0.008544273416749336,0.0034517530251318646,0.017457484582999058,0.5164645268648597
2016-04-30,2016-06-08,HPE,320000000,0.19,1725000000,8509000000,1632000000,31634000000,16212000000,7202000000,9010000000,387000000,1107000000,18.33855072463768,0.010115698299298223,0.004099200655872105,0.016922187729030487,0.5124865650881962
2016-07-31,2016-09-08,HPE,2272000000,1.35,1681000000,12253000000,1866000000,32426000000,16265000000,5522000000,10743000000,854000000,1714000000,19.289708506841166,0.07006723000061679,0.028824805572119104,0.0,0.5016036513908592
2016-10-31,2016-12-15,HPE,302000000,0.18,1672000000,12483000000,1975000000,31448000000,15693000000,2706000000,12987000000,1344000000,2212000000,18.80861244019139,0.009603154413635207,0.003790208210444408,0.00985157542515392,0.4990142457389977
2017-01-31,2017-03-09,HPE,267000000,0.16,1669000000,11328000000,1277000000,31501000000,15790000000,5932000000,9858000000,-2387000000,-1464000000,18.87417615338526,0.008475921399320657,0.0034828206934335135,0.008831779445943419,0.501253928446716
2017-04-30,2017-06-08,HPE,-612000000,-0.37,1648275862,7443000000,970000000,29011000000,13914000000,5813000000,8101000000,-122000000,636000000,17.600815900318025,-0.021095446554755093,-0.009070698088039128,-0.02479796566837938,0.4796111819654614
2017-07-31,2017-09-07,HPE,165000000,0.1,1641000000,7546000000,978000000,29012000000,16596000000,8839000000,7757000000,167000000,891000000,17.679463741620964,0.00568730180614918,0.0023262043394284585,0.023067584675199693,0.5720391562112229
2017-10-31,2017-12-15,HPE,524000000,0.32,1618000000,7737000000,449000000,23466000000,14032000000,4453000000,9579000000,94000000,826000000,14.503090234857849,0.022330179834654393,0.008533368074780966,0.009620974011315836,0.5979715332821955
2018-01-31,2018-03-09,HPE,1436000000,0.9,1591000000,7720000000,15000000,23951000000,13955000000,6282000000,7673000000,-527000000,142000000,15.054054054054054,0.059955742975241116,0.02330450023531703,0.046258684642125764,0.582647906141706
