date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-26,2015-11-04,HSIC,127735000,0.77,165716000,2685835000,240036000,2939352000,798448000,737967000,60481000,88694000,107428000,17.73728547635714,0.04345685715763202,0.02004768692366922,0.03829697620316345,0.27164082423609015
2015-12-26,2016-02-10,HSIC,129948000,0.78,164496000,2850918000,253338000,2884256000,809714000,737628000,72086000,278791000,298311000,17.533897480789808,0.045054253159220264,0.019977431842010597,0.03936550025009615,0.28073582927451657
2016-03-26,2016-05-03,HSIC,113752000,0.7,163136000,2712956000,221219000,2913698000,1107646000,1036032000,71614000,-114117000,-101512000,17.860545802275404,0.03904042217141241,0.017233663153333727,0.0321471810963619,0.3801512716829267
2016-06-30,2016-06-30,HSIC,120097000,0.74,162916000,2872630000,243491000,2947723000,955050000,891490000,63560000,260809000,274384000,18.093514449163987,0.040742294984976536,0.018104358480679258,0.034772633478755456,0.3239958435714618
2016-09-30,2016-09-30,HSIC,133713000,0.83,161792000,2865148000,248522000,2895317000,1068607000,992415000,76192000,159736000,178081000,17.895303846914558,0.046182507822114124,0.02015694963498665,0.037715821437277655,0.36908117487653336
2016-12-31,2017-02-21,HSIC,139216000,0.88,159028000,3120934000,274013000,2793066000,1218856000,1156475000,62381000,238854000,264508000,17.563359911462133,0.04984343370332101,0.02059287651196764,0.04168516398380234,0.4363863940200482
2017-03-31,2017-03-31,HSIC,140748000,0.89,157716000,2922948000,242976000,2787225000,1398750000,1335862000,62888000,-69902000,-52591000,17.672430190976186,0.05049753787369157,0.0205633037334432,0.03731549263857946,0.5018432311707881
2017-06-30,2017-06-30,HSIC,136055000,0.86,157748000,3059458000,263286000,2926255000,1402343000,1327689000,74654000,209076000,228730000,18.550187641047746,0.04649458095757205,0.01916954469319711,0.03531882346089532,0.47922788683829676
2017-09-30,2017-09-30,HSIC,138031000,0.88,156914000,3161083000,266887000,3011639000,1556704000,1476825000,79879000,113012000,131362000,19.192927335992966,0.04583251843929501,0.018436924017262168,0.03378635086800843,0.5168959493485109
2017-12-31,2017-12-31,HSIC,-8535000,-0.055,155104000,3318054000,296425000,2811499000,1666068000,1491410000,174658000,211828000,238014000,18.126540901588612,-0.003035747122798194,-0.0010853262241392575,0.005359416272726742,0.5925906429274918
2018-03-31,2018-05-08,HSIC,140218000,0.92,153106000,3220439000,263047000,2901980000,1968819000,1869584000,99235000,-89195000,-70944000,18.95405797290766,0.048318044921053904,0.01771575448560407,0.033294571212430776,0.6784398927628722
2018-06-30,2018-06-30,HSIC,141212000,0.92,153353000,3326676000,257832000,2913538000,2177194000,2065873000,111321000,267361000,287830000,18.998897967434612,0.04846753328770725,0.018081417339732484,0.03112170374656812,0.7472680980992868
2018-09-29,2018-11-06,HSIC,121478000,0.8,152533000,3279678000,222254000,2973135000,2157678000,2037938000,119740000,150762000,173868000,19.491749326375277,0.04085855502693285,0.014478368498899325,0.027381105409086025,0.7257248661766116
2018-12-29,2019-02-20,HSIC,132973000,0.88,151757000,3375202000,238561000,2961332000,1940082000,1883197000,56885000,265141000,293952000,19.513643522209847,0.04490310441382459,0.01564291249236665,0.031045627879804347,0.6551382958749644
2019-03-30,2019-05-07,HSIC,109783000,0.73,150257000,2360268000,217382000,2796922000,1538299000,1450184000,88115000,-49657000,-33739000,18.614254244394605,0.03925136274804946,0.0153653029644791,0.03138627942916425,0.5499971039592809
2019-06-29,2019-08-06,HSIC,114532000,0.77,148148000,2447827000,223268000,2827277000,1471598000,1386674000,84924000,148441000,163231000,19.084138834138834,0.040509649390562015,0.016103286444385297,0.031566425693893854,0.5205001137136546
2019-09-28,2019-11-05,HSIC,140557000,0.96,147136000,2508767000,233251000,2829528000,1339137000,1263881000,75256000,213787000,232035000,19.230698129621576,0.049675069481553105,0.019804900098378462,0.03483601039871204,0.47327222066719254
2019-12-28,2020-02-20,HSIC,329862000,2.27,145404000,2668941000,244007000,2998044000,998348000,892251000,106097000,265297000,292560000,20.618717504332757,0.11002573678038081,0.046127442473543584,0.039019249838988086,0.3329997825248729
2020-03-28,2020-05-05,HSIC,130261000,0.91,142967000,2428871000,225635000,2974577000,1583358000,965990000,617368000,67467000,90475000,20.80603915588912,0.043791436563921524,0.01732378444515374,0.034810435735691043,0.5322968610326779
2020-06-27,2020-08-04,HSIC,-10797000,-0.0758,142350000,1684399000,41385000,2991087000,1353619000,1057509000,296110000,-98325000,-90745000,21.012202318229715,-0.00360972449146414,-0.0014753779144248014,-0.0013316781162229494,0.45255086194416944
2020-09-26,2020-11-02,HSIC,141697000,1.0,142362000,2840146000,239232000,3155273000,1396269000,862774000,533495000,242121000,249332000,22.163730489877917,0.04490800003676385,0.018143265690511844,0.04051507443444673,0.44251923684574995
2020-12-26,2021-02-17,HSIC,142633000,0.99,142379000,3165725000,228921000,3348172000,1002418000,581233000,421185000,338818000,349848000,23.515911756649505,0.042600260679558875,0.018350905470701184,0.0382800331179423,0.29939262379591014
2021-03-27,2021-05-04,HSIC,166000000,1.17,142298000,2924961000,281583000,3358168000,1002256000,857718000,144538000,49488000,63331000,23.599544617633416,0.049431713958324894,0.02133698032884657,0.04125029281993902,0.29845320424707755
2021-06-26,2021-08-03,HSIC,156000000,1.11,140358000,2967223000,261972000,3360266000,1106671000,939443000,167228000,140426000,158395000,23.940680260476782,0.04642489612429492,0.01920220736759155,0.03780283477760066,0.329340296274164
2021-09-25,2021-11-02,HSIC,162000000,1.11,139377000,3178315000,264188000,3457989000,1122107000,1002974000,119133000,194321000,211215000,24.810327385436622,0.04684803797814279,0.019238186803268876,0.03626814335525468,0.32449698365148066
2021-12-25,2022-02-15,HSIC,147233000,1.06,138406000,3330522000,259933000,3425000000,1217000000,1099000000,118000000,246330000,276639000,24.746037021516408,0.04298773722627737,0.01736033486617144,0.034491082561150174,0.35532846715328464
