date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,HST,85000000,0.11,746400000,1287000000,315000000,6960000000,4278000000,4013000000,265000000,93000000,256000000,9.32475884244373,0.01221264367816092,0.0070951585976627716,0.011701836810275125,0.6146551724137931
2015-12-31,2016-02-22,HST,163000000,0.22,753200000,1334000000,406000000,7064000000,4017000000,3778000000,239000000,177000000,353000000,9.378651088688263,0.023074745186862967,0.013832315003394434,0.021265039250650764,0.5686579841449604
2016-03-31,2016-04-29,HST,182000000,0.24,749600000,1339000000,395000000,7020000000,3961000000,3727000000,234000000,40000000,219000000,9.364994663820704,0.025925925925925925,0.015568862275449102,0.02093660689361815,0.5642450142450143
2016-06-30,2016-07-29,HST,347000000,0.47,744000000,1459000000,600000000,7175000000,3715000000,3449000000,266000000,230000000,393000000,9.643817204301076,0.04836236933797909,0.029934437543133196,0.036402627481204194,0.5177700348432056
2016-09-30,2016-11-02,HST,107000000,0.14,740600000,1295000000,313000000,7091000000,3752000000,3412000000,340000000,189000000,305000000,9.574669187145558,0.015089550133972642,0.009270490382949229,0.01335951258020768,0.5291214215202369
2016-12-31,2017-02-24,HST,126000000,0.17,737900000,1337000000,345000000,6994000000,3649000000,3277000000,372000000,294000000,386000000,9.478249085241902,0.018015441807263367,0.011044880785413744,0.015627293983831808,0.5217329139262225
2017-03-31,2017-05-02,HST,158000000,0.21,738000000,1348000000,347000000,7026000000,3988000000,3577000000,411000000,129000000,209000000,9.520325203252032,0.022487902077996016,0.013417119565217392,0.019004968161780142,0.5676060347281526
2017-06-30,2017-07-28,HST,210000000,0.28,738600000,1441000000,420000000,7101000000,3992000000,3348000000,644000000,340000000,403000000,9.614134849715679,0.029573299535276723,0.01771553905854564,0.023939349163960757,0.5621743416420223
2017-09-30,2017-11-02,HST,104000000,0.14,738800000,1254000000,300000000,7079000000,3961000000,3172000000,789000000,187000000,252000000,9.581754195993502,0.014691340584828365,0.008835273128876052,0.013239126496369694,0.5595423082356265
2017-12-31,2018-02-27,HST,92000000,0.12,739000000,1344000000,345000000,6973000000,3954000000,3041000000,913000000,297000000,366000000,9.43572395128552,0.013193747311056934,0.007867955186863935,0.012326379432430961,0.5670443137817295
2018-03-31,2018-05-03,HST,253000000,0.34,739200000,1346000000,349000000,7099000000,4266000000,3943000000,323000000,133000000,248000000,9.603625541125542,0.035638822369347796,0.020971485411140585,0.027107686734565924,0.6009297084096351
2018-06-30,2018-08-08,HST,209000000,0.28,739700000,1518000000,451000000,7138000000,4228000000,3582000000,646000000,321000000,407000000,9.649858050561038,0.029279910339030542,0.017308488612836438,0.02356760604870385,0.5923227794900532
2018-09-30,2018-11-05,HST,322000000,0.43,739900000,1299000000,321000000,7322000000,4079000000,2810000000,1269000000,167000000,286000000,9.895931882686849,0.04397705544933078,0.02649115590292061,0.04130477694433478,0.5570882272603114
2018-12-31,2019-02-26,HST,303000000,0.41,740300000,1361000000,351000000,7494000000,3837000000,2295000000,1542000000,205000000,359000000,10.122923139267865,0.04043234587670136,0.025062034739454096,0.03412304978559046,0.5120096076861489
2019-03-31,2019-05-03,HST,186000000,0.25,740600000,1390000000,386000000,7513000000,4487000000,3405000000,1082000000,97000000,207000000,10.144477450715636,0.02475708771462798,0.01478890037369802,0.02120807274408273,0.5972314654598696
2019-06-30,2019-08-08,HST,286000000,0.39,739100000,1483000000,447000000,7467000000,4463000000,3356000000,1107000000,287000000,417000000,10.102827763496144,0.0383018615240391,0.022834331337325348,0.030560069665243286,0.597696531404848
2019-09-30,2019-11-07,HST,368000000,0.51,725500000,1262000000,302000000,7499000000,5000000000,2970000000,2030000000,138000000,290000000,10.336319779462439,0.04907320976130151,0.028023149558330795,0.03988066083655291,0.6667555674089879
2019-12-31,2020-02-25,HST,80000000,0.11,716300000,1334000000,341000000,7319000000,4400000000,2827000000,1573000000,170000000,336000000,10.217785843920145,0.010930454980188551,0.00650142218610321,0.01533897235197576,0.6011750239103703
2020-03-31,2020-05-08,HST,-3000000,-0.0042,708100000,1052000000,157000000,7064000000,5904000000,3108000000,2796000000,26000000,157000000,9.975992091512499,-0.0004246885617214043,-0.00022311468094600624,-2.211954384585134e-05,0.8357870894677236
2020-06-30,2020-07-31,HST,-352000000,-0.5,704000000,103000000,-183000000,6717000000,5150000000,3572000000,1578000000,-341000000,-172000000,9.541193181818182,-0.05240434717880006,-0.028876127973748975,-0.03115726644259507,0.7667113294625577
