date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-26,2015-10-28,INTC,3109000000,0.65,4747000000,14465000000,6481000000,57097000000,21188000000,14123000000,7065000000,4529000000,5735000000,12.02801769538656,0.05445119708566124,0.031546797629677735,0.044844110568201256,0.3710877979578612
2015-12-26,2016-02-12,INTC,3613000000,0.77,4722000000,14914000000,6432000000,61085000000,22670000000,7362000000,15308000000,2979000000,5427000000,12.936255823803473,0.05914709012032414,0.03505554747004318,0.05433102241906213,0.37112220676107066
2016-04-02,2016-05-02,INTC,2046000000,0.43,4722000000,13702000000,4809000000,61174000000,25369000000,22308000000,3061000000,2709000000,4055000000,12.955103769589158,0.03344558145617419,0.019399432997999375,0.02654086162916935,0.41470232451695166
2016-07-02,2016-08-01,INTC,1330000000,0.28,4729000000,13533000000,4810000000,61367000000,28613000000,24728000000,3885000000,1559000000,3845000000,12.976739268344259,0.02167288607883716,0.012109513707423223,0.017177863333672973,0.46626036795020126
2016-10-01,2016-10-31,INTC,3378000000,0.71,4734000000,15778000000,6762000000,63115000000,27616000000,22864000000,4752000000,3295000000,5758000000,13.332277144064216,0.053521349916818506,0.030102390903339066,0.0439836497015943,0.4375505030499881
2016-12-31,2017-02-17,INTC,3562000000,0.75,4735000000,16374000000,6556000000,66226000000,25283000000,19723000000,5560000000,4620000000,8150000000,13.98648363252376,0.05378552230241899,0.03143116821234128,0.04317931469730793,0.3817684897170296
2017-04-01,2017-04-27,INTC,2964000000,0.63,4723000000,14796000000,5658000000,66844000000,25751000000,20817000000,4934000000,1831000000,3898000000,14.152868939233539,0.04434205014661002,0.025629496402877698,0.0328991898867888,0.38524026090599006
2017-07-01,2017-07-27,INTC,2808000000,0.6,4710000000,14763000000,5935000000,68625000000,31985000000,20298000000,11687000000,2044000000,4707000000,14.570063694267516,0.040918032786885244,0.022996224622667004,0.02726113302838933,0.4660837887067395
2017-09-30,2017-10-26,INTC,4516000000,0.96,4688000000,16149000000,7227000000,70936000000,31640000000,22565000000,9075000000,3285000000,6264000000,15.131399317406144,0.06366302018721101,0.03553443283394184,0.042125153885955495,0.4460358633134093
2017-12-30,2018-02-16,INTC,-687000000,-0.15,4683000000,17053000000,8328000000,69019000000,26813000000,23380000000,3433000000,3172000000,7241000000,14.738202007260304,-0.009953780842956287,-0.005574081736971497,-0.007623642046001052,0.38848722815456616
2018-03-31,2018-04-27,INTC,4454000000,0.95,4674000000,16066000000,6666000000,70165000000,28612000000,25058000000,3554000000,3374000000,6284000000,15.011767222935386,0.06347894249269578,0.03463560297365392,0.04172453191743484,0.4077816575215563
2018-06-30,2018-07-27,INTC,5006000000,1.08,4649000000,16962000000,7395000000,70047000000,28142000000,25528000000,2614000000,2883000000,7413000000,15.06711120671112,0.07146630119776722,0.03973898961674023,0.049952556531757245,0.40175881907861866
2018-09-29,2018-10-26,INTC,6398000000,1.4,4574000000,19163000000,9551000000,71483000000,27874000000,24467000000,3407000000,4984000000,8835000000,15.628115435067775,0.08950379810584334,0.04989005162115376,0.0679409766795778,0.3899388665836632
2018-12-29,2019-02-01,INTC,5195000000,1.14,4549000000,18657000000,8717000000,74563000000,26359000000,23340000000,3019000000,3010000000,6900000000,16.391074961530006,0.06967262583318805,0.04059767276478357,0.058609122019901976,0.35351313654225286
2019-03-30,2019-04-26,INTC,3974000000,0.88,4492000000,16061000000,6799000000,73661000000,28487000000,25333000000,3154000000,1638000000,4959000000,16.39826357969724,0.05394985134603114,0.030697214540623213,0.036850762657378314,0.3867311060126797
2019-06-29,2019-07-26,INTC,4179000000,0.94,4466000000,16505000000,7355000000,74947000000,28815000000,25948000000,2867000000,4033000000,7587000000,16.78168383340797,0.05575940331167358,0.03195955918904244,0.0420944213136627,0.3844716933299532
2019-09-28,2019-10-25,INTC,5990000000,1.36,4391000000,19190000000,9230000000,74242000000,28907000000,24972000000,3935000000,6039000000,10711000000,16.90776588476429,0.08068209369359662,0.04477902039351713,0.058864955676186936,0.3893618167614019
2019-12-28,2020-01-24,INTC,6905000000,1.6,4319000000,20209000000,9870000000,77504000000,29001000000,24807000000,4194000000,5222000000,9888000000,17.94489465153971,0.08909217588769612,0.05057718789370367,0.05773649541156428,0.3741871387283237
2020-03-28,2020-04-24,INTC,5661000000,1.33,4266000000,19828000000,10250000000,76354000000,39919000000,28539000000,11380000000,2890000000,6158000000,17.898265353961555,0.07414149880818294,0.03832509647281836,0.05875095819201776,0.522814783770333
2020-06-27,2020-07-24,INTC,5105000000,1.2,4246000000,19728000000,8769000000,82010000000,38347000000,29611000000,8736000000,7749000000,11157000000,19.31464908148846,0.062248506279721984,0.03346685110037433,0.0439704470825337,0.4675893183758078
