date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-11-20,INTU,-31000000,-0.11,272000000,713000000,20000000,1051000000,850000000,376000000,474000000,-267000000,-197000000,3.863970588235294,-0.029495718363463368,-0.008087659796504044,-0.015749824807288017,0.8087535680304472
2016-01-31,2016-02-25,INTU,24000000,0.09,263000000,923000000,94000000,641000000,1245000000,911000000,334000000,-18000000,306000000,2.4372623574144487,0.0374414976599064,0.005518510002299379,0.028028350515463922,1.9422776911076443
2016-04-30,2016-05-24,INTU,1026000000,4.0,257000000,2304000000,1349000000,1248000000,1000000000,-289000000,1289000000,1547000000,1602000000,4.856031128404669,0.8221153846153846,0.2076923076923077,0.8897940052733736,0.8012820512820513
2016-07-31,2016-09-01,INTU,-40000000,-0.16,252024068,754000000,10000000,1161000000,1000000000,362000000,638000000,-383000000,-310000000,4.6067028804566394,-0.034453057708871665,-0.009411764705882352,-0.022451443458369514,0.8613264427217916
2016-10-31,2016-11-18,INTU,-30000000,-0.12,250000000,778000000,-8000000,936000000,1100000000,740000000,360000000,-291000000,-205000000,3.744,-0.03205128205128205,-0.007627765064836003,-0.015662291169451073,1.1752136752136753
2017-01-31,2017-02-23,INTU,13000000,0.0506,257000000,1016000000,79000000,785000000,1150000000,758000000,392000000,246000000,292000000,3.054474708171206,0.016560509554140127,0.0029727875600274413,0.018535320803629293,1.464968152866242
2017-04-30,2017-05-23,INTU,964000000,3.76,256000000,2541000000,1509000000,1697000000,500000000,-850000000,1350000000,1756000000,1802000000,6.62890625,0.5680612846199175,0.19400281746830347,1.1420891951563503,0.2946375957572186
2017-07-31,2017-09-01,INTU,24000000,0.0934,257000000,842000000,55000000,1354000000,488000000,-41000000,529000000,-342000000,-290000000,5.2684824902723735,0.01772525849335303,0.0058997050147492625,0.012795125666412796,0.3604135893648449
2017-10-31,2017-11-20,INTU,-17000000,-0.0078,256000000,886000000,33000000,1203000000,875000000,346000000,529000000,-128000000,-78000000,4.69921875,-0.014131338320864505,-0.004183070866141733,-0.0059524460833123615,0.7273482959268496
2018-01-31,2018-02-22,INTU,-21000000,0.71,256000000,1165000000,261000000,1157000000,1103000000,625000000,478000000,225000000,252000000,4.51953125,-0.018150388936905792,-0.004287464271131074,-0.12342725500620236,0.9533275713050994
2018-04-30,2018-05-22,INTU,1200000000,4.62,257000000,2925000000,1672000000,2364000000,450000000,-1164000000,1614000000,1955000000,1975000000,9.198443579766536,0.5076142131979695,0.20736132711249353,0.9914160948222085,0.19035532994923857
2018-07-31,2018-08-31,INTU,49000000,0.19,258000000,988000000,-68000000,2354000000,438000000,-1026000000,1464000000,-64000000,-37000000,9.124031007751938,0.020815632965165677,0.009463113171108536,0.034903126017583844,0.1860662701784197
2018-10-31,2018-11-20,INTU,34000000,0.13,260000000,1016000000,47000000,2782000000,425000000,-659000000,1084000000,-178000000,-143000000,10.7,0.012221423436376708,0.006899350649350649,0.011439337864208329,0.15276779295470885
2019-01-31,2019-02-22,INTU,189000000,0.73,260000000,1502000000,294000000,2796000000,413000000,-662000000,1075000000,296000000,341000000,10.753846153846155,0.06759656652360516,0.03542642924086223,0.09007358072942631,0.14771101573676682
2019-04-30,2019-05-23,INTU,1378000000,5.3,260000000,3272000000,1855000000,4070000000,448000000,-2498000000,2946000000,2199000000,2248000000,15.653846153846153,0.3385749385749386,0.19921931473182014,0.8785415613526077,0.11007371007371007
2019-07-31,2019-08-30,INTU,-44000000,-0.17,254902528,994000000,-75000000,3749000000,436000000,-1680000000,2116000000,-148000000,-122000000,14.707582656849915,-0.01173646305681515,-0.007003024033105204,-0.020800626558900418,0.1162976793811683
2019-10-31,2019-11-21,INTU,57000000,0.22,261000000,1165000000,81000000,3633000000,775000000,-855000000,1630000000,-165000000,-127000000,13.919540229885058,0.01568951279933939,0.009218825812712276,0.022383663852346358,0.21332232314891275
2020-01-31,2020-02-24,INTU,240000000,0.92,261000000,1696000000,342000000,3727000000,754000000,-887000000,1641000000,287000000,317000000,14.279693486590038,0.06439495572846794,0.0358155499179227,0.08540605334132455,0.20230748591360342
2020-04-30,2020-05-21,INTU,1084000000,4.15,261000000,3002000000,1464000000,4740000000,663000000,-2708000000,3371000000,1898000000,1937000000,18.160919540229884,0.22869198312236286,0.1396187532199897,0.5353589723514673,0.13987341772151898
2020-07-31,2020-08-31,INTU,445000000,1.7,262000000,1816000000,548000000,5106000000,3636000000,-2806000000,6442000000,257000000,287000000,19.48854961832061,0.08715236976106541,0.040709907602232184,0.1982555018786903,0.7121034077555817
2020-10-31,2020-11-19,INTU,198000000,0.75,263000000,1323000000,264000000,5245000000,2634000000,-2540000000,5174000000,7000000,45000000,19.94296577946768,0.03775023832221163,0.020397651179561143,0.07598626881436493,0.5021925643469971
2021-01-31,2021-02-23,INTU,20000000,0.0741,270000000,1576000000,120000000,8868000000,2821000000,869000000,1952000000,246000000,279000000,32.84444444444444,0.0022552999548940008,0.0013700506918755994,0.002707572801030745,0.31811005863779884
2021-04-30,2021-05-25,INTU,1464000000,5.36,273000000,4173000000,2041000000,9955000000,2472000000,-692000000,3164000000,2354000000,2384000000,36.46520146520147,0.14706177800100453,0.09290519101408808,0.15862406579933275,0.24831742842792567
2021-07-31,2021-09-08,INTU,380000000,1.39,273000000,2561000000,523000000,9869000000,2480000000,-82000000,2562000000,518000000,542000000,36.15018315018315,0.038504407741412505,0.024490848156741428,0.03950143008868046,0.25129192420711316
2021-10-31,2021-11-18,INTU,228000000,0.84,273000000,2007000000,359000000,9733000000,2507000000,-357000000,2864000000,103000000,145000000,35.65201465201465,0.023425459776019727,0.015332885003362474,0.025032623971090143,0.2575773142915853
2022-01-31,2022-03-02,INTU,100000000,0.35,283000000,2673000000,266000000,15595000000,7237000000,5980000000,1257000000,20000000,85000000,55.10600706713781,0.006412311638345623,0.003801847697981219,0.007879490150637311,0.4640589932670728
2022-04-30,2022-05-24,INTU,1794000000,6.36,282000000,5632000000,2603000000,16961000000,7345000000,3814000000,3531000000,3259000000,3320000000,60.145390070921984,0.10577206532633689,0.06291646208879849,0.08715437358611698,0.4330522964447851
