date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-22,IPG,74900000,0.18,407600000,1865500000,198400000,1863800000,1751600000,877300000,874300000,250000000,280900000,4.572620215897939,0.0401867153128018,0.006527745095475898,0.03277413966823695,0.9398004077690739
2015-12-31,2016-02-22,IPG,260300000,0.65,403400000,2196200000,491800000,1965500000,1762300000,259400000,1502900000,849300000,929700000,4.872335151214675,0.13243449503943017,0.020683188850307108,0.13384009715697914,0.8966166369880437
2016-03-31,2016-04-22,IPG,5400000,0.0135,400600000,1742000000,47600000,1941500000,1743600000,1070200000,673400000,-676100000,-649100000,4.846480279580629,0.002781354622714396,0.00046888024451236454,-0.0006375136965833249,0.8980685037342261
2016-06-30,2016-07-28,IPG,156900000,0.39,400100000,1917900000,270100000,1995600000,1819800000,1147200000,672600000,58500000,94500000,4.9877530617345665,0.07862297053517739,0.013486449084142033,0.05771847366921823,0.9119061936259771
2016-09-30,2016-10-27,IPG,128600000,0.32,397700000,1922200000,257700000,1941400000,1740800000,849200000,891600000,468300000,519800000,4.8815690218757855,0.0662408571134233,0.010861945183495925,0.052729600672719076,0.8966725043782837
2016-12-31,2017-02-21,IPG,317600000,0.81,393500000,2264500000,505600000,2017100000,1690300000,592700000,1097600000,462000000,548200000,5.126048284625159,0.15745377026424073,0.025438118732579375,0.13470623665861298,0.8379852263150067
2017-03-31,2017-04-21,IPG,21500000,0.06,391700000,1753900000,81700000,1963000000,1916800000,1141800000,775000000,-396600000,-371800000,5.011488383967322,0.010952623535404993,0.0018379367236854478,0.01449905522631624,0.9764645950076414
2017-06-30,2017-07-27,IPG,94700000,0.27,392300000,1884900000,256300000,1982500000,1822500000,1164900000,657600000,174600000,218700000,5.0535304613815955,0.04776796973518285,0.00810912640646675,0.04110168528574604,0.9192938209331651
2017-09-30,2017-10-26,IPG,146200000,0.44,389500000,1902600000,291400000,2013400000,2098700000,1393800000,704900000,-25700000,14100000,5.169191270860077,0.07261348961954903,0.012478555150604724,0.05951777326109848,1.0423661468163306
2017-12-31,2018-02-26,IPG,316600000,0.82,385100000,2341000000,554600000,2201000000,1372500000,581600000,790900000,973600000,1020800000,5.715398597766814,0.14384370740572466,0.024938559455542252,0.1251255727034612,0.6235801908223535
2018-03-31,2018-04-27,IPG,-14100000,-0.0368,383400000,2169100000,64400000,2108500000,2089700000,1492400000,597300000,-752700000,-729900000,5.499478351591027,-0.006687218401707375,-0.0011519513729462995,0.04837309191220713,0.9910837087977235
2018-06-30,2018-07-25,IPG,145800000,0.38,383600000,2391800000,281600000,2061700000,2040400000,1547200000,493200000,133500000,172200000,5.374608967674661,0.07071833923461221,0.011798407457758788,0.04603937193097679,0.9896687199883591
2018-09-30,2018-10-25,IPG,161000000,0.42,382600000,2297500000,295700000,2137900000,3344100000,1483900000,1860200000,186800000,231000000,5.587820177731312,0.07530754478694046,0.011914364579556134,0.050672105100875456,1.5641985125590532
2018-12-31,2019-02-25,IPG,326200000,0.85,383400000,2856000000,522200000,2393200000,3734000000,3060600000,673400000,820400000,891800000,6.242044861763172,0.13630285809794418,0.020883081630954592,0.07031656338415437,1.5602540531505933
