date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-23,JBHT,115139000,1.0,114601888,1586494000,280047000,1249187000,993353000,987811000,5542000,63330000,243423000,10.900230544194875,0.09217114811473383,0.03271678396391973,0.053639173581121975,0.7951995978184211
2015-12-31,2016-02-23,JBHT,116745000,1.02,113947780,1621015000,281353000,1300352000,1005026000,999460000,5566000,13000000,176348000,11.411823907407411,0.08977953661777734,0.0321030796352714,0.051940208519159294,0.7728876488827641
2016-03-31,2016-04-29,JBHT,100098000,0.89,112654332,1528712000,256242000,1286080000,967838000,961846000,5992000,148110000,304896000,11.41616107581198,0.07783186115949241,0.027396975324438945,0.04630581681796206,0.7525488305548644
2016-06-30,2016-07-28,JBHT,105011000,0.93,112680259,1615026000,266156000,1379425000,957574000,946297000,11277000,-25479000,169242000,12.241940267460691,0.07612664697247042,0.028401585562038253,0.04686347450198388,0.6941834460010512
2016-09-30,2016-10-28,JBHT,109425000,0.98,112185072,1690659000,273978000,1385083000,943696000,938215000,5481000,62419000,209825000,12.346410937811761,0.0790024857716108,0.02933650831609917,0.04882959419336005,0.6813281225746038
2016-12-31,2017-02-23,JBHT,117556000,1.06,111305021,1721062000,286225000,1414061000,986278000,979901000,6377000,30663000,170180000,12.704377460204602,0.08313361304781053,0.030701584857408797,0.050654554172209404,0.6974791045082214
2017-03-31,2017-04-28,JBHT,102702000,0.93,109983186,1629158000,241578000,1372294000,950558000,938297000,12261000,186858000,285633000,12.47730721312256,0.07483964806375311,0.027239055854890535,0.046573642142720584,0.692678099590904
2017-06-30,2017-07-28,JBHT,97869000,0.89,109435453,1726915000,256664000,1407721000,943174000,935900000,7274000,79929000,157814000,12.86348218433381,0.06952300917582391,0.025902357146524623,0.04373596297243151,0.6700006606422722
2017-09-30,2017-10-27,JBHT,100385000,0.91,109751895,1843334000,260932000,1471970000,1084801000,1077094000,7707000,33544000,185102000,13.411795759881867,0.06819772142095287,0.024762433820277298,0.04147005932932379,0.7369722209012411
2017-12-31,2018-02-23,JBHT,385307000,3.51,109753008,1990160000,248368000,1839325000,1085649000,1071037000,14612000,27894000,226604000,16.758766192540254,0.20948282658040313,0.08861431395299364,0.13832415885311897,0.5902431598548381
2018-03-31,2018-04-27,JBHT,118142000,1.08,109755618,1948245000,274364000,1943063000,1000032000,992950000,7082000,55510000,261618000,17.703540241557384,0.06080194002973655,0.026672934045322,0.04254593841609016,0.5146678208580988
2018-06-30,2018-07-27,JBHT,151652000,1.39,109344030,2139027000,322235000,2033362000,1005011000,989820000,15191000,61779000,267415000,18.59600382389418,0.07458189933715689,0.03304510133806381,0.05257504245953768,0.4942607366519095
2018-09-30,2018-10-29,JBHT,131110000,1.2,109176325,2209760000,283489000,2080578000,1069544000,1061957000,7587000,-15783000,248570000,19.05704373177976,0.06301614262959619,0.027767711896911074,0.04424395862511385,0.5140609965115464
2018-12-31,2019-02-22,JBHT,88681000,0.82,108738788,2317842000,237049000,2101384000,1149104000,1141504000,7600000,-9315000,310238000,19.325063656218056,0.042201234995602896,0.01741695761705397,0.03015634758598403,0.5468319926296193
2019-03-31,2019-04-26,JBHT,119601000,1.1,108738788,2089627000,287725000,2203764000,1284550000,1232187000,52363000,-6917000,250741000,20.2665860134472,0.05427123775504092,0.02246368604594161,0.03774005520308321,0.5828890933874952
2019-06-30,2019-07-26,JBHT,133633000,1.25,106768145,2261647000,317087000,2135356000,1372143000,1365268000,6875000,58447000,355920000,19.999935373982566,0.06258113401231458,0.024652173808774044,0.04133427958815155,0.6425827824493902
2019-09-30,2019-11-01,JBHT,118410000,1.42,106578000,2363660000,294666000,2226335000,1293312000,1218180000,75132000,163694000,330934000,20.889254818067517,0.053186065888556754,0.02198339985039926,0.03968159068444014,0.5809152710620819
2019-12-31,2020-03-02,JBHT,144676000,1.36,106212908,2450323000,335246000,2267029000,1295740000,1260740000,35000000,29008000,160752000,21.344194812931775,0.06381744565243762,0.02644486582899123,0.04410958970565691,0.571558634671193
2020-03-31,2020-05-01,JBHT,104834000,0.99,105460633,2280826000,284836000,2282418000,1302756000,1254302000,48454000,82349000,249163000,21.642369622416357,0.04593111340692196,0.01948572148693263,0.03214161448508293,0.5707788844988079
2020-06-30,2020-07-28,JBHT,121698000,1.15,105507223,2145573000,305481000,2390843000,1307019000,1032365000,274654000,215292000,390787000,22.660467520787652,0.050901711237417095,0.02191322723579812,0.03835744712909457,0.5466770507306419
2020-09-30,2020-10-29,JBHT,125496000,1.19,105678955,2472523000,307896000,2487424000,1303353000,984804000,318549000,53590000,271044000,23.537552959338026,0.0504521947203211,0.021715634821014206,0.03877052281986792,0.5239770139710801
2020-12-31,2021-02-23,JBHT,154007000,1.46,105653644,2737652000,342767000,2600138000,1305424000,992122000,313302000,33083000,211865000,24.610017237077027,0.059230317775441146,0.025895693859552513,0.0452248361115284,0.50205950607237
2021-03-31,2021-05-03,JBHT,146606000,1.39,105671006,2618149000,345197000,2722066000,1301430000,748460000,552970000,255883000,364658000,25.75981911253878,0.053858356116273445,0.02378961108336311,0.044839580999154194,0.4781037638323244
2021-06-30,2021-08-03,JBHT,172162000,1.64,105196031,2908370000,380917000,2799028000,1303467000,732549000,570918000,106138000,304090000,26.60773389824945,0.06150778055810803,0.02722620162526643,0.05131098843437843,0.46568558799697607
2021-09-30,2021-10-28,JBHT,199829000,1.9,105013893,3144812000,412752000,2922228000,1299642000,770047000,529595000,35111000,301101000,27.827060939451126,0.06838241232374749,0.030680664927631468,0.05659629744496361,0.4447435313055655
2021-12-31,2022-02-25,JBHT,242209000,2.3,105093706,3496971000,464250000,3117816000,1301229000,945680000,355549000,-120797000,254049000,29.66700974461782,0.07768546957229035,0.035665603364634556,0.061547796518986495,0.41735272382975774
2022-03-31,2022-05-02,JBHT,243325000,2.32,104783408,3488588000,483057000,3253542000,1296842000,1152313000,144529000,-17553000,291785000,31.050163972525116,0.0747877236562491,0.03460282161070464,0.057388285873028806,0.3985939016616352
2022-06-30,2022-07-29,JBHT,255342000,2.46,103813143,3837532000,510654000,3324864000,1295954000,1172113000,123841000,134338000,492742000,32.02738982673899,0.07679772766645493,0.03520714473037252,0.05892393627837454,0.3897765442436142
2022-09-30,2022-11-04,JBHT,269382000,2.6,103537423,3838257000,528808000,3505109000,1243814000,1159480000,84334000,150740000,570879000,33.85354684750073,0.07685410068559922,0.036248383414570214,0.05999673373460092,0.35485743809964254
2022-12-31,2023-02-24,JBHT,201303000,1.94,103550062,3649622000,454623000,3666768000,1261738000,1209811000,51927000,-31439000,421476000,35.410582371259224,0.054899300964773336,0.026000275627229542,0.04314839091805547,0.3441008539400366
2023-03-31,2023-04-28,JBHT,197768000,1.91,103648000,3229588000,453301000,3797371000,1241495000,1188891000,52604000,26307000,487621000,36.6371854739117,0.052080241830466396,0.02538610972835548,0.04189542748523754,0.3269353982004919
2023-06-30,2023-07-27,JBHT,189552000,1.83,103562000,3132623000,450684000,3911923000,1445153000,1149224000,295929000,12013000,609669000,37.77372974643209,0.04845494146996247,0.022982318048161605,0.03958802012508576,0.36942265990409323
2023-09-30,2023-10-27,JBHT,187431000,1.82,103302000,3163753000,429430000,4018102000,1445610000,1370412000,75198000,-67295000,432322000,38.89665253334882,0.046646650582787594,0.022385246812063102,0.036694067067936084,0.35977434121881424
2023-12-31,2024-02-23,JBHT,153535000,1.49,103220027,3303701000,405358000,4103758000,1928868000,1875524000,53344000,-88838000,215006000,39.75738157867368,0.037413268521194476,0.017877544727920386,0.02896782636517065,0.4700247919102442
2024-03-31,2024-04-26,JBHT,127493000,1.24,103242000,2944001000,377365000,4166431000,1366506000,1302321000,64185000,263080000,466467000,40.35596946978943,0.030600050738869792,0.015127703216848368,0.025354319329174677,0.32797999054826543
2024-06-30,2024-07-26,JBHT,135873000,1.33,103146000,2928685000,390368000,4075996000,1483804000,1430299000,53505000,98241000,360554000,39.51676264712155,0.03333491985762498,0.016144835715338146,0.02736259711329965,0.3640347046464226
2024-09-30,2024-10-25,JBHT,152066000,1.5,101319000,3068171000,412090000,4000218000,1532303000,1412301000,120002000,163116000,338499000,39.481420069286116,0.038014428213662355,0.01826410199436701,0.03096213656275772,0.3830548735093937
2024-12-31,2025-02-21,JBHT,155454000,1.55,101947000,3146348000,419854000,4014505000,1477702000,1430719000,46983000,93346000,317636000,39.37835345816944,0.03872308042959219,0.018701750544676723,0.03188388995265279,0.36809071105902225
2025-03-31,2025-04-25,JBHT,117740000,1.18,99194591,2921392000,358156000,3866673000,1579466000,1536059000,43407000,158380000,404192000,38.98068393668763,0.03044995012508169,0.014261708282292673,0.02432435514607477,0.40848191714168747
2025-06-30,2025-07-24,JBHT,128624000,1.3,99226000,2928181000,374254000,3655330000,1719360000,1668459000,50901000,185574000,402053000,36.838429443895755,0.035188067835188616,0.015607560804132052,0.027082297453435857,0.4703706642081563
