date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,JKHY,51366000,0.64,79932169,321618000,111741000,954284000,1107000,-83378000,84485000,86371000,126696000,11.938672651307636,0.053826743401335454,0.029965050691373278,0.05914128655157161,0.001160032024009624
2015-12-31,2016-02-05,JKHY,59348000,0.75,78854896,332872000,116568000,912474000,100323000,45197000,55126000,-26984000,20283000,11.57155796641974,0.06504075732568819,0.034729484189798494,0.0621733486881327,0.10994614641074704
2016-03-31,2016-05-09,JKHY,53883000,0.68,78877313,333186000,111964000,948867000,100213000,46212000,54001000,19527000,60054000,12.029656740462242,0.056786672947842,0.031647071399288865,0.05448092174490236,0.10561332620904722
2016-06-30,2016-08-29,JKHY,84270000,1.07,78695454,366970000,131542000,996210000,200000,-70110000,70310000,121640000,158083000,12.65905397788289,0.08459059836781402,0.04641665822093161,0.09134481548537036,0.00020076088374941026
2016-09-30,2016-11-08,JKHY,62244000,0.8,78095791,345028000,125553000,954284000,1107000,-83378000,84485000,100693000,133371000,12.219403732014188,0.0652258656752078,0.036310879087992805,0.07149699109959064,0.001160032024009624
2016-12-31,2017-02-09,JKHY,58814000,0.76,77623883,348553000,123930000,971412000,50000000,-14188000,64188000,-7359000,30496000,12.514344328793756,0.06054485635343191,0.03423210008759702,0.06152835994548889,0.05147146627795415
2017-03-31,2017-05-08,JKHY,60044000,0.77,77644062,353767000,121421000,1012112000,50000000,7084000,42916000,-1201000,35000000,13.03527886008849,0.05932545014780973,0.03559253412749269,0.05754837312839339,0.04940164724852585
2017-06-30,2017-08-25,JKHY,64691000,0.84,77423087,383769000,134336000,1032051000,50000000,-64765000,114765000,117003000,158455000,13.33001614880068,0.06268197986339823,0.033888351943088986,0.06714477933374205,0.04844721820917765
2017-09-30,2017-11-09,JKHY,63411000,0.82,77226332,359934000,131627000,971412000,50000000,-14188000,64188000,108586000,138722000,12.578766527458535,0.06527714296302702,0.036907737930673215,0.06982485493007781,0.05147146627795415
2017-12-31,2018-02-08,JKHY,155574000,2.01,77256286,374756000,121978000,1174000000,100000000,42281000,57719000,3112000,38186000,15.196174457570999,0.13251618398637138,0.08115171229518288,0.11416576806128916,0.08517887563884156
2018-03-31,2018-05-07,JKHY,72395000,0.94,77287489,384684000,129651000,1223085000,105000000,47598000,57402000,26165000,57964000,15.825135682697622,0.05919048962255281,0.03799528490034471,0.054071416155038195,0.08584848967978513
2018-06-30,2018-08-24,JKHY,85280000,1.11,77170659,417229000,148407000,1174000000,100000000,42281000,57719000,124359000,177270000,15.21303582492408,0.07264054514480409,0.044484412720205146,0.07060065102142822,0.08517887563884156
2018-09-30,2018-11-08,JKHY,83551000,1.08,77290598,392543000,142243000,1223085000,105000000,47598000,57402000,94438000,146734000,15.824499119543622,0.06831168724986407,0.04385032182759446,0.0658463365551304,0.08584848967978513
2018-12-31,2019-02-07,JKHY,68089000,0.88,77170513,386275000,128149000,1391955000,0,-26156000,26156000,7858000,45310000,18.03739467171872,0.04891609283346085,0.03453179543122777,0.049936421039599305,0.0
2019-03-31,2019-05-09,JKHY,59252000,0.77,77196986,380364000,117357000,1426003000,35000000,-398000,35398000,2952000,41325000,18.472262634709598,0.04155110473119622,0.02958341467457595,0.04168460887333496,0.024544127887528987
2019-06-30,2019-08-26,JKHY,60993000,0.79,76988123,393509000,152012000,1322844000,0,-31440000,31440000,155099000,197759000,17.182442543767433,0.04610747752569464,0.030000619756052213,0.04747273493721529,0.0
2019-09-30,2019-11-08,JKHY,89370000,1.16,76928225,438005000,160783000,1476660000,62188000,-34491000,96679000,79052000,123052000,19.195295354858377,0.06052171793100646,0.04014864477546499,0.062050711766453326,0.04211395988243739
2019-12-31,2020-02-07,JKHY,72098000,0.94,76714226,419119000,136199000,1486746000,58877000,-13636000,72513000,41766000,91961000,19.38031676158735,0.048493824768992146,0.03296000482756319,0.04902402880914975,0.03960124997814018
2020-03-31,2020-05-08,JKHY,73855000,0.96,76606741,429406000,135673000,1513863000,55247000,-54267000,109514000,22655000,61440000,19.761485480762065,0.04878578841017978,0.03312746504806858,0.05069039689315094,0.03649405527448653
2020-06-30,2020-08-25,JKHY,61345000,0.8,76629660,410537000,93203500,1549688000,323000,-213022000,213345000,189549000,234079000,20.22308333352908,0.03958538751026013,0.025260719282973586,0.04596826033870904,0.00020842905152521023
2020-09-30,2020-11-06,JKHY,91216000,1.2,76304059,451800000,161399000,1543750000,295000,-195025000,195320000,77174000,114477000,20.23155806167533,0.05908728744939271,0.0390633966517578,0.06769860253921026,0.00019109311740890688
2020-12-31,2021-02-09,JKHY,71982000,0.95,76068800,422361000,137757000,1545179000,266000,-147496000,147762000,40209000,79507000,20.31291409881581,0.04658489404787407,0.031478425982492744,0.05156534724542319,0.0001721483400952252
2021-03-31,2021-05-07,JKHY,71409000,0.96,74272875,433776000,164800000,1315443000,200237000,130121000,70116000,32205000,72331000,17.710947637344052,0.05428513436158009,0.032289863119992365,0.04955624572726414,0.15222020262375488
2021-06-30,2021-08-25,JKHY,76862000,1.04,74002266,450287000,115406750,1319292000,100193000,49201000,50992000,154704000,195814000,17.82772435644065,0.05826003644378955,0.03290105626507819,0.056525259474493925,0.07594452175864023
2021-09-30,2021-11-09,JKHY,102114000,1.38,74016000,488056000,177775000,1395665000,65166000,20915000,44251000,60084000,106549000,18.856260808473845,0.07316512200277288,0.04476895415910573,0.07221515371593565,0.04669172043434492
2021-12-31,2022-02-09,JKHY,95670000,1.31,72817343,493896000,169942000,1271996000,240129000,211009000,29120000,36177000,90802000,17.468311086275147,0.07521250066824109,0.041945771706618985,0.06473810140300955,0.18878125402910073
2022-03-31,2022-05-06,JKHY,84707000,1.16,72853031,478260000,156038000,1328608000,225103000,185306000,39797000,60074000,104046000,18.236825314790266,0.06375620197981648,0.037281320433096565,0.05629943277061012,0.16942770177509092
2022-06-30,2022-08-25,JKHY,80426000,1.1,72878821,482672000,148511000,1381623000,115067000,66280000,48787000,156907000,203234000,18.95781217426665,0.05821124865466194,0.03275255705003005,0.0560761091554126,0.0832839349084374
2022-09-30,2022-11-09,JKHY,106549000,1.46,72910225,529202000,186485000,1461138000,245041000,213071000,31970000,89971000,136831000,20.04023441156573,0.07292192797668666,0.04132272751952716,0.06429197870144822,0.16770558290866433
2022-12-31,2023-02-09,JKHY,80775000,1.11,72984105,505314000,156718000,1510990000,275021000,249258000,25763000,1291000,53880000,20.7030010164542,0.05345832864545762,0.03132906200536249,0.04737398209138732,0.18201377904552643
2023-03-31,2023-05-08,JKHY,81549000,1.12,72866294,508552000,159418000,1538309000,375001000,348449000,26552000,-37049000,16320000,21.111393424235352,0.053012106150324804,0.0312736208854359,0.04512227026512453,0.24377482027343012
2023-06-30,2023-08-24,JKHY,97773000,1.34,73027000,534633000,177752000,1608510000,275000000,262757000,12243000,120362000,174528000,22.026236871294177,0.06078482570826417,0.03524842582050929,0.054536047213935686,0.17096567630913082
2023-09-30,2023-11-09,JKHY,101679000,1.4,72821430,571368000,186680000,1659948000,245000000,213533000,31467000,105761000,157139000,22.794773461603267,0.06125432844884297,0.037187530058813784,0.055982233296610964,0.14759498490314155
2023-12-31,2024-02-08,JKHY,91965000,1.26,72857941,545701000,173984000,1724387000,255000000,228291000,26709000,22074000,81533000,23.667797584342935,0.05333199565990697,0.03339353719858125,0.048610956403788,0.14787863745203367
2024-03-31,2024-05-09,JKHY,87099000,1.19,72899613,538562000,168680000,1779931000,250000000,222746000,27254000,44148000,97570000,24.41619271696271,0.048933919348559014,0.03143803027470152,0.04518004331664555,0.1404548828016367
2024-06-30,2024-08-26,JKHY,101073000,1.39,72867000,559912000,184963000,1842364000,209604000,171320000,38284000,163635000,231799000,25.283928252844223,0.05486049445169359,0.034561004157660793,0.05169020182977407,0.11376904889587508
2024-09-30,2024-11-08,JKHY,119191000,1.63,72905000,600982000,210117000,1925028000,197902000,154690000,43212000,59160000,116896000,26.404608737397982,0.06191650199373724,0.04070020566765841,0.0583436993728075,0.10280473842458396
2024-12-31,2025-02-07,JKHY,97845000,1.34,73018656,573848000,181915000,1975565000,205692000,180039000,25653000,28583000,89647000,27.055619867886914,0.049527603495708825,0.03360327223647472,0.0463816163561473,0.10411806242771056
2025-03-31,2025-05-12,JKHY,111108000,1.53,72815211,585087000,195652000,2036431000,223445000,183575000,39870000,51332000,107849000,27.967109784245494,0.05456015941615503,0.03789471960949762,0.051011690159232834,0.10972382565380315
2025-06-30,2025-08-25,JKHY,127604000,1.75,73005000,594877000,213541000,2130831999,0,-101953000,101953000,314940000,327112000,29.187480295870145,0.0598845897095053,0.041920255455868485,0.06372037570294647,0.0
