date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-02,JPM,6804000000,1.7,3725600000,24595000000,7978000000,245728000000,516098000000,118644000000,397454000000,25124000000,25124000000,65.9566244363324,0.02768915223336372,0.0028149190710767065,0.01867322406771102,2.1002816121890873
2015-12-31,2016-02-23,JPM,5434000000,1.34,3704600000,24301000000,8644000000,247573000000,477996000000,117491000000,360505000000,16167000000,16167000000,66.82853749392648,0.02194908168499796,0.002310670842939867,0.01488506124953433,1.9307275025951942
2016-03-31,2016-04-29,JPM,5520000000,1.36,3669900000,25411000000,8867000000,250157000000,484976000000,106568000000,378408000000,-21383000000,-21383000000,68.164527643805,0.02206614246253353,0.002277408111533587,0.015474104702501927,1.9386865048749384
2016-06-30,2016-08-03,JPM,6200000000,1.56,3635800000,26846000000,10676000000,252423000000,494929000000,129624000000,365305000000,-1524000000,-1524000000,69.42708619836074,0.024561945623021674,0.002514095152824545,0.016228369807903216,1.9607127718155635
2016-09-30,2016-11-01,JPM,6286000000,1.6,3597400000,27140000000,10346000000,254331000000,510683000000,93093000000,417590000000,4192000000,4192000000,70.6985600711625,0.024715823080945696,0.0024934262953738334,0.018093165699548677,2.0079463376466102
2016-12-31,2017-02-28,JPM,6727000000,1.73,3606000000,26089000000,10125000000,254190000000,495354000000,105719000000,389635000000,38911000000,38911000000,70.49084858569051,0.026464455722097643,0.002700552234228245,0.018690835739034035,1.9487548684055234
2017-03-31,2017-05-02,JPM,6448000000,1.66,3621212000,27917000000,9805000000,255863000000,509716000000,49321000000,460395000000,-22559000000,-22559000000,70.65673039855164,0.02520098646541313,0.0025323117162616986,0.02112823739121317,1.9921442334374255
2017-06-30,2017-08-02,JPM,7029000000,1.83,3599000000,28528000000,11253000000,258483000000,509399000000,60238000000,449161000000,4073000000,4073000000,71.82078355098639,0.027193277701048037,0.002742303097643781,0.022053771166631632,1.9707253475083468
2017-09-30,2017-11-01,JPM,6732000000,1.77,3557955000,29467000000,11135000000,258382000000,509608000000,51804000000,457804000000,-4895000000,-4895000000,72.62092971945964,0.026054446517172248,0.0026265336076913893,0.02170310716795729,1.972304572299928
2017-12-31,2018-02-27,JPM,4232000000,1.08,3500842000,28119000000,9886000000,255693000000,494798000000,63494000000,431304000000,13537000000,13537000000,73.03757210408239,0.01655109838751941,0.0016703504894221661,0.013258685347460891,1.9351253260746286
2018-03-31,2018-05-02,JPM,8712000000,2.38,3475949000,32290000000,12459000000,256201000000,515521000000,100709000000,414812000000,-35109000000,-35109000000,73.70677763108722,0.03400455111416427,0.0033382060208024798,0.024409515003782467,2.012174035230151
2018-06-30,2018-08-01,JPM,8316000000,2.31,3434700000,32834000000,12499000000,257458000000,511643000000,106463000000,405180000000,35685000000,35685000000,74.95792936792151,0.03230041404811659,0.0032107488272427173,0.022851113291071413,1.9872872468519136
2018-09-30,2018-10-31,JPM,8380000000,2.35,3394300000,32791000000,12681000000,258956000000,516367000000,97270000000,419097000000,27506000000,27506000000,76.2914297498748,0.03236070992755526,0.003204364665876155,0.023524391818676906,1.9940337354608504
2018-12-31,2019-02-26,JPM,7066000000,1.99,3335801000,32793000000,10916000000,256515000000,533627000000,254834000000,278793000000,422000000,422000000,76.89757272691027,0.027546147398787597,0.002694342719173684,0.013818351067470553,2.0802954992885407
2019-03-31,2019-05-02,JPM,9179000000,2.65,3308100000,36059000000,13271000000,259837000000,584875000000,282271000000,302604000000,-80880000000,-80880000000,78.54569087996131,0.03532599283396899,0.0033534415611934584,0.0169320504401337,2.250930390975881
2019-06-30,2019-08-06,JPM,9652000000,2.83,3259574000,35952000000,13388000000,263215000000,550442000000,282404000000,268038000000,-19094000000,-19094000000,80.75134971625127,0.03666964268753681,0.003538928766409069,0.017689999798394116,2.091225804000532
2019-09-30,2019-11-04,JPM,9080000000,2.69,3207200000,36184000000,13550000000,264348000000,593131000000,336534000000,256597000000,16015000000,16015000000,82.423297580444,0.034348661612722625,0.003284308636755103,0.015111119986952514,2.2437506620061436
2019-12-31,2020-02-25,JPM,8520000000,2.58,3148500000,34092000000,12704000000,261330000000,516093000000,252462000000,263631000000,83085000000,83085000000,83.00142925202478,0.03260245666398806,0.003170375298757637,0.01658258594917788,1.974870852944553
2020-03-31,2020-05-07,JPM,2865000000,0.79,3095900000,32999000000,5407000000,261262000000,584460000000,216926000000,367534000000,-120089000000,-120089000000,84.38967666914306,0.01096600347543845,0.0009125857520041052,0.005991367411980225,2.2370647089894438
2020-06-30,2020-08-03,JPM,4687000000,1.39,3081000000,35330000000,7809000000,264466000000,600664000000,106935000000,493729000000,82919000000,82919000000,85.83771502758844,0.01772250497228377,0.001458709072037571,0.012619782930040575,2.2712333532476765
2020-09-30,2020-11-02,JPM,9443000000,2.93,3082800000,30845000000,13910000000,271113000000,557607000000,70085000000,487522000000,-14688000000,-14688000000,87.94375243285324,0.03483049503343624,0.0029090508047254593,0.027676012168887272,2.056732801451793
2020-12-31,2021-02-23,JPM,12136000000,3.8,3085100000,30558000000,17192000000,279354000000,542102000000,14493000000,527609000000,-28052000000,-28052000000,90.549414929824,0.04344308654968248,0.0035854863436282133,0.041300404632342684,1.940555710675344
2021-03-31,2021-05-04,JPM,14300000000,4.51,3078000000,33632000000,19767000000,280714000000,638424000000,-72648000000,711072000000,-43872000000,-43872000000,91.20012995451592,0.05094152767585514,0.003876036229825638,0.06872819201599492,2.274286284260849
2021-06-30,2021-08-02,JPM,11948000000,3.79,3041270000,31839000000,17100000000,286386000000,597301000000,-108120000000,705421000000,13530000000,13530000000,94.16658172408238,0.04171991647636407,0.003242988543684261,0.06702343688645059,2.0856501365290203
2021-09-30,2021-11-02,JPM,11687000000,3.74,3002406000,31061000000,16039000000,290041000000,603778000000,-156091000000,759869000000,25617000000,25617000000,96.60285784134457,0.040294303219200044,0.0031102497993387226,0.08724897349757373,2.081698794308391
2021-12-31,2022-02-22,JPM,10399000000,3.33,2981698000,30706000000,14588000000,294127000000,548939000000,-191895000000,740834000000,85095000000,85095000000,98.64412827858489,0.03535547569587287,0.0027778319447735273,0.10171961812348385,1.8663332506026309
2022-03-31,2022-05-03,JPM,8282000000,2.64,2977000000,32342000000,11883000000,285899000000,574683000000,-179849000000,754532000000,-41917000000,-41917000000,96.03594222371515,0.02896827201214415,0.0020942238918023096,0.07809523809523809,2.010090976183897
2022-06-30,2022-08-03,JPM,8649000000,2.77,2962200000,34227000000,12654000000,286143000000,569353000000,-99907000000,669260000000,66018000000,66018000000,96.59813652015394,0.03022614566842453,0.0022515732897649085,0.04644107476535149,1.989749880304603
2022-09-30,2022-11-03,JPM,9737000000,3.13,2961200000,40795000000,13772000000,288018000000,575278000000,-68909000000,644187000000,-18204000000,-18204000000,97.26394704849385,0.03380691484559993,0.002580100501234272,0.04443906913910428,1.997368220041803
2022-12-31,2023-02-21,JPM,11008000000,3.58,2962900000,47374000000,14908000000,292332000000,542505000000,-24729000000,567234000000,101222000000,101222000000,98.66414661311553,0.03765581599003872,0.0030029382856354087,0.04113556275527554,1.8557838348179467
2023-03-31,2023-05-03,JPM,12622000000,4.11,2968500000,54641000000,17616000000,303082000000,584126000000,38126000000,546000000000,-111241000000,-111241000000,102.09937678962439,0.04164549527850549,0.0033709860708462584,0.03699209866122717,1.9272870048369748
2023-06-30,2023-08-03,JPM,14472000000,4.76,2943800000,58447000000,18093000000,312516000000,671372000000,176249000000,495123000000,18865000000,18865000000,106.1607446158027,0.04630802902891372,0.003741236324530019,0.02960932145305004,2.1482804080431084
2023-09-30,2023-11-01,JPM,13151000000,4.33,2927500000,61591000000,18752000000,317371000000,677013000000,165644000000,511369000000,45119000000,45119000000,108.41024765157985,0.041437308386714604,0.003373493234159319,0.02722689771539186,2.133191123322547
2023-12-31,2024-02-16,JPM,9307000000,3.04,2914400000,61933000000,14663000000,327878000000,653072000000,28921000000,624151000000,60231000000,60231000000,112.50274499039253,0.028385558042930602,0.002401562886654334,0.026084714362988686,1.9918140283886079
2024-03-31,2024-05-01,JPM,13419000000,4.45,2908300000,66264000000,19297000000,336637000000,767810000000,205694000000,562116000000,-154158000000,-154158000000,115.75043840044012,0.03986192842735647,0.003280346011845816,0.02474319188834863,2.2808247459429594
2024-06-30,2024-08-02,JPM,18149000000,6.13,2889800000,67835000000,25437000000,340552000000,842168000000,311349000000,530819000000,38469000000,38469000000,117.84621773133088,0.0532928891916653,0.004380638874748582,0.027840116827555106,2.472949799149616
2024-09-30,2024-10-30,JPM,12898000000,4.38,2860600000,69667000000,18945000000,345836000000,850132000000,415872000000,434260000000,-74081000000,-74081000000,120.89631545829546,0.03729513410980927,0.0030636230275759326,0.01693299794671974,2.4581940572988352
2024-12-31,2025-02-14,JPM,14005000000,4.82,2836900000,67007000000,19340000000,344758000000,751146000000,281829000000,469317000000,147758000000,147758000000,121.52631393422398,0.04062269766038787,0.0034987886022183395,0.02235124571687571,2.1787630743884114
2025-03-31,2025-05-01,JPM,14643000000,5.08,2819400000,68907000000,20438000000,351420000000,1005250000000,579347000000,425903000000,-251839000000,-251839000000,124.64354117897425,0.04166808946559672,0.0033601385635505165,0.01573218646557087,2.860537248875989
2025-06-30,2025-08-05,JPM,14987000000,5.25,2788700000,69944000000,20314000000,356924000000,485095000000,64768000000,420327000000,29547000000,29547000000,127.98938573528885,0.041989331062074836,0.0032920503584638007,0.03554015727118371,1.3590988557788213
