date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-02,KEY,219000000,0.26,831430000,1091000000,352000000,10705000000,11394000000,10924000000,470000000,167000000,190000000,12.875407430571425,0.020457730032695003,0.0022950682232608832,0.010171528965740442,1.0643624474544606
2015-12-31,2016-02-24,KEY,226000000,0.27,828206000,1114000000,377000000,10746000000,11089000000,10482000000,607000000,847000000,882000000,12.97503278169924,0.02103108133258887,0.002375671442537133,0.010976069342377992,1.0319188535268937
2016-03-31,2016-05-05,KEY,188000000,0.22,826447000,1073000000,305000000,11066000000,11749000000,11275000000,474000000,365000000,373000000,13.389848350831935,0.016988975239472258,0.0019105302737749232,0.008370260955194485,1.0617205855774445
2016-06-30,2016-08-05,KEY,202000000,0.23,831899000,1117000000,329000000,11313000000,12435000000,11939000000,496000000,329000000,351000000,13.599006610177437,0.01785556439494387,0.0019970341077607512,0.008515396525030104,1.0991779368867673
2016-09-30,2016-11-07,KEY,172000000,0.17,982080000,1363000000,357000000,14996000000,14842000000,14093000000,749000000,87000000,136000000,15.269631801889867,0.011469725260069352,0.0012665218511836824,0.005912888033277184,0.9897305948252867
2016-12-31,2017-02-28,KEY,229000000,0.2,1067771000,1602000000,291000000,15240000000,14694000000,14017000000,677000000,763000000,829000000,14.272723271188298,0.015026246719160105,0.001678233530959378,0.007929726219366306,0.9641732283464567
2017-03-31,2017-05-05,KEY,324000000,0.28,1068609000,1581000000,519000000,14976000000,13709000000,13160000000,549000000,-407000000,-405000000,14.014480506901963,0.021634615384615384,0.0024093518546060263,0.011551037816320728,0.9153979700854701
2017-06-30,2017-08-04,KEY,412000000,0.37,1076203000,1725000000,663000000,15253000000,15965000000,15364000000,601000000,-206000000,-184000000,14.1729766596079,0.02701107978758277,0.003033337259983508,0.013293268445634776,1.0466793417688323
2017-09-30,2017-11-01,KEY,364000000,0.32,1073390000,1652000000,600000000,15249000000,16088000000,15526000000,562000000,1636000000,1668000000,14.206392830192195,0.023870417732310314,0.00266212253077165,0.011795288383428108,1.0550200013115614
2017-12-31,2018-02-26,KEY,196000000,0.17,1062348000,1718000000,553000000,15023000000,15344000000,14673000000,671000000,680000000,736000000,14.141317157842817,0.013046661785262597,0.0014234048424813723,0.006600215517241379,1.0213672369034148
2018-03-31,2018-05-03,KEY,418000000,0.38,1056037000,1697000000,581000000,14944000000,15498000000,14855000000,643000000,-230000000,-211000000,14.15101932981515,0.027971092077087794,0.0030500040131631752,0.013960200006711635,1.0370717344753748
