date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-27,2015-11-06,KHC,-123000000,-0.11,1122222222,6120000000,505000000,67131000000,25250000000,20813000000,4437000000,-422000000,-312000000,59.819702982142516,-0.0018322384591321446,-0.001009918549658434,0.002349531735364678,0.3761302527893224
2016-01-03,2016-03-03,KHC,645000000,0.53,1214000000,7124000000,1634000000,66005000000,25234000000,20397000000,4837000000,1439000000,1721000000,54.369851729818784,0.009771986970684038,0.00524505379229587,0.009436674762338072,0.38230437088099384
2016-04-03,2016-05-05,KHC,896000000,0.74,1215000000,6570000000,1884000000,66363000000,25167000000,20968000000,4199000000,-33000000,270000000,54.619753086419756,0.013501499329445625,0.0072684204975947695,0.012322992354181434,0.37923240359839067
2016-07-03,2016-08-05,KHC,950000000,0.63,1217000000,6793000000,1987000000,57826000000,32753000000,28516000000,4237000000,1623000000,1834000000,47.5152013147083,0.01642859613322727,0.0078071069327109565,0.013198305366927048,0.5664061148964133
2016-10-02,2016-11-04,KHC,842000000,0.69,1218000000,6267000000,1706000000,57642000000,32680000000,28760000000,3920000000,440000000,762000000,47.32512315270936,0.014607404323236529,0.0069540799471423855,0.012502727176270953,0.5669477117379689
2016-12-31,2017-02-23,KHC,944000000,0.78,1217000000,6857000000,1917000000,57358000000,32404000000,28200000000,4204000000,1961000000,2372000000,47.130649137222676,0.01645803549635622,0.007835325365205844,0.013705614904509222,0.5649429896439904
2017-04-01,2017-05-04,KHC,893000000,0.73,1217000000,6324000000,1825000000,57732000000,32680000000,29438000000,3242000000,-519000000,-151000000,47.437962202136404,0.015468024665696667,0.007392261717521233,0.01278084662154411,0.5660638813829418
2017-07-01,2017-08-04,KHC,1159000000,0.95,1218000000,6637000000,2152000000,58333000000,31088000000,29643000000,1445000000,720000000,1042000000,47.89244663382594,0.019868684963914078,0.009705567093186842,0.015731277197955074,0.5329401882296471
2017-09-30,2017-11-07,KHC,944000000,0.78,1218000000,6280000000,1938000000,58759000000,31509000000,30068000000,1441000000,-1141000000,-875000000,48.24220032840722,0.0160656239895165,0.007863324753646367,0.013006530962745722,0.5362412566585545
2017-12-30,2018-02-16,KHC,8003000000,6.57,1218112633,6877000000,1885000000,65863000000,31503000000,29874000000,1629000000,250000000,511000000,54.06971261581194,0.12150980064679714,0.0666405755587383,0.1028475307309272,0.478311039582163
2018-03-31,2018-05-03,KHC,1003000000,0.81,1219000000,6304000000,1817000000,66248000000,32304000000,30510000000,1794000000,190000000,413000000,54.3461853978671,0.015140079700519261,0.008303873761249142,0.012947406124140875,0.48762226784204804
2018-06-30,2018-08-03,KHC,754000000,0.62,1219000000,6690000000,1612000000,65677000000,34168000000,30799000000,3369000000,-399000000,-184000000,53.87776866283839,0.011480426937893022,0.006185600840060379,0.01012964542484701,0.5202430074455289
2018-09-29,2018-11-02,KHC,619000000,0.52,1219000000,6383000000,1395000000,65385000000,32376000000,31010000000,1366000000,514000000,670000000,53.63822805578343,0.009467003135275674,0.005169965756284974,0.008963044493933026,0.4951594402385868
