date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,KKR,-190588000,-0.42,452165697,188626000,-1073731000,0,16587643000,13550097000,3037546000,714427000,733254000,0.0,-inf,-0.002759867996441081,-0.07876364723021345,inf
2015-12-31,2016-02-26,KKR,32257000,0.0,450262143,307923000,1441673000,0,18714597000,16194737000,2519860000,-1512997000,-1347138000,0.0,inf,0.0004540531808785181,0.0871067014472345,inf
2016-03-31,2016-05-06,KKR,-329939000,-0.73,450262143,162805000,-587052000,0,16827497000,14747191000,2080306000,-741217000,-738790000,0.0,-inf,-0.009583287235492672,-0.0399069149420189,inf
2016-06-30,2016-08-04,KKR,99583000,0.21,448221538,576757000,460589000,0,17894036000,14400669000,3493367000,-454676000,-452129000,0.0,inf,0.0026550601888384665,0.03129156249845056,inf
2016-09-30,2016-11-04,KKR,360353000,0.79,445989300,687056000,1240693000,0,17589353000,14116223000,3473130000,630308000,635099000,0.0,inf,0.009486818591924585,0.08692586173121233,inf
2016-12-31,2017-02-24,KKR,179310000,0.38,451154845,481475000,650948000,0,18544075000,14410415000,4133660000,-1061382000,-1006362000,0.0,inf,0.004597350807043897,0.04461319002324887,inf
2017-03-31,2017-05-08,KKR,267684000,0.57,453695846,767755000,1025290000,0,19625439000,15267144000,4358295000,-1172471000,-1150910000,0.0,inf,0.006429192324127903,0.06390932072690579,inf
2017-06-30,2017-08-04,KKR,413987000,0.87,466170025,1015800000,1085652000,0,19425253000,15816557000,3608696000,-939014000,-911225000,0.0,inf,0.009657231915746356,0.06720576584764412,inf
2017-09-30,2017-11-03,KKR,161904000,0.33,471758886,749652000,609317000,0,20290714000,16524413000,3766301000,-544619000,-522079000,0.0,inf,0.003654252678761726,0.035164419449892605,inf
2017-12-31,2018-02-23,KKR,174730000,0.35,481165742,941648000,873007000,0,21193859000,17514800000,3679059000,-1437591000,-1411359000,0.0,inf,0.0038121756566239667,0.038780836436151135,inf
2018-03-31,2018-05-08,KKR,178443000,0.36,487704838,472606000,840125000,0,22041271000,19292323000,2748948000,-2166170000,-2157500000,0.0,inf,0.003750445074127318,0.042309126949308475,inf
2018-06-30,2018-08-03,KKR,688722000,1.33,510586631,971620000,1831206000,0,19972383000,16767713000,3204670000,-2417325000,-2380807000,0.0,inf,0.014179209935860219,0.10511927736775603,inf
