date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-10-28,KO,1449000000,0.33,4349000000,11427000000,2345000000,26049000000,46186000000,36203000000,9983000000,2716000000,3272000000,5.989652793745688,0.0556259357364966,0.015579305006020987,0.025207864807556383,1.7730431110599256
2015-12-31,2016-02-25,KO,1237000000,0.29,4336000000,10000000000,2208000000,25554000000,44116000000,36807000000,7309000000,1255000000,2138000000,5.893450184501845,0.04840729435704782,0.013745055335792702,0.021662909129149,1.7263833450731785
2016-04-01,2016-04-28,KO,1483000000,0.34,4328000000,10282000000,2493000000,24914000000,46834000000,38086000000,8748000000,68000000,604000000,5.756469500924214,0.05952476519226138,0.016249739763102244,0.025462655671209,1.8798266035160953
2016-07-01,2016-07-28,KO,3448000000,0.8,4323000000,11539000000,4906000000,26637000000,48048000000,38401000000,9647000000,2667000000,3216000000,6.161693268563497,0.12944400645718362,0.03664420685697282,0.05520440066097383,1.8038067349926794
2016-09-30,2016-10-27,KO,1046000000,0.24,4315000000,10633000000,2030000000,26076000000,47224000000,36077000000,11147000000,2427000000,2903000000,6.043105446118193,0.040113514342690594,0.011136307983859806,0.019046924998178123,1.8110139591961958
2016-12-31,2017-02-24,KO,550000000,0.13,4303000000,9409000000,1227000000,23062000000,45709000000,37154000000,8555000000,1372000000,2073000000,5.359516616314199,0.023848755528575145,0.00630228027959207,0.013458378317023118,1.982005029919348
2017-03-31,2017-04-27,KO,1182000000,0.28,4287000000,9118000000,2027000000,22876000000,47449000000,35329000000,12120000000,346000000,788000000,5.336132493585258,0.05166987235530687,0.012960384206313527,0.022933563138364064,2.0741825493967476
2017-06-30,2017-07-27,KO,1371000000,0.32,4273000000,9702000000,3156000000,22001000000,49638000000,37920000000,11718000000,2213000000,2603000000,5.14884156330447,0.06231534930230444,0.015041801066420907,0.02491250166377601,2.256170174082996
2017-09-29,2017-10-26,KO,1447000000,0.34,4266000000,9078000000,2179000000,22119000000,49100000000,36572000000,12528000000,2165000000,2527000000,5.184950773558368,0.06541887065418871,0.01598630061315804,0.027660488734643645,2.2198110221981104
2017-12-31,2018-02-23,KO,-2752000000,-0.65,4261000000,7512000000,1481000000,17072000000,47685000000,41679000000,6006000000,707000000,1188000000,4.006571227411405,-0.16119962511715089,-0.031309729680531535,-0.0587150659003747,2.7931701030927836
2018-03-30,2018-05-01,KO,1368000000,0.32,4265000000,7626000000,2333000000,19610000000,48947000000,40656000000,8291000000,385000000,659000000,4.5978898007034,0.06976032636409994,0.014665208721939924,0.02478194099629848,2.4960224375318716
2018-06-29,2018-07-26,KO,2316000000,0.54,4255000000,9421000000,3472000000,18323000000,46801000000,38826000000,7975000000,1689000000,2027000000,4.3062279670975325,0.12639851552693337,0.025850233835232665,0.04421254235903835,2.5542214702832506
2018-09-28,2018-10-30,KO,1880000000,0.44,4255000000,8775000000,2841000000,18264000000,44837000000,35772000000,9065000000,2699000000,3004000000,4.292361927144536,0.1029347349978099,0.02163978958757784,0.03667831503256854,2.4549386771791504
2018-12-31,2019-02-21,KO,870000000,0.2,4262000000,7058000000,1308000000,16981000000,44214000000,35137000000,9077000000,1507000000,1937000000,3.9842796809009853,0.05123373181791414,0.010454720246106518,0.0198690948255286,2.603733584594547
2019-03-29,2019-04-25,KO,1678000000,0.39,4271000000,8694000000,2745000000,17735000000,45535000000,39890000000,5645000000,424000000,788000000,4.152423320065559,0.09461516774739216,0.018993287830939364,0.03280731190133808,2.5675218494502396
2019-06-28,2019-07-25,KO,2607000000,0.61,4269000000,9997000000,3612000000,18181000000,46428000000,39697000000,6731000000,3310000000,3713000000,4.258842820332631,0.1433914526153677,0.028967954131294726,0.048920376969182895,2.553654914471151
2019-09-27,2019-10-24,KO,2593000000,0.61,4280000000,9507000000,3685000000,18713000000,43805000000,36274000000,7531000000,2831000000,3270000000,4.372196261682243,0.13856677176294555,0.029656994498644677,0.05058621288611767,2.3408860150697377
2019-12-31,2020-02-24,KO,2042000000,0.48,4282000000,9068000000,3055000000,18981000000,44155000000,37675000000,6480000000,1852000000,2700000000,4.432741709481551,0.10758126547600232,0.023639457751125827,0.03998741279836438,2.3262736420631156
2020-03-27,2020-04-24,KO,2775000000,0.65,4289000000,8601000000,3570000000,18158000000,50393000000,36832000000,13561000000,229000000,556000000,4.233620890650501,0.15282520101332747,0.029517194430557475,0.05408645727794664,2.775250578257517
2020-06-26,2020-07-22,KO,1779000000,0.41,4292000000,7150000000,2852000000,17484000000,52333000000,42296000000,10037000000,2021000000,2230000000,4.073625349487418,0.10175017158544955,0.018787821183030764,0.03309425563281417,2.993193777167696
2020-09-25,2020-10-22,KO,1737000000,0.4,4296000000,8652000000,3199000000,18607000000,52867000000,41482000000,11385000000,3211000000,3434000000,4.331238361266294,0.09335196431450529,0.01787331247942048,0.03771983982585391,2.84124254312893
2020-12-31,2021-02-25,KO,1456000000,0.34,4300000000,8611000000,3101000000,19299000000,44415000000,37620000000,6795000000,3206000000,3624000000,4.488139534883721,0.0754443235400798,0.016678885630498533,0.029296660816567625,2.3014145810663766
2021-04-02,2021-04-27,KO,2245000000,0.52,4307000000,9020000000,3571000000,20355000000,44983000000,36499000000,8484000000,1420000000,1636000000,4.726027397260274,0.11029231147138295,0.024946384718811464,0.046007927474760235,2.2099238516335054
2021-07-02,2021-07-26,KO,2641000000,0.61,4313000000,10129000000,4781000000,22249000000,42008000000,32820000000,9188000000,3655000000,3889000000,5.158590308370044,0.11870196413321947,0.029281326917533317,0.057921967155512157,1.8880848577464155
2021-10-01,2021-10-28,KO,2471000000,0.57,4318000000,10042000000,3656000000,22179000000,41708000000,30407000000,11301000000,3428000000,3706000000,5.136405743399722,0.1114116957482303,0.02727192459660508,0.05027062580163293,1.8805176067451193
2021-12-31,2022-02-22,KO,2414000000,0.56,4321000000,9464000000,3466000000,22999000000,43922000000,34238000000,9684000000,2755000000,3394000000,5.3226105068271234,0.10496108526457672,0.025584500922059477,0.04519054013917477,1.9097352058785164
2022-04-01,2022-04-28,KO,2781000000,0.64,4332000000,10491000000,3964000000,24845000000,41701000000,34020000000,7681000000,406000000,623000000,5.73522622345337,0.11193399074260414,0.02956497703691104,0.049944788923808714,1.6784463674783658
2022-07-01,2022-07-27,KO,1905000000,0.44,4331000000,11325000000,2804000000,23005000000,41901000000,32925000000,8976000000,3653000000,3923000000,5.311706303394136,0.08280808519886981,0.020446715109102814,0.03691598486098616,1.8213866550749838
2022-09-30,2022-10-26,KO,2825000000,0.65,4325000000,11063000000,3949000000,22805000000,39587000000,29460000000,10127000000,3233000000,3522000000,5.272832369942196,0.12387634290725719,0.03055011841550324,0.05709825730638988,1.7358912519184388
2022-12-31,2023-02-21,KO,2031000000,0.47,4326000000,10125000000,3111000000,24105000000,40262000000,30743000000,9519000000,2242000000,2950000000,5.572122052704577,0.08425637834474176,0.021894505352349537,0.042043640606767796,1.6702758763741963
2023-03-31,2023-04-26,KO,3107000000,0.72,4326000000,10980000000,4711000000,25217000000,42400000000,30396000000,12004000000,-116000000,160000000,5.8291724456773,0.12321053257722965,0.03189807400106772,0.06111382532903612,1.6814054011182933
2023-06-30,2023-07-27,KO,2547000000,0.59,4325000000,11972000000,3535000000,26013000000,41625000000,29061000000,12564000000,4130000000,4469000000,6.014566473988439,0.09791258217045323,0.02586942390509466,0.051719138996824475,1.6001614577326722
2023-09-29,2023-10-24,KO,3087000000,0.71,4324000000,11953000000,4195000000,26325000000,40171000000,28288000000,11883000000,3914000000,4300000000,6.088112858464385,0.11726495726495727,0.03163622947795609,0.06232516964240236,1.5259639126305793
2023-12-31,2024-02-20,KO,1973000000,0.46,4317000000,10849000000,3166000000,25941000000,43065000000,33699000000,9366000000,1819000000,2670000000,6.0090340514246,0.07605720673836784,0.020193852798788166,0.03884082091258267,1.6601133341043137
2024-03-29,2024-05-02,KO,3177000000,0.74,4310000000,11300000000,4516000000,26429000000,42550000000,32107000000,10443000000,158000000,528000000,6.1320185614849185,0.12020886147792198,0.031964343206696715,0.059778984282611414,1.6099738923152598
2024-06-28,2024-07-29,KO,2411000000,0.56,4309000000,12363000000,3715000000,25853000000,43817000000,30109000000,13708000000,3163000000,3585000000,5.9997679275934095,0.09325803581789348,0.02382363984901484,0.04882680817049992,1.6948516613159015
2024-09-27,2024-10-24,KO,2848000000,0.66,4311000000,11854000000,4073000000,26518000000,46264000000,32326000000,13938000000,-1728000000,-1259000000,6.151241011366272,0.10739874802021268,0.02680067001675042,0.0545231117559255,1.7446262915755335
2024-12-31,2025-02-20,KO,2195000000,0.51,4309000000,11544000000,3513000000,24856000000,45445000000,34617000000,10828000000,3148000000,3951000000,5.768391738222325,0.08830865786932733,0.021830152462978248,0.04292562235186678,1.828331187640811
2025-03-28,2025-05-01,KO,3330000000,0.77,4302000000,11129000000,4711000000,26202000000,49111000000,40694000000,8417000000,-5511000000,-5202000000,6.0906555090655505,0.12708953514998855,0.03273821227732117,0.05460906372637653,1.8743225707961224
2025-06-27,2025-07-24,KO,3810000000,0.89,4303000000,12535000000,5520000000,28585000000,49446000000,39856000000,9590000000,3369000000,3811000000,6.643039739716476,0.13328668882280917,0.03651768855491551,0.060721845748465474,1.7297883505334966
