date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-11-30,2016-01-22,LEN,281603000,1.31,212564940,2945567000,447474000,5648944000,6655158000,5496713000,1158445000,638337000,668768000,26.575144518188182,0.049850556139342146,0.019837919723218883,0.01157138731665652,1.1781242653494175
2016-02-29,2016-04-06,LEN,144080000,0.67,214497840,1993664000,188916000,5820114000,6568453000,5847994000,720459000,-234340000,-215887000,27.133671835576525,0.024755528843593097,0.009703793847991362,0.018885437590840014,1.1285780656530096
2016-05-31,2016-07-01,LEN,218469000,0.99,217873020,2745815000,335128000,6118366000,6713600000,5898123000,815477000,19742000,40505000,28.082256352805867,0.03570708257727635,0.014565842951931899,0.01852309010382894,1.0972864323579203
2016-08-31,2016-10-04,LEN,235842000,1.02,228019980,2833894000,337227000,6545535000,6410336000,5594241000,816095000,156671000,172302000,28.70597129251568,0.03603097378594721,0.015352516742687583,0.025646833310052092,0.9793448511084274
2016-11-30,2017-01-20,LEN,313453000,1.34,230764800,3376626000,477116000,7026042000,6275540000,4946011000,1329529000,489292000,510884000,30.446766577918297,0.04461302679374817,0.019313050993545147,0.009397911767183924,0.8931828190039285
2017-02-28,2017-04-10,LEN,38080000,0.55,236837880,2337428000,199970000,7106053000,6964623000,6035563000,929060000,53539000,79324000,30.003870157932507,0.005358811706020206,0.002272821548592453,0.016438134706551116,0.9800972494857553
2017-05-31,2017-06-30,LEN,213645000,0.89,236861340,3261892000,350900000,7322571000,7342157000,6358189000,983968000,-260341000,-239083000,30.915011288883193,0.02917622785767458,0.012612332227408889,0.018129517773797257,1.0026747436112262
2017-08-31,2017-10-10,LEN,249165000,1.04,237326460,3261476000,392582000,7554260000,6860644000,6022918000,837726000,467408000,487472000,31.830669028645183,0.03298337626716581,0.013292320515396238,0.014253352382363946,0.9081821382901832
2017-11-30,2018-01-25,LEN,309590000,1.29,237562000,3785569000,319647000,7872317000,7972515000,5321643000,2650872000,624485000,669151000,33.13794714642914,0.0393264143199518,0.011078934482697785,0.008271665101858264,1.0127278919281324
2018-02-28,2018-04-09,LEN,136215000,0.53,253665000,2980791000,234487000,13060930000,11593659000,10564074000,1029585000,-183538000,-142728000,51.48889283109613,0.01042919608328044,0.004804573958641265,0.013817786674831302,0.887659531135991
