date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-11-06,LHX,148000000,1.2,123500000,1811000000,358000000,3462000000,5081000000,4761000000,320000000,40000000,64000000,28.032388663967613,0.04274985557481225,0.01177968799745304,0.021997919115759317,1.4676487579433852
2016-01-01,2016-02-03,LHX,-152000000,-1.23,123800000,1748000000,414000000,3251000000,5026000000,4515000000,511000000,298000000,323000000,26.260096930533116,-0.04675484466318056,-0.012565098784822683,0.029504861160578117,1.5459858505075361
2016-04-01,2016-05-04,LHX,168000000,1.35,124000000,1909000000,369000000,3366000000,4793000000,4491000000,302000000,85000000,120000000,27.14516129032258,0.049910873440285206,0.01411764705882353,0.026280280373670306,1.4239453357100416
2016-07-01,2016-08-29,LHX,160000000,1.29,124100000,1904000000,386000000,3056000000,4517000000,4030000000,487000000,349000000,417000000,24.625302175664785,0.05235602094240838,0.013323340827712549,0.027001599397873742,1.4780759162303665
2016-09-30,2016-11-02,LHX,160000000,1.29,123900000,1754000000,355000000,3053000000,4486000000,4202000000,284000000,22000000,43000000,24.6408393866021,0.05240746806419915,0.01358464934623875,0.0264841980899872,1.4693743858499837
2016-12-30,2017-02-03,LHX,177000000,1.42,123700000,1449000000,348000000,3157000000,4400000000,4039000000,361000000,224000000,252000000,25.521422797089734,0.056065885334178014,0.01523498020313307,0.02689259990775017,1.3937282229965158
2017-03-31,2017-05-03,LHX,85000000,0.7,122600000,1489000000,311000000,2914000000,4213000000,3911000000,302000000,164000000,194000000,23.768352365415986,0.02916952642415923,0.007652831547672639,0.028360766558191454,1.4457789979409745
2017-06-30,2017-08-29,LHX,131000000,1.09,120300000,1542000000,357000000,2928000000,4030000000,3546000000,484000000,40000000,80000000,24.33915211970075,0.044740437158469946,0.012983151635282459,0.03024326101249178,1.3763661202185793
2017-09-29,2017-10-31,LHX,159000000,1.33,119100000,1413000000,337000000,2987000000,3997000000,3609000000,388000000,72000000,95000000,25.079764903442484,0.053230666220287916,0.015744133082483413,0.029842647856755288,1.3381319049213258
2017-12-29,2018-01-31,LHX,131000000,1.17,118500000,1535000000,331000000,2994000000,3919000000,3497000000,422000000,258000000,278000000,25.265822784810126,0.043754175016700064,0.013291396103896104,0.023859360824389324,1.3089512358049433
