date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,LH,152800000,1.51,101100000,2317300000,458900000,4913500000,6681200000,5968200000,713000000,220200000,288000000,48.60039564787339,0.03109799531901903,0.010594704034724003,0.017272212828754525,1.3597639157423425
2015-12-31,2016-02-29,LH,114200000,1.13,101300000,2300500000,356200000,4945100000,6364200000,5647800000,716400000,299500000,384600000,48.816386969397826,0.02309356736971952,0.00799372821324075,0.014100627906747302,1.2869709409314272
2016-03-31,2016-05-06,LH,160200000,1.58,101600000,2368000000,451200000,5166500000,6394900000,5698600000,696300000,51600000,123000000,50.851377952755904,0.03100745185328559,0.011119131569449457,0.017778415091669657,1.237762508468015
2016-06-30,2016-07-29,LH,198200000,1.94,102200000,2430700000,505400000,5313000000,6055000000,5415400000,639600000,276600000,343600000,51.986301369863014,0.037304724261246,0.013958729487992112,0.021579118591337758,1.13965744400527
2016-09-30,2016-10-28,LH,179500000,1.74,102900000,2414700000,484100000,5523400000,6171400000,5603800000,567600000,183700000,249900000,53.6773566569485,0.03249809899699461,0.012393841055030035,0.02226868887927729,1.117319042618677
2016-12-31,2017-02-27,LH,184400000,1.79,103300000,2428400000,454200000,5505800000,5849500000,5415900000,433600000,374600000,448900000,53.29912875121007,0.033491953939482004,0.012943075735242508,0.020134678378588785,1.062425079007592
2017-03-31,2017-04-28,LH,192200000,1.87,102500000,2447000000,457200000,5650700000,5921100000,5555600000,365500000,160400000,233800000,55.128780487804875,0.034013485054948944,0.013321319656224009,0.01951161588517435,1.0478524784539969
2017-06-30,2017-08-02,LH,188600000,1.84,102400000,2542900000,506700000,5878100000,6127900000,5828000000,299900000,240300000,310700000,57.4033203125,0.032085197597863255,0.012655594698876027,0.018915984801156128,1.0424967251322705
2017-09-30,2017-11-02,LH,180600000,1.77,102300000,2655200000,459800000,6125900000,7218400000,6809100000,409300000,275600000,350900000,59.88172043010753,0.029481382327494737,0.010819683916653687,0.0164786332120334,1.1783411417097895
2017-12-31,2018-02-27,LH,706800000,6.91,102200000,2796300000,501800000,6804100000,6762100000,6445500000,316600000,467700000,564000000,66.57632093933464,0.10387854381916785,0.0426605504587156,0.06608348873834254,0.9938272512161784
2018-03-31,2018-05-01,LH,173200000,1.7,101900000,2848300000,485300000,6984000000,6777000000,6415200000,361800000,82200000,154700000,68.5377821393523,0.024799541809851087,0.010290107356951466,0.01825801966855164,0.970360824742268
2018-06-30,2018-07-27,LH,233800000,2.29,101900000,2866300000,543400000,7037700000,6457200000,6235800000,221400000,280000000,367200000,69.06476938174681,0.033221080750813474,0.014165833560544095,0.022836831898109186,0.917515665629396
2018-09-30,2018-10-30,LH,390800000,3.14,101600000,2831300000,494900000,7248100000,6462400000,5569800000,892600000,154000000,251900000,71.33956692913385,0.05391757839985652,0.02345541191016361,0.022090523666016968,0.8915991777155392
2018-12-31,2019-02-28,LH,157900000,1.58,100200000,2787500000,410400000,6971400000,6059800000,5633000000,426800000,364200000,486400000,69.57485029940119,0.022649682990504058,0.009755766034611655,0.015956665593300418,0.869237169004791
2019-03-31,2019-05-03,LH,185600000,1.88,98600000,2791200000,511700000,7111300000,6819500000,6470700000,348800000,71600000,165800000,72.12271805273834,0.026099306737164794,0.010936431989063569,0.01673421432336396,0.9589667149466342
2019-06-30,2019-08-08,LH,190400000,1.94,98100000,2881700000,468900000,7144400000,7507000000,7241600000,265400000,168300000,253500000,72.82772680937819,0.026650243547393763,0.010686423079081776,0.01615752197352364,1.0507530373439338
2019-09-30,2019-10-31,LH,220700000,2.26,97600000,2928500000,501800000,7231100000,7437800000,7076700000,361100000,363000000,455600000,74.08913934426229,0.03052094425467771,0.01236089096988468,0.019213597795900785,1.0285848626073488
2019-12-31,2020-02-28,LH,227100000,2.34,97200000,2953400000,513100000,7567000000,7107600000,6770100000,337500000,441600000,569800000,77.84979423868313,0.030011893749174044,0.012601684663788608,0.019339790526293584,0.9392890181049293
2020-03-31,2020-05-08,LH,-317200000,-3.27,97003058,2823800000,-68100000,7020100000,7117600000,6794000000,323600000,97200000,203800000,72.36988343192232,-0.04518454153074743,-0.018336956019053784,-0.01822714978026828,1.013888691044287
2020-06-30,2020-07-31,LH,231600000,2.38,97300000,2768800000,450500000,7352700000,7113900000,6556900000,557000000,272200000,370700000,75.56731757451182,0.03149863315516749,0.012975444140040674,0.01718856477584263,0.967522134726019
2020-09-30,2020-10-29,LH,703400000,7.22,97400000,3896100000,1150800000,8239100000,6683800000,6016600000,667200000,709000000,786200000,84.59034907597535,0.08537340243473195,0.037535486349762004,0.052041671406762344,0.8112293818499593
2020-12-31,2021-02-25,LH,938300000,9.62,97500000,4489800000,1474900000,9436600000,6756400000,5435600000,1320800000,675200000,774600000,96.78564102564103,0.09943199881313185,0.04674741053323834,0.06556397509544118,0.7159782124917873
2021-03-31,2021-05-04,LH,769600000,7.88,97600000,4161500000,1302500000,10021500000,6360400000,4469600000,1890800000,1062200000,1157600000,102.67930327868852,0.07679489098438358,0.03769389384388576,0.05566540805840885,0.6346754477872574
2021-06-30,2021-08-05,LH,467400000,4.8,97400000,3840700000,964000000,10245100000,6357600000,4394400000,1963200000,390000000,487200000,105.1858316221766,0.0456218094503714,0.022892575341258062,0.035815704676214304,0.6205503118563996
2021-09-30,2021-11-02,LH,587300000,6.1,96300000,4062600000,1045500000,10524500000,6335500000,4299000000,2036500000,649500000,767300000,109.28868120456906,0.05580312603924177,0.02814559221719023,0.0418315496723852,0.6019763409188085
2021-12-31,2022-02-25,LH,553000000,5.8,95300000,4056100000,966700000,10273400000,6342600000,4869900000,1472700000,547500000,697500000,107.80062959076601,0.053828333365779586,0.02712725774328686,0.03885425068142501,0.6173808086904043
2022-03-31,2022-04-29,LH,491600000,5.27,93200000,3899600000,892700000,10721100000,6291800000,5058300000,1233500000,238800000,356000000,115.03326180257511,0.045853503838225555,0.02371625402828969,0.033242250945313134,0.5868614228017648
2022-06-30,2022-08-01,LH,358600000,3.89,92185090,2923000000,513600000,10400700000,6315800000,5247000000,1068800000,429200000,572500000,112.8241020321182,0.034478448565961904,0.01757576054619151,0.019138995201012737,0.6072475891045795
2022-09-30,2022-11-01,LH,352800000,3.91,90200000,2866800000,495900000,10092200000,6271100000,5861200000,409900000,270300000,373800000,111.8869179600887,0.03495769009730287,0.01779481488953899,0.01993268548371379,0.6213808683934128
2022-12-31,2023-02-28,LH,76100000,0.86,88500000,3674200000,250000000,10096600000,6246400000,5925800000,320600000,535700000,653600000,114.0858757062147,0.007537190737475982,0.003775719296852906,0.010050984801053806,0.618663708575164
2023-03-31,2023-05-04,LH,212900000,2.41,88400000,3037800000,465100000,10341500000,6291300000,5897400000,393900000,27300000,121200000,116.98529411764706,0.0205869554706764,0.01053960396039604,0.015222850707183364,0.6083546874244549
2023-06-30,2023-08-04,LH,188900000,2.13,88700000,3033700000,411200000,8785000000,6210300000,4279700000,1930600000,237800000,341100000,99.04171364148816,0.021502561183836085,0.010668880642956787,0.01476514913487788,0.7069208878770632
