date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-19,LII,80300000,1.78,45000000,955000000,143700000,97000000,918000000,882900000,35100000,145200000,159200000,2.1555555555555554,0.8278350515463917,0.04267871379218709,0.08577581519693378,9.463917525773196
2015-12-31,2016-02-16,LII,11200000,0.25,44900000,834100000,38400000,101200000,743900000,705000000,38900000,201400000,224300000,2.2538975501113585,0.11067193675889328,0.006665873110344007,0.021068264573714784,7.350790513833992
2016-03-31,2016-04-18,LII,24900000,0.57,44000000,715200000,57900000,-73800000,1099400000,1058800000,40600000,-137200000,-113400000,-1.6772727272727272,-0.33739837398373984,0.01337990327780763,0.029147770649451538,-14.897018970189702
2016-06-30,2016-07-18,LII,110700000,2.54,43600000,1019200000,175200000,31000000,1075200000,1020500000,54700000,54500000,72400000,0.7110091743119266,3.5709677419354837,0.054688271909890326,0.11042029818654665,34.68387096774194
2016-09-30,2016-10-17,LII,101700000,2.35,43200000,1010000000,171800000,23800000,1055900000,1008100000,47800000,130200000,147900000,0.5509259259259259,4.273109243697479,0.05278729367798194,0.10315841274420048,44.365546218487395
2016-12-31,2017-02-21,LII,40400000,0.94,42900000,897300000,84000000,37600000,868200000,818000000,50200000,222700000,247600000,0.8764568764568764,1.074468085106383,0.022950633414758847,0.0542192228906769,23.090425531914892
2017-03-31,2017-04-24,LII,43500000,1.02,42800000,793400000,76500000,-1400000,1103100000,1054300000,48800000,-132500000,-107600000,-0.03271028037383177,-31.071428571428573,0.022300830513688096,0.047039690272239004,-787.9285714285714
2017-06-30,2017-07-24,LII,115500000,2.73,42300000,1102100000,191800000,10200000,1188900000,1127600000,61300000,40800000,59300000,0.24113475177304963,11.323529411764707,0.05382607885171032,0.10731692761389651,116.55882352941177
2017-09-30,2017-10-24,LII,103500000,2.47,41900000,1052300000,170700000,32100000,1124100000,1063400000,60700000,160200000,177300000,0.766109785202864,3.2242990654205608,0.05034781339689644,0.09984196325723352,35.018691588785046
2017-12-31,2018-02-16,LII,43100000,1.03,41800000,891800000,121600000,50100000,1004000000,935800000,68200000,158300000,196100000,1.1985645933014355,0.8602794411177644,0.022786148559344434,0.04782195308997046,20.039920159680637
2018-03-31,2018-04-23,LII,37900000,0.91,41500000,834800000,69000000,-102600000,1289100000,1232000000,57100000,-106200000,-83500000,-2.472289156626506,-0.36939571150097467,0.01816787306457025,0.0399641000048296,-12.564327485380117
2018-06-30,2018-07-23,LII,137600000,3.38,40700000,1175400000,210500000,-180200000,1352600000,1313200000,39400000,27800000,48500000,-4.427518427518428,-0.7635960044395117,0.065542535962656,0.1293855438113075,-7.506104328523862
2018-09-30,2018-10-22,LII,108000000,2.68,40300000,1030200000,160700000,-86800000,1125900000,1079800000,46100000,248800000,266300000,-2.1538461538461537,-1.2442396313364055,0.05652082897215826,0.11713383821278095,-12.971198156682028
2018-12-31,2019-02-19,LII,75600000,1.89,40000000,843600000,132700000,-149600000,1041300000,995000000,46300000,229900000,264200000,-3.74,-0.5053475935828877,0.04160246533127889,0.09788933027019937,-6.9605614973262036
2019-03-31,2019-04-22,LII,69300000,1.75,39700000,790300000,112100000,-204800000,1467300000,1435600000,31700000,-178200000,-141000000,-5.158690176322418,-0.33837890625,0.03291067103576008,0.06379101064642059,-7.16455078125
2019-06-30,2019-07-22,LII,110700000,2.83,39100000,1099100000,169600000,-217500000,1634000000,1597600000,36400000,13700000,30000000,-5.562659846547315,-0.5089655172413793,0.047299606904802595,0.08796557318574602,-7.512643678160919
2019-09-30,2019-10-21,LII,114700000,2.97,38600000,1032900000,174400000,-277300000,1625700000,1579600000,46100000,212000000,235500000,-7.183937823834197,-0.4136314460872701,0.051787971825898504,0.0957362999598537,-5.862603678326722
2019-12-31,2020-02-18,LII,114000000,2.96,38600000,885000000,171500000,-170200000,1354900000,1317600000,37300000,243000000,271600000,-4.409326424870466,-0.6698002350176263,0.056022408963585436,0.1076679357967919,-7.960634547591069
2020-03-31,2020-04-20,LII,12900000,0.34,38400000,723800000,54200000,-318300000,1627600000,1588500000,39100000,-123500000,-98800000,-8.2890625,-0.04052780395852969,0.006060890809998121,0.013071778920568147,-5.113415017279296
2020-06-30,2020-07-20,LII,100000000,2.62,38200000,941300000,153800000,-228900000,1570700000,1525900000,44800000,86500000,105300000,-5.992146596858639,-0.436871996505024,0.04707433036765052,0.08174477158828065,-6.861948449104412
2020-09-30,2020-10-19,LII,131700000,3.44,38300000,1055000000,183200000,-115700000,1212200000,1157200000,55000000,427300000,439700000,-3.02088772845953,-1.1382886776145202,0.06647486371895821,0.13161516897980058,-10.477095937770095
2020-12-31,2021-02-16,LII,111700000,2.92,38300000,914000000,156200000,-17100000,1178400000,1054500000,123900000,143600000,166200000,-0.4464751958224543,-6.5321637426900585,0.05495694956949569,0.11432353917845214,-68.91228070175438
2021-03-31,2021-04-26,LII,84200000,2.22,38000000,930500000,129800000,-160700000,1366300000,1330800000,35500000,-42200000,-17500000,-4.228947368421053,-0.5239576851275669,0.04057831325301205,0.07601753721968368,-8.502177971375234
2021-06-30,2021-07-26,LII,170000000,4.55,37400000,1239000000,233300000,-213300000,1429400000,1384900000,44500000,171200000,192000000,-5.7032085561497325,-0.7969995311767464,0.07710799655281898,0.1495503795873036,-6.701359587435537
2021-09-30,2021-10-25,LII,126300000,3.43,36800000,1059900000,179000000,-334800000,1458600000,1419200000,39400000,198800000,221800000,-9.097826086956522,-0.3772401433691756,0.059477278078643746,0.12136047083515623,-4.35663082437276
