date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,LNT,182500000,0.79,226400000,898900000,356100000,3745200000,3967900000,3828700000,139200000,-80000000,178000000,16.542402826855124,0.04872903983765887,0.014531874572006434,0.029425949843662123,1.0594627790238171
2015-12-31,2016-02-24,LNT,36600000,0.15,226600000,740100000,222500000,3724100000,3995400000,3989600000,5800000,-132000000,175900000,16.43468667255075,0.009827877876533928,0.002929124783917024,0.010931301696073752,1.0728498160629414
2016-03-31,2016-05-05,LNT,99100000,0.43,224243903,843800000,272300000,3764600000,4049500000,4044700000,4800000,-10900000,228300000,16.787970373491046,0.026324177867502522,0.007905863581970483,0.017887350304004717,1.0756786909631832
2016-06-30,2016-08-02,LNT,86400000,0.37,227000000,754600000,255100000,3790200000,4123000000,4116500000,6500000,1000000,281700000,16.696916299559472,0.022795630837422826,0.00681097955129519,0.01601498909604693,1.0878053928552582
2016-09-30,2016-11-04,LNT,131000000,0.57,227200000,924600000,291800000,3859100000,4369200000,4284500000,84700000,-123000000,144000000,16.985475352112676,0.03394573864372522,0.010054339483621404,0.021804240237626612,1.1321810784898034
2016-12-31,2017-02-24,LNT,65200000,0.28,227400000,797000000,252200000,3862000000,4564300000,4556100000,8200000,-204300000,205600000,16.983289357959542,0.016882444329363023,0.004875203756598723,0.014950854273266694,1.1818487830139823
2017-03-31,2017-05-04,LNT,103000000,0.44,227600000,853900000,278500000,3896900000,4623500000,4615100000,8400000,42200000,333700000,17.12170474516696,0.026431265878005594,0.007649518377410898,0.01717314994701519,1.1864559008442608
2017-06-30,2017-08-04,LNT,96800000,0.41,229000000,765300000,285800000,4050400000,4728100000,4720800000,7300000,-147700000,168300000,17.687336244541484,0.023898874185265654,0.007043380822794942,0.015974313469660335,1.1673168082164724
2017-09-30,2017-11-03,LNT,171400000,0.73,231000000,906900000,372100000,4154200000,4845600000,4836400000,9200000,-60500000,381400000,17.983549783549783,0.04125944826922151,0.012143196196926652,0.024267236075259477,1.1664339704395552
2017-12-31,2018-02-23,LNT,96300000,0.41,231200000,856100000,273800000,4182200000,5281500000,5253600000,27900000,-317500000,100000000,18.08910034602076,0.023026158481182155,0.006787521673550515,0.01609418044997862,1.2628520874181053
2018-03-31,2018-05-03,LNT,123500000,0.52,231400000,916300000,319900000,4231500000,5343900000,5324800000,19100000,-266200000,89300000,18.286516853932586,0.029185867895545316,0.008671656672611609,0.01837648360835115,1.262885501595179
2018-06-30,2018-08-03,LNT,102900000,0.43,232000000,816100000,304800000,4350700000,5566100000,5561100000,5000000,-532100000,-154300000,18.75301724137931,0.02365136644677868,0.007040711597673623,0.01584414016604997,1.2793573447950903
2018-09-30,2018-11-07,LNT,208100000,0.87,235200000,928600000,412100000,4570400000,5891100000,5651400000,239700000,112500000,507200000,19.431972789115648,0.04553211972693856,0.013628207311163211,0.02622146077525507,1.2889681428321371
2018-12-31,2019-02-22,LNT,87800000,0.36,236000000,873500000,287100000,4585700000,5944000000,5923100000,20900000,-420400000,85500000,19.43093220338983,0.019146477091828946,0.005691689355633346,0.0140083269867269,1.2962034149639095
2019-03-31,2019-05-03,LNT,127700000,0.53,236500000,987200000,346000000,4682400000,6133400000,6123300000,10100000,-225000000,181100000,19.798731501057084,0.027272338971467622,0.008126821693586367,0.01730468972063686,1.309883820263113
