date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2016-02-29,2016-02-29,LW,107400000,0.71,146300000,728700000,150900000,1475000000,140000000,103400000,36600000,5900000,48200000,10.082023239917977,0.0728135593220339,0.04842636847326179,0.046544386579716476,0.09491525423728814
2016-05-31,2016-05-31,LW,42600000,0.29,146300000,777000000,76400000,1400600000,143000000,106600000,36400000,117500000,161200000,9.57347915242652,0.030415536198771954,0.019737756567668997,0.020577173899279485,0.10209910038554905
2016-08-31,2016-08-31,LW,79600000,0.54,146000000,776300000,150500000,-877600000,2483100000,2410700000,72400000,55700000,115000000,-6.010958904109589,-0.09070191431175935,0.035957898540904365,0.04786417507117567,-2.8294211485870555
2016-11-27,2017-01-10,LW,87200000,0.59,146000000,790700000,152100000,-758600000,2526200000,2456800000,69400000,-21100000,47400000,-5.195890410958904,-0.11494858950698655,0.03633030580784934,0.05279587872267152,-3.3300817295017135
2017-02-26,2017-04-06,LW,84200000,0.57,146100000,768500000,172700000,-701600000,2513000000,2475500000,37500000,15000000,91700000,-4.802190280629706,-0.12001140250855188,0.03461886358029767,0.05156291315183135,-3.5818129988597494
2017-05-28,2017-07-25,LW,75900000,0.52,145000000,832500000,152100000,-647200000,2424900000,2367800000,57100000,109900000,192800000,-4.463448275862069,-0.11727441285537701,0.030535886707434824,0.04672895381155046,-3.7467552533992583
2017-08-27,2017-10-04,LW,83400000,0.56,146200000,817500000,168600000,-575700000,2431500000,2361700000,69800000,39100000,143500000,-3.9377564979480164,-0.14486711829077645,0.03299311654403038,0.051381845369997604,-4.223553934340803
2017-11-26,2018-01-04,LW,76600000,0.52,146300000,824600000,175400000,-531400000,2480700000,2409600000,71100000,-10900000,38700000,-3.6322624743677374,-0.14414753481369966,0.02821466720689528,0.04962197849004367,-4.668234851336093
2018-02-25,2018-04-05,LW,156800000,1.07,146300000,863400000,206700000,-392200000,2415300000,2365900000,49400000,77600000,128000000,-2.680792891319207,-0.3997960224375319,0.05693743418424779,0.08187958912845753,-6.158337582865885
2018-05-27,2018-07-26,LW,100000000,0.68,146323529,918200000,172700000,-334800000,2385000000,2329400000,55600000,68600000,171000000,-2.2880804084488693,-0.2986857825567503,0.03632928867252779,0.05256285170878101,-7.123655913978495
2018-08-26,2018-10-02,LW,107800000,0.73,146500000,914900000,191200000,-245400000,2377000000,2226500000,150500000,140900000,227900000,-1.675085324232082,-0.4392828035859821,0.037767578740847144,0.05889436922223176,-9.686226568867156
2018-11-25,2019-01-04,LW,119000000,0.74,146600000,911400000,212600000,-167100000,2374400000,2252800000,121600000,5500000,88900000,-1.139836289222374,-0.7121484141232794,0.038984438984438985,0.0654729644844975,-14.209455415918612
2019-02-24,2019-04-02,LW,141400000,0.96,146600000,926800000,234100000,-56200000,2424700000,2407500000,17200000,53800000,127600000,-0.38335607094133695,-2.5160142348754446,0.04544870146567241,0.06438972398717718,-43.144128113879006
2019-05-26,2019-07-25,LW,110400000,0.76,146052632,1003400000,192900000,-4600000,2326600000,2314400000,12200000,146500000,236500000,-0.03149549540469767,-24.0,0.03621928414422099,0.05197545340624165,-505.7826086956522
2019-08-25,2019-10-02,LW,115700000,0.79,146200000,989000000,216000000,92300000,2270900000,2251900000,19000000,188200000,238500000,0.6313269493844049,1.2535211267605635,0.035902687271147524,0.05505574600717782,24.60346695557963
2019-11-24,2020-01-03,LW,140400000,0.96,146200000,1019200000,239200000,201100000,2273200000,2249400000,23800000,69000000,106800000,1.3755129958960328,0.6981601193436101,0.040498442367601244,0.06054872828258391,11.30382894082546
2020-02-23,2020-04-01,LW,111400000,0.76,146200000,937300000,208300000,270400000,2277200000,2247100000,30100000,50700000,90400000,1.8495212038303694,0.4119822485207101,0.03213894178062431,0.048882837135294274,8.421597633136095
2020-05-31,2020-07-28,LW,-1600000,-0.0109,146200000,846900000,77400000,240000000,3568500000,2204500000,1364000000,98400000,138300000,1.6415868673050615,-0.006666666666666667,-0.0003431782596572507,0.0045965897469272396,14.86875
2020-08-30,2020-10-07,LW,89300000,0.61,146300000,871500000,182600000,332000000,3063100000,2030600000,1032500000,230000000,250600000,2.2693096377306903,0.26897590361445783,0.02090062257173618,0.043726336721093245,9.226204819277108
