date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,L,182000000,0.51,356892000,3169000000,282000000,18744000000,10770000000,10442000000,328000000,888000000,1108000000,52.520090111294174,0.009709773794280837,0.002347417840375587,0.013216067221648545,0.5745838668373879
2015-12-31,2016-02-19,L,-201000000,-0.59,339898000,3333000000,-477000000,17561000000,10560000000,10120000000,440000000,1244000000,1352000000,51.66549964989497,-0.011445817436364672,-0.0026445280635739284,-0.007863611106810412,0.6013324981493081
2016-03-31,2016-05-03,L,102000000,0.3,339100000,3173000000,0,17833000000,10587000000,10279000000,308000000,-143000000,149000000,52.58920672368033,0.005719733079122974,0.0013208329016885943,0.012269967748055397,0.593674648124264
2016-06-30,2016-08-01,L,-65000000,-0.19,338720000,3307000000,0,17945000000,11065000000,10717000000,348000000,19000000,622000000,52.97886159659896,-0.003622178879910839,-0.0008208832703989492,-0.0053153243349018395,0.6166062970186682
2016-09-30,2016-10-31,L,327000000,0.97,337180000,3287000000,0,18270000000,10922000000,10578000000,344000000,655000000,945000000,54.18470846432173,0.017898193760262728,0.004165180618535691,0.016808391888818396,0.5978106185002737
2016-12-31,2017-02-16,L,290000000,0.85,336621000,3338000000,41000000,18163000000,10778000000,10451000000,327000000,351000000,537000000,53.956823846402926,0.015966525353741122,0.003786197352273024,0.0185525735850979,0.5934041733193856
2017-03-31,2017-05-01,L,295000000,0.88,336880000,3300000000,0,18488000000,10690000000,10278000000,412000000,-212000000,-1000000,54.88007599145096,0.015956295975768066,0.0038255050963508573,0.017376995990637092,0.578212894850714
2017-06-30,2017-07-31,L,231000000,0.69,336910000,3359000000,0,18816000000,11286000000,10929000000,357000000,967000000,1232000000,55.84874298774153,0.012276785714285714,0.002920317062995411,0.013089938831654074,0.5998086734693877
2017-09-30,2017-10-30,L,157000000,0.46,336910000,3521000000,0,19021000000,11433000000,11017000000,416000000,320000000,579000000,56.457214092784426,0.00825403501393197,0.001974172293686421,0.013019367387168173,0.6010724988170969
2017-12-31,2018-02-15,L,481000000,1.43,335740000,3555000000,-28000000,19204000000,11533000000,11061000000,472000000,484000000,780000000,57.19902305355335,0.02504686523640908,0.0060437765436131986,0.022949341553801867,0.6005519683399292
2018-03-31,2018-04-30,L,293000000,0.89,327780000,3581000000,0,18532000000,11468000000,11017000000,451000000,283000000,513000000,56.53792177680151,0.015810489963306713,0.003626866041145743,0.01733717879780352,0.6188214979494928
2018-06-30,2018-07-30,L,230000000,0.72,318870000,3590000000,0,18911000000,11471000000,11018000000,453000000,1388000000,1638000000,59.30630037319284,0.012162233620644069,0.0028489322697319527,0.012146009399226379,0.6065781820104701
2018-09-30,2018-11-05,L,278000000,0.88,315900000,3608000000,0,18952000000,11460000000,10889000000,571000000,993000000,1244000000,59.99366888255777,0.014668636555508653,0.003531279771355986,0.013678901189486954,0.6046855213170114
2018-12-31,2019-02-13,L,-165000000,-0.53,313880000,3287000000,27000000,18518000000,11376000000,10971000000,405000000,563000000,827000000,58.9970689435453,-0.008910249486985636,-0.002106849175136626,-0.002714045330754542,0.6143212009936279
2019-03-31,2019-04-29,L,394000000,1.27,309830000,3757000000,-3000000,19037000000,11361000000,11022000000,339000000,-142000000,81000000,61.44337217183617,0.020696538320113464,0.004897512709915599,0.016830679191815152,0.5967852077533224
2019-06-30,2019-08-05,L,249000000,0.82,303840000,3623000000,0,19514000000,11543000000,11103000000,440000000,111000000,393000000,64.22459189046867,0.012760069693553346,0.003026362166826695,0.011731450441970739,0.5915240340268525
2019-09-30,2019-10-28,L,72000000,0.24,301650000,3675000000,0,19420000000,11482000000,11040000000,442000000,559000000,797000000,64.37924747223603,0.0037075180226570545,0.0008727378513678954,0.004353250164149705,0.5912461380020597
2019-12-31,2020-02-12,L,217000000,0.74,296210000,3876000000,-86000000,19119000000,11533000000,11197000000,336000000,172000000,470000000,64.54542385469767,0.011349966002405983,0.002638522427440633,0.010540901537620162,0.6032219258329411
2020-03-31,2020-05-04,L,-632000000,-2.2,287040000,3201000000,-977000000,16966000000,11968000000,11029000000,939000000,96000000,329000000,59.106744704570794,-0.037250972533301896,-0.007974360915537385,-0.03250191707803053,0.7054108216432866
2020-06-30,2020-08-03,L,-835000000,-2.97,281480000,3464000000,0,17204000000,10005000000,9337000000,668000000,-96000000,111000000,61.11979536734404,-0.04853522436642641,-0.010645214752865284,-0.028224698837405353,0.5815508021390374
2020-09-30,2020-11-02,L,139000000,0.5,279400000,3394000000,0,17372000000,10408000000,9522000000,886000000,707000000,851000000,62.17609162491052,0.008001381533502187,0.0017492197724755865,0.01053315566760579,0.599125028781948
2020-12-31,2021-02-09,L,397000000,1.38,273390000,3608000000,34000000,17860000000,10109000000,9631000000,478000000,328000000,454000000,65.32791982150042,0.022228443449048153,0.004947903684131811,0.019115944249305745,0.566013437849944
2021-03-31,2021-05-07,L,261000000,0.98,267390000,3575000000,0,17270000000,9137000000,8477000000,660000000,47000000,134000000,64.5873069299525,0.015112912565141865,0.003262296106493344,0.014875042334552181,0.5290677475390851
2021-06-30,2021-08-02,L,754000000,2.87,262760000,3299000000,0,18083000000,9110000000,8532000000,578000000,313000000,409000000,68.81945501598416,0.041696621135873475,0.009239290265660229,0.03273942077003443,0.5037880882596915
2021-09-30,2021-11-01,L,220000000,0.86,256760000,3282000000,0,17817000000,9112000000,8301000000,811000000,989000000,1133000000,69.39164978968687,0.012347757759443228,0.0026919217874360668,0.012486095493730882,0.511421675927485
2021-12-31,2022-02-08,L,343000000,1.37,252520000,3571000000,26000000,17846000000,9079000000,8458000000,621000000,792000000,947000000,70.67162996990338,0.019219993275804103,0.004202092470536349,0.01717715506045619,0.5087414546677127
