date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,MAA,91734000,1.22,75189000,261998000,200925000,3011048000,3425135000,3380259000,44876000,110319000,135006000,40.04638976446023,0.03046580459693768,0.013319218548929115,0.01988279677180232,1.137522550288139
2015-12-31,2016-02-26,MAA,42987000,0.57,75203000,263337000,150416000,3000347000,3502568000,3465009000,37559000,86485000,102185000,39.89663976171163,0.014327342804015668,0.006277507998576473,0.012177084017825333,1.1673876388297753
2016-03-31,2016-05-06,MAA,43413000,0.58,75249000,269016000,153327000,2980142000,3443963000,3415779000,28184000,87895000,104085000,39.60374224242182,0.014567426652823927,0.006358157922448136,0.01214667766243287,1.1556372146025256
2016-06-30,2016-07-29,MAA,45144000,0.6,75277000,272236000,156193000,2966113000,3489425000,3463146000,26279000,105904000,134131000,39.40264622660308,0.015219919133222504,0.006571771168319242,0.012360079457338254,1.1764302304059218
2016-09-30,2016-10-28,MAA,84279000,1.12,75302000,276898000,198487000,2992690000,3434157000,3406340000,27817000,130072000,151006000,39.74250351916284,0.02816162048190758,0.012247517297934276,0.018895140064809312,1.147515111822474
2016-12-31,2017-02-24,MAA,39386000,0.44,88109000,307198000,171082000,6413892000,4989712000,4956176000,33536000,79776000,94817000,72.79496986686945,0.006140733270843975,0.0033940308110023956,0.0070219359869255265,0.7779538539158439
2017-03-31,2017-04-27,MAA,41905000,0.36,113338000,378908000,210376000,6360194000,4557184000,4523225000,33959000,46435000,132773000,56.11704812154794,0.006588635503885574,0.0036250943904335225,0.007799356222720789,0.7165165087731601
2017-06-30,2017-07-27,MAA,48315000,0.42,113403000,382791000,215715000,6308749000,4573052000,4533393000,39659000,88416000,188450000,55.63123550523355,0.0076584121511253656,0.0041888728659095105,0.008157247799734745,0.7248746146026732
2017-09-30,2017-10-26,MAA,114709000,1.0,113434000,384550000,277279000,6327731000,4492834000,4444983000,47851000,154182000,236233000,55.78337182855228,0.018127983000541584,0.009946326135342142,0.009501034148839689,0.7100229134266296
2017-12-31,2018-02-23,MAA,123450000,1.08,113453000,382738000,287706000,6350320000,4502057000,4491307000,10750000,-156455000,105405000,55.973134249424874,0.01943996523009864,0.010742331198122785,0.009645986071804223,0.7089496277352952
2018-03-31,2018-05-03,MAA,49019000,0.42,113507000,386017000,213228000,6299024000,4498851000,4439145000,59706000,100929000,152704000,55.49458623697217,0.007781999243057337,0.004293368283570586,0.008831936869067936,0.7142139798165557
2018-06-30,2018-08-02,MAA,59807000,0.52,113646000,390073000,228940000,6261771000,4548635000,4516025000,32610000,136743000,211301000,55.09891241222744,0.009551131780449971,0.005224628813041244,0.009774685835686392,0.7264135018671235
2018-09-30,2018-11-01,MAA,52791000,0.46,113671000,397108000,224270000,6217014000,4504023000,4457884000,46139000,170864000,237051000,54.69305275751951,0.008491375441650928,0.004623089596301318,0.009275292580239201,0.7244672442429758
2018-12-31,2019-02-21,MAA,61282000,0.53,113690000,398148000,229952000,6159254000,4528328000,4494069000,34259000,71041000,133236000,54.17586419210133,0.009949581556467715,0.00541179664283511,0.008801624046415704,0.7352072182767588
2019-03-31,2019-05-03,MAA,63660000,0.55,113726000,401178000,234984000,6113167000,4548098000,4503475000,44623000,101464000,154678000,53.75346886376027,0.010413587588888051,0.005631753393250848,0.010438188491909157,0.7439839284613032
2019-06-30,2019-08-01,MAA,61917000,0.53,113838000,407390000,234508000,6063569000,4539989000,4499017000,40972000,133649000,213789000,53.264893972135845,0.010211312842321081,0.005491612733850532,0.010334159101215282,0.7487321410872045
2019-09-30,2019-10-31,MAA,78645000,0.68,113877000,415632000,252029000,6030108000,4476114000,4450288000,25826000,166755000,253071000,52.95281751363313,0.013042054968169724,0.006992062593118591,0.011907014788636521,0.7422941678656502
2019-12-31,2020-02-20,MAA,149589000,1.3,113967000,416817000,324776000,6082696000,4454598000,4434122000,20476000,76455000,159882000,53.37243237077399,0.02459254909336255,0.013319947108085607,0.01883327643703959,0.7323394100247653
2020-03-31,2020-05-07,MAA,36598000,0.31,114111000,418098000,237288000,6008686000,4483693000,4449185000,34508000,75992000,160602000,52.65650112609652,0.006090849147384303,0.003280573274756662,0.010396022265765923,0.7462019150276783
2020-06-30,2020-07-30,MAA,75062000,0.65,114204000,413026000,233526000,5968167000,4472608000,4452941000,19667000,121773000,229013000,52.25882631081223,0.012577060930097968,0.0067433194987868905,0.010024386920373086,0.7494106649495565
2020-09-30,2020-10-29,MAA,59832000,0.52,114216000,423199000,229488000,5917913000,4425594000,4407187000,18407000,157937000,254270000,51.813344890383135,0.010110320986469386,0.00537636727511128,0.009741005714650362,0.7478301894603723
2020-12-31,2021-02-18,MAA,83342000,0.72,114220000,423661000,257438000,5887030000,4562712000,4537514000,25198000,41306000,180064000,51.54114866047978,0.014156883861641609,0.007444712455998509,0.012137479366861836,0.7750448018780268
2021-03-31,2021-04-29,MAA,47139000,0.4,114263000,425005000,236936000,5822544000,4657585000,4624965000,32620000,98891000,148111000,50.957387780821435,0.008095945689719133,0.004211705501726264,0.009859767712345653,0.7999226798457856
2021-06-30,2021-07-29,MAA,216478000,1.88,114494000,436927000,396554000,5940407000,4553237000,4521356000,31881000,170495000,249207000,51.88400265516097,0.036441610818922006,0.019255976630742244,0.025049762058503202,0.7664856970237898
2021-09-30,2021-10-28,MAA,84479000,0.73,114933000,452575000,263592000,5921471000,4540887000,4511076000,29811000,200301000,280932000,51.52106879660324,0.01426655640127259,0.007506487395029665,0.011962132954173749,0.7668511760000175
2021-12-31,2022-02-17,MAA,185641000,1.6,115158000,463575000,373255000,5995362000,4516690000,4462388000,54302000,325455000,216717000,52.06205387380816,0.030964101917448854,0.016449978387588254,0.021820423749362525,0.7533640170518477
2022-03-31,2022-04-28,MAA,110802000,0.95,115259000,476078000,284863000,5946804000,4537505000,4477134000,60371000,141411000,179623000,51.595137906801206,0.018632193023344977,0.009893852840524775,0.014660849151242668,0.7630157308026294
2022-06-30,2022-07-28,MAA,210702000,1.82,115353000,495040000,386407000,6005677000,4518314000,4457746000,60568000,189647000,284284000,52.06346605636611,0.035083804873289055,0.01867859130185177,0.024429213719258255,0.7523404938360821
2022-09-30,2022-10-27,MAA,122311000,1.05,115363000,520783000,299766000,5987890000,4519151000,4480155000,38996000,257036000,343408000,51.90477016027669,0.020426393938432402,0.010787489084492664,0.015703984952236218,0.7547150999767864
2022-12-31,2023-02-14,MAA,193621000,1.67,115398000,527965000,374704000,6025760000,4443574000,4404915000,38659000,174209000,251164000,52.21719613858126,0.03213221236823239,0.017224282358634536,0.022688664044949475,0.7374296354318791
2023-03-31,2023-04-27,MAA,135910000,1.16,116182000,529033000,316172000,6202957000,4395650000,4253239000,142411000,142688000,218310000,53.39000017214371,0.021910517838508312,0.011972011689954582,0.016853056133189916,0.7086378319243548
2023-06-30,2023-07-27,MAA,145688000,1.24,116621000,535146000,328035000,6183108000,4396393000,4246238000,150155000,237052000,335773000,53.01882165304705,0.02356226027428277,0.012789555418802459,0.0177678834383382,0.7110328656720859
2023-09-30,2023-10-26,MAA,110732000,0.94,116633000,542042000,296590000,6134647000,4394263000,4232366000,161897000,231447000,318173000,52.59786681299461,0.01805026434283831,0.00972841921006979,0.014469330999331046,0.7163025028171955
