date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,MAR,210000000,0.8,262200000,3578000000,383000000,-3589000000,4304000000,4209000000,95000000,269000000,328000000,-13.688024408848207,-0.05851212036779047,0.034129692832764506,0.38584403382398996,-1.199219838395096
2015-12-31,2016-02-18,MAR,202000000,0.79,256900000,3706000000,362000000,-3590000000,4107000000,4011000000,96000000,263000000,350000000,-13.974309069676917,-0.05626740947075209,0.03321275896086814,0.557525676625071,-1.1440111420612813
2016-03-31,2016-04-28,MAR,219000000,0.86,254400000,3772000000,404000000,-3667000000,4159000000,4060000000,99000000,352000000,394000000,-14.41430817610063,-0.059721843468775564,0.03577846757065839,0.63759190746031,-1.1341696209435506
2016-06-30,2016-07-28,MAR,247000000,0.97,254300000,3902000000,431000000,-3462000000,4360000000,3681000000,679000000,432000000,468000000,-13.613841918993314,-0.07134604274985558,0.037142857142857144,1.3147366464903896,-1.2593876372039283
2016-09-30,2016-11-09,MAR,70000000,0.26,266200000,3942000000,222000000,5841000000,8822000000,7744000000,1078000000,290000000,344000000,21.94214876033058,0.011984249272384865,0.0027997760179185667,0.007316106954515954,1.5103578154425612
2016-12-31,2017-02-21,MAR,244000000,0.63,387900000,5456000000,529000000,5357000000,8506000000,7648000000,858000000,383000000,450000000,13.810260376385667,0.04554788127683405,0.010107705053852526,0.022436038358414068,1.5878290087735674
2017-03-31,2017-05-09,MAR,371000000,0.96,384900000,4912000000,626000000,5168000000,8470000000,7732000000,738000000,414000000,462000000,13.426864120550793,0.07178792569659442,0.015506792058516197,0.032834949628095286,1.6389318885448916
2017-06-30,2017-08-08,MAR,489000000,1.29,378500000,5211000000,872000000,4901000000,8313000000,7815000000,498000000,668000000,724000000,12.948480845442536,0.09977555600897776,0.020476529458565387,0.04237623035949958,1.696184452152622
2017-09-30,2017-11-08,MAR,485000000,1.3,372300000,5078000000,876000000,4512000000,8669000000,8161000000,508000000,514000000,565000000,12.119258662369058,0.10749113475177305,0.020011553061561313,0.04205588690464353,1.9213209219858156
2017-12-31,2018-02-15,MAR,201000000,0.31,365100000,5875000000,1323000000,3582000000,8238000000,7855000000,383000000,435000000,520000000,9.81101068200493,0.05611390284757119,0.00839318523467513,0.018647793054149285,2.2998324958123955
