date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-09,MCHP,64899000,0.15,432660000,541391000,150710000,2129381000,2687874000,2148796000,539078000,119943000,149886000,4.921603568622013,0.030477871268692638,0.01121595822138085,0.022379479685338526,1.2622795075188518
2015-12-31,2016-02-05,MCHP,61211000,0.15,406588000,540344000,153843000,2126344000,2406474000,2075023000,331451000,192608000,210477000,5.22972640609167,0.02878696955901773,0.011238484230301257,0.02255921535640567,1.1317425590591175
2016-03-31,2016-05-24,MCHP,67355000,0.17,407472000,557647000,159937000,2150919000,2453405000,360654000,2092751000,186120000,202592000,5.278691541995523,0.03131452183926963,0.012097856943358033,0.039299773383175717,1.1406310511925368
2016-06-30,2016-08-09,MCHP,-113363000,-0.26,428333000,799411000,56810000,2532549000,3336504000,2735978000,600526000,205473000,223967000,5.912570359976934,-0.04476241130971207,-0.015405185332955732,-0.012869095617215867,1.317448941757889
2016-09-30,2016-11-08,MCHP,33919000,0.08,431048000,871364000,173176000,2519512000,3105433000,2615445000,489988000,203971000,222123000,5.845084538148884,0.01346252766408733,0.004794614268129746,0.016571393189070933,1.2325533674775115
2016-12-31,2017-02-08,MCHP,107175000,0.25,432420000,834366000,233609000,2566898000,3123994000,2460056000,663938000,275110000,290802000,5.9361222885157945,0.041752730338330546,0.01500087968769617,0.0303385747781272,1.2170308286499891
2017-03-31,2017-05-30,MCHP,136908000,0.31,445406000,902666000,241746000,3270711000,2950500000,2041800000,908684000,299588000,322560000,7.343212709303422,0.04185878850194957,0.01782986845477599,0.040723528147292014,0.9020974338607111
2017-06-30,2017-08-04,MCHP,170587000,0.37,458858000,972141000,367500000,3412554000,2995164000,2222128000,773036000,322862000,344992000,7.437058959416639,0.0499880734488011,0.02162643981769018,0.03929004994711122,0.8776898475452696
2017-09-30,2017-11-07,MCHP,189156000,0.41,466600000,1012139000,388300000,3546124000,3017832000,2191425000,826407000,290236000,350131000,7.599922846120874,0.053341620315589644,0.023482476780831457,0.041724357837255054,0.8510226940738677
2017-12-31,2018-02-07,MCHP,-251086000,-0.54,468200000,994205000,401000000,3185075000,3039600000,2367521000,672079000,298572000,364959000,6.802808628791115,-0.07883205262042495,-0.030907483733275825,-0.05665955704307238,0.9543260362785806
