date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,MDLZ,7266000000,4.52,1609000000,6849000000,8033000000,29868000000,16359000000,14320000000,2039000000,453000000,841000000,18.563082660037292,0.24327038971474488,0.10944419340262088,0.1691117071726547,0.5477099236641222
2015-12-31,2016-02-19,MDLZ,-729000000,-0.46,1589000000,7364000000,-377000000,28012000000,15398000000,13528000000,1870000000,1980000000,2316000000,17.62869729389553,-0.02602456090247037,-0.011600337348630715,-0.015256029122182229,0.5496929887191204
2016-03-31,2016-04-28,MDLZ,554000000,0.35,1569000000,6455000000,821000000,27770000000,17399000000,16061000000,1338000000,-789000000,-454000000,17.69917144678139,0.019949585884047532,0.008659632669011333,0.01257234782245118,0.6265394310406914
2016-06-30,2016-07-27,MDLZ,464000000,0.3,1557000000,6302000000,823000000,27592000000,17280000000,15525000000,1755000000,522000000,791000000,17.72125883108542,0.016816468541606264,0.007333533530369364,0.010930480500051933,0.6262684836184401
2016-09-30,2016-10-26,MDLZ,548000000,0.35,1557000000,6396000000,893000000,27509000000,17106000000,15420000000,1686000000,496000000,801000000,17.667951188182403,0.019920753208041004,0.008661977396664822,0.014832306510189908,0.6218328547020975
2016-12-31,2017-02-24,MDLZ,93000000,0.06,1540000000,6770000000,255000000,25161000000,17199000000,15458000000,1741000000,1385000000,1700000000,16.338311688311688,0.0036961964945749375,0.0015112613344600084,-0.00017016087805909425,0.6835578872063909
2017-03-31,2017-05-03,MDLZ,630000000,0.41,1529000000,6414000000,1024000000,25658000000,18374000000,17067000000,1307000000,-863000000,-557000000,16.780902550686722,0.024553745420531608,0.010148849797023005,0.015166764189584552,0.7161119338997584
2017-06-30,2017-08-02,MDLZ,498000000,0.33,1519000000,5986000000,815000000,25720000000,18781000000,17384000000,1397000000,637000000,819000000,16.932192231731403,0.019362363919129082,0.007935369759548736,0.012396578165904738,0.7302099533437014
2017-09-30,2017-10-31,MDLZ,981000000,0.66,1507000000,6530000000,1460000000,26031000000,18633000000,17789000000,844000000,302000000,535000000,17.273390842733907,0.03768583611847413,0.01549983409963502,0.02235624641039136,0.7158003918404978
2017-12-31,2018-02-09,MDLZ,802000000,0.54,1497000000,6966000000,1037000000,25994000000,17652000000,16891000000,761000000,1503000000,1796000000,17.364061456245825,0.030853273832422867,0.012738853503184714,0.015251146126379901,0.6790797876433023
2018-03-31,2018-05-02,MDLZ,1046000000,0.63,1489000000,6765000000,1466000000,26452000000,18788000000,17658000000,1130000000,123000000,407000000,17.76494291470786,0.03954332375623772,0.01621630001705347,0.021617335677756977,0.7102676546196884
2018-06-30,2018-07-26,MDLZ,318000000,0.22,1475000000,6112000000,563000000,25203000000,19711000000,18465000000,1246000000,527000000,775000000,17.086779661016948,0.012617545530294013,0.005049703052053228,0.007940511785671806,0.7820894337975638
2018-09-30,2018-10-30,MDLZ,1194000000,0.81,1466000000,6288000000,993000000,25457000000,20064000000,18691000000,1373000000,425000000,703000000,17.36493860845839,0.04690262010448992,0.018680183985731718,0.014159391716070677,0.7881525710020819
2018-12-31,2019-02-08,MDLZ,823000000,0.56,1457000000,6773000000,1093000000,25637000000,18372000000,17272000000,1100000000,1778000000,2063000000,17.595744680851062,0.03210204002028318,0.013119928581676736,0.018387178763784758,0.7166205094199789
2019-03-31,2019-05-01,MDLZ,914000000,0.63,1449000000,6538000000,1377000000,25828000000,19890000000,18348000000,1542000000,200000000,465000000,17.82470669427191,0.035387951060864176,0.014245191858109161,0.021013576646769755,0.7700944711166177
2019-06-30,2019-07-31,MDLZ,803000000,0.56,1445000000,6062000000,1322000000,26093000000,19666000000,18418000000,1248000000,381000000,581000000,18.057439446366782,0.030774537232207872,0.01263114844352162,0.018824428066029943,0.7536887287778331
2019-09-30,2019-10-30,MDLZ,1426000000,0.99,1445000000,6355000000,1065000000,26806000000,19949000000,18412000000,1537000000,615000000,836000000,18.550865051903113,0.0531970454375886,0.022317865247671962,0.03192429190983563,0.74419905991196
2019-12-31,2020-02-07,MDLZ,733000000,0.5,1441000000,6913000000,1237000000,27241000000,18829000000,17538000000,1291000000,1844000000,2083000000,18.904233171408745,0.026907969604640064,0.01136169882972952,0.016453290711313445,0.6912007635549355
2020-03-31,2020-04-29,MDLZ,736000000,0.53,1434000000,6707000000,1065000000,25674000000,20223000000,18298000000,1925000000,70000000,284000000,17.90376569037657,0.02866713406559165,0.01157269096512469,0.015342050644819073,0.7876840383267119
2020-06-30,2020-07-29,MDLZ,544000000,0.38,1431000000,5911000000,1039000000,26018000000,20183000000,18581000000,1602000000,1043000000,1274000000,18.18169112508735,0.020908601737258822,0.00847431224101941,0.010578717588592444,0.7757321854101007
2020-09-30,2020-11-03,MDLZ,1119000000,0.78,1432000000,6665000000,1473000000,26943000000,20598000000,17839000000,2759000000,572000000,757000000,18.814944134078214,0.04153212337156219,0.01689082099352443,0.019672832031730245,0.7645028393274691
2020-12-31,2021-02-05,MDLZ,1156000000,0.81,1429000000,7298000000,1345000000,27578000000,20516000000,16897000000,3619000000,1416000000,1649000000,19.298810356892933,0.04191747044745812,0.017047633092464237,0.018066591194601613,0.7439263180796287
2021-03-31,2021-04-28,MDLZ,961000000,0.68,1412000000,7238000000,1491000000,27075000000,19977000000,17949000000,2028000000,699000000,915000000,19.174929178470254,0.03549399815327793,0.014484016337849855,0.021991585655258813,0.7378393351800554
2021-06-30,2021-07-27,MDLZ,1078000000,0.77,1407000000,6642000000,1238000000,27543000000,19504000000,17566000000,1938000000,683000000,877000000,19.575692963752665,0.03913880114729695,0.016216134903801315,0.015514695593354985,0.7081291072141742
2021-09-30,2021-11-02,MDLZ,1258000000,0.9,1399000000,7182000000,1609000000,27698000000,20463000000,17062000000,3401000000,699000000,928000000,19.798427448177268,0.04541844176474836,0.01868770147213928,0.02348396212328874,0.7387898043180013
2021-12-31,2022-02-04,MDLZ,1003000000,0.72,1396000000,7658000000,1509000000,28269000000,19971000000,16425000000,3546000000,1095000000,1421000000,20.25,0.03548056174608228,0.01494962141536994,0.02230533678895816,0.7064629099013053
2022-03-31,2022-04-26,MDLZ,855000000,0.62,1389000000,7764000000,1325000000,28161000000,20212000000,18266000000,1946000000,964000000,1131000000,20.27429805615551,0.03036113774368808,0.012574638938729888,0.018181610852711215,0.7177301942402613
2022-06-30,2022-07-26,MDLZ,747000000,0.54,1382000000,7274000000,1221000000,27511000000,19701000000,17777000000,1924000000,618000000,836000000,19.906657018813313,0.02715277525353495,0.01131578150089375,0.016499112389523347,0.7161135545781687
2022-09-30,2022-11-01,MDLZ,532000000,0.39,1372000000,7763000000,1023000000,26641000000,22187000000,20010000000,2177000000,313000000,549000000,19.417638483965014,0.019969220374610564,0.007819389734846258,0.011982982810696728,0.8328140835554221
2022-12-31,2023-02-03,MDLZ,583000000,0.43,1368000000,8695000000,1194000000,26883000000,23542000000,21619000000,1923000000,1107000000,1392000000,19.651315789473685,0.02168656771937656,0.008192689816050926,0.012773900436467672,0.875720715693933
2023-03-31,2023-03-31,MDLZ,2081000000,1.52,1366000000,9166000000,2681000000,28228000000,22710000000,20793000000,1917000000,900000000,1123000000,20.66471449487555,0.07372112795805583,0.028590663039595527,0.03689006873995823,0.8045203344197251
2023-06-30,2023-07-27,MDLZ,944000000,0.69,1364000000,8507000000,1596000000,28647000000,21718000000,20236000000,1482000000,578000000,850000000,21.002199413489738,0.032952839738890634,0.013106560222145089,0.020794507951135396,0.7581247600097741
2023-09-30,2023-11-01,MDLZ,984000000,0.72,1363000000,9029000000,1774000000,28535000000,20452000000,18842000000,1610000000,892000000,1177000000,20.935436537050624,0.03448396705799895,0.01388653683319221,0.022765358642869937,0.7167338356404416
