date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,META,896000000,0.32,2847027396,4501000000,1945000000,41420000000,126000000,-4182000000,4308000000,1412000000,2192000000,14.548507702523,0.021632061805890872,0.01928167165206912,0.0245151150638757,0.003042008691453404
2015-12-31,2016-01-28,META,1554000000,0.55,2865097070,5841000000,3103000000,44218000000,315000000,-4793000000,4907000000,2135000000,2827000000,15.433333991717076,0.035144058980505676,0.03145303297103649,0.03931629725023218,0.007123795739291691
2016-03-31,2016-04-28,META,1732000000,0.61,2894975245,5382000000,2562000000,47150000000,0,-6456000000,6456000000,1851000000,2983000000,16.28684047693817,0.0367338282078473,0.03325972155544887,0.04155134933587637,0.0
2016-06-30,2016-07-28,META,2276000000,0.8,2912046224,6436000000,3319000000,50383000000,0,-5108000000,5108000000,2203000000,3198000000,17.301579756791664,0.04517396740964214,0.04083316887637022,0.050058983529604244,0.0
2016-09-30,2016-11-03,META,2620000000,0.91,2923190383,7011000000,3708000000,54115000000,0,-6038000000,6038000000,2482000000,3577000000,18.512307756179425,0.04841541162339462,0.04390521835305158,0.05382983397340344,0.0
2016-12-31,2017-02-03,META,3560000000,1.24,2930593502,8809000000,5180000000,59194000000,0,-8903000000,8903000000,3661000000,4930000000,20.198638930852308,0.0601412305301213,0.05480211203645264,0.07148360802209236,0.0
2017-03-31,2017-05-04,META,3059000000,1.06,2939198278,8032000000,3998000000,62188000000,0,-7104000000,7104000000,3787000000,5058000000,21.15815066492088,0.04918955425484016,0.044517856623104465,0.05430208511251957,0.0
2017-06-30,2017-07-27,META,3890000000,1.34,2947970220,9321000000,5130000000,66481000000,0,-6252000000,6252000000,3916000000,5360000000,22.551448976306144,0.05851295858967224,0.05267933317985456,0.06339993534480654,0.0
2017-09-30,2017-11-02,META,4704000000,1.62,2954116986,10328000000,5894000000,71208000000,0,-7201000000,7201000000,4373000000,6128000000,24.10466489223863,0.06605999325918437,0.05954581128636168,0.07193771885363523,0.0
2017-12-31,2018-02-01,META,4268000000,1.47,2953308251,12972000000,8602000000,74347000000,340000000,-7739000000,8079000000,5408000000,7670000000,25.174141566436845,0.057406485803058634,0.05049453409682457,0.06655645429516435,0.004573150227984989
2018-03-31,2018-04-26,META,4988000000,1.72,2944409872,11966000000,6398000000,77620000000,98000000,-11984000000,12082000000,5048000000,7860000000,26.361818963497893,0.0642617881989178,0.05607959975265613,0.07381392260171124,0.0012625611955681525
2018-06-30,2018-07-26,META,5106000000,1.76,2930000000,13231000000,6897000000,79382000000,121000000,-11431000000,11552000000,2840000000,6299000000,27.09283276450512,0.06432188657378247,0.056550486759477686,0.07507835475936452,0.0015242750245647628
2018-09-30,2018-10-31,META,5137000000,1.78,2913000000,13727000000,6888000000,80342000000,70000000,-9567000000,9637000000,4153000000,7496000000,27.58050120151047,0.06393916009061264,0.05556396832951153,0.07097382832347646,0.0008712752981006198
