date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,MGM,66425000,0.12,563287000,2280816000,474765000,5901244000,12964398000,11156603000,1807795000,-116026000,290511000,10.47644273700618,0.011256101255938579,0.0024896678316475556,0.01916668739110446,2.1968923840464822
2015-12-31,2016-02-29,MGM,-781454000,-1.38,564398000,2191873000,-1017066000,5119927000,12696753000,11026441000,1670312000,-198942000,267299000,9.071483244093708,-0.1526299105436464,-0.03099141318772368,-0.07914584895332344,2.4798699278329552
2016-03-31,2016-05-06,MGM,66799000,0.12,565056000,2209686000,520222000,5199899000,12929281000,11264376000,1664905000,-202903000,224596000,9.202448960810964,0.01284621105140696,0.002619847050412024,0.014631016243567246,2.4864484867879164
2016-06-30,2016-08-08,MGM,474353000,0.84,565459000,2269502000,528499000,5532580000,12525365000,10022110000,2503255000,-154022000,389050000,9.784228387911414,0.08573811856312968,0.017867038958637133,0.044483408075662194,2.263928402300554
2016-09-30,2016-11-09,MGM,535619000,0.94,568125000,2515115000,894050000,6190831000,12902397000,11456239000,1446158000,-184378000,435359000,10.896952255225523,0.08651811041199477,0.019332736720350043,0.04215737789202604,2.084113909748142
2016-12-31,2017-03-01,MGM,24669000,0.04,573833000,2460820000,502182000,6220180000,12987595000,11541014000,1446581000,-187198000,484967000,10.839704234507252,0.003965962399801935,0.0008756162439041133,0.009862667463246646,2.0879773575684304
2017-03-31,2017-05-09,MGM,206384000,0.36,574403000,2708179000,708210000,6376495000,13211286000,11815842000,1395444000,-50640000,405435000,11.101082341143762,0.03236637055310167,0.007291924147368775,0.021553362239213014,2.071872713771437
2017-06-30,2017-08-08,MGM,209836000,0.37,574931000,2641737000,676627000,6511408000,13197858000,11440796000,1757062000,117156000,533691000,11.325546891713962,0.03222590260048211,0.00735159258872188,0.020831096198238266,2.0268823578556283
2017-09-30,2017-11-09,MGM,148335000,0.26,573527000,2826740000,712225000,6308543000,13493302000,11506614000,1986688000,46115000,572783000,10.999557126342788,0.023513353241786574,0.005097091632192961,0.015415206075452166,2.1388935606842976
2017-12-31,2018-03-01,MGM,1375433000,2.45,566289000,2597248000,472373000,7577061000,12909094000,11409099000,1499995000,229698000,694502000,13.38020162849711,0.18152592410170645,0.04716841628691756,0.41071466357593917,1.7037072817547596
2018-03-31,2018-05-07,MGM,218846000,0.39,564832000,2822237000,602711000,7370790000,13282469000,11757067000,1525402000,159040000,577664000,13.049526230808453,0.029690982920419655,0.0074695877947742306,0.025693141717663112,1.8020414365352968
2018-06-30,2018-08-03,MGM,117791000,0.21,548433000,2858695000,628313000,6847142000,13653525000,12380653000,1272872000,72350000,515487000,12.484919762304603,0.017202943943619105,0.004064960127217436,0.014777067954885006,1.9940472973979508
2018-09-30,2018-11-07,MGM,138723000,0.26,535130000,3029302000,633480000,6773358000,14806746000,13504069000,1302677000,-59848000,302315000,12.657406611477585,0.020480683288850228,0.0046281859168002155,0.014780302284361058,2.18602737371921
2018-12-31,2019-02-27,MGM,-23327000,-0.0441,528450544,3052862000,644483000,6512283000,15131416000,13604654000,1526762000,64154000,327073000,12.323353763072292,-0.0035820003522574187,-0.0007721434911186783,0.0009649556226983147,2.32351941707693
2019-03-31,2019-05-07,MGM,27472000,0.05,534219000,3176911000,725799000,6786204000,15244328000,14020924000,1223404000,216530000,399782000,12.703037518321137,0.00404821311000966,0.000882013345717222,0.009455022944896944,2.2463704303613627
2019-06-30,2019-08-08,MGM,44397000,0.08,532365000,3223243000,731059000,6520484000,15327656000,14167065000,1160591000,429685000,568051000,12.24814553924469,0.006808850385952945,0.0014408194532856554,0.016598078254949446,2.3506929853673437
2019-09-30,2019-11-05,MGM,-37133000,-0.0716,518599251,3314382000,774034000,6060552000,15621999000,14388430000,1233569000,227107000,388275000,11.686387877178017,-0.006126999652836904,-0.0011913488942220589,-0.11512712925546392,2.577652827663223
2019-12-31,2020-02-27,MGM,2014770000,3.94,511541000,3185136000,613355000,7727265000,15664572000,13334968000,2329604000,198073000,454293000,15.105856617553627,0.2607352019116725,0.059474224441377344,0.010545082407760293,2.027181933064286
2020-03-31,2020-05-01,MGM,814939000,1.64,495415000,2252817000,140818000,8173914000,20227029000,14210612000,6016417000,-496047000,-422937000,16.499124976030195,0.09969997237553514,0.02083235714292105,0.035187643473285304,2.474583045527516
2020-06-30,2020-08-03,MGM,-857257000,-1.74,493444070,289809000,-705195000,7374789000,19844761000,15009256000,4835505000,-729663000,-662565000,14.945541852392713,-0.11624156297895438,-0.022877704887889486,-0.03640251164178267,2.6908920377247405
2020-09-30,2020-11-03,MGM,-534731000,-1.08,493494202,1125920000,-217338000,6861104000,19945800000,15351928000,4593872000,-201466000,-164103000,13.903109645855576,-0.07793658280066881,-0.01445032431625378,-0.02015995084764814,2.9070831749526023
2020-12-31,2021-02-26,MGM,-447605000,-0.91,493180275,1493536000,-51652000,6504726000,21017669000,15916032000,5101637000,-336446000,-243438000,13.189347445008826,-0.06881227587449494,-0.012264852979320362,-0.013519794404148845,3.2311382524029453
2021-03-31,2021-05-03,MGM,-331829000,-0.67,494575362,1647747000,95511000,6306828000,21812920000,15641408000,6171512000,-166524000,-87610000,12.752006033005744,-0.05261424602034494,-0.008888887817386662,-0.008364630721429274,3.458619768923459
2021-06-30,2021-08-06,MGM,104753000,0.21,489459000,2267962000,435141000,6180181000,21140369000,15514137000,5626232000,351548000,456026000,12.626555033210137,0.016949827197617676,0.0028483772926197353,0.010907961764048506,3.420671498132498
2021-09-30,2021-11-03,MGM,1342853000,2.81,478405000,2707539000,578422000,6829954000,24394022000,18823189000,5570833000,379542000,518289000,14.276510487975669,0.19661230514876088,0.03248445758189078,0.05859502329510168,3.5716231763786404
2021-12-31,2022-02-25,MGM,106734000,0.23,465360000,3056892000,605347000,6070645000,24692632000,19989573000,4703059000,318160000,486718000,13.045051143200963,0.01758198675758507,0.002609689656862021,0.010550050994506647,4.067546693967445
2022-03-31,2022-05-02,MGM,-34793000,-0.0786,442916000,2854309000,496002000,5065340000,23567187000,20848072000,2719115000,318899000,420482000,11.436344589041715,-0.006868838024693308,-0.000900206869313471,0.002358580135554524,4.652636743041928
2022-06-30,2022-08-03,MGM,1771525000,4.24,417393000,3264888000,506147000,5733574000,33493102000,27708929000,5784173000,376970000,512231000,13.736631903266227,0.3089739488842387,0.03657746845699853,0.05153780256701172,5.841574905983598
2022-09-30,2022-11-02,MGM,-1061087000,-2.71,392266896,3416072000,365377000,4841690000,33706135000,28410701000,5295434000,180835000,400561000,12.342846284943708,-0.2191563276459253,-0.022418804627622496,-0.028543551501268263,6.961646656436079
2022-12-31,2023-02-24,MGM,284002000,0.69,384018000,3592216000,1659251000,4831529000,33994990000,28083097000,5911893000,114691000,423188000,12.581517012223385,0.05878097802993628,0.006215545819783794,0.02940273752073276,7.036072845676803
2023-03-31,2023-05-01,MGM,466807000,1.25,374085000,3873296000,613263000,4839658000,32023296000,27517978000,4505318000,564233000,704053000,12.937321731691995,0.09645454286232623,0.010720787858609627,0.01782353349759727,6.616851025423697
2023-06-30,2023-08-02,MGM,200796000,0.56,361050000,3942207000,596684000,4416173000,31845963000,28002597000,3843366000,323229000,576706000,12.231472095277663,0.04546832744097661,0.004679923560036563,0.01048740970360452,7.211212740080608
2023-09-30,2023-11-08,MGM,161117000,0.46,347345000,3973183000,561483000,3965717000,31749464000,28433104000,3316360000,484324000,694080000,11.417227828239934,0.04062745778380051,0.0037845359132297244,0.010485294663425423,8.005983281207408
2023-12-31,2024-02-23,MGM,313460000,0.93,337691000,4375563000,625786000,3811170000,31615601000,28687768000,2927833000,387178000,715938000,11.285968533363341,0.08224770870887418,0.007398412614942575,0.015344471648198636,8.2955105649971
2024-03-31,2024-05-01,MGM,217476000,0.68,320488000,4383470000,697218000,3456764000,31385646000,28663354000,2722292000,368178000,540258000,10.785938943111754,0.06291317544385443,0.005168272204224748,0.013604659757466884,9.07948763641371
2024-06-30,2024-07-31,MGM,187072000,0.6,311179000,4327375000,668293000,3212676000,31403596000,28989401000,2414195000,220888000,459130000,10.32420568226005,0.05822933903076438,0.0044737519454825575,0.0154215536714458,9.77490291582469
2024-09-30,2024-10-30,MGM,184578000,0.61,300499000,4183138000,641937000,3231941000,32001492000,29050900000,2950592000,331181000,667431000,10.755247105647607,0.05711057225363953,0.004318527946721263,0.010414738634439142,9.901632486484129
2024-12-31,2025-02-18,MGM,157432000,0.52,297642000,4346562000,523494000,3023481000,31610449000,29194917000,2415532000,267538000,671555000,10.158112766343459,0.05206978314069114,0.003727822278786465,0.011282756456498759,10.454985164451173
2025-03-31,2025-04-30,MGM,148554000,0.52,287125000,4277082000,610497000,2853544000,31471558000,29200995000,2270563000,319038000,547079000,9.938333478450152,0.05205947411359348,0.0035451781350946407,0.009917329221395967,11.028937349485412
2025-06-30,2025-07-30,MGM,48951000,0.18,273329000,4404870000,481315000,2973770000,31591445000,29633425000,1958020000,377428000,645870000,10.879818826396027,0.01646092333973374,0.0011739019235171158,0.006480617755957297,10.623365290523477
