date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,MMC,323000000,0.61,528000000,3115000000,606000000,6248000000,4484000000,3154000000,1330000000,801000000,874000000,11.833333333333334,0.051696542893725994,0.018183865338062263,0.03813193058695552,0.7176696542893726
2015-12-31,2016-02-24,MMC,375000000,0.72,522000000,3338000000,708000000,6513000000,4414000000,3040000000,1374000000,832000000,908000000,12.477011494252874,0.05757715338553662,0.020586297760210804,0.0430989362431733,0.6777214801166896
2016-03-31,2016-05-02,MMC,481000000,0.92,521000000,3336000000,843000000,6679000000,5013000000,4095000000,918000000,-632000000,-581000000,12.81957773512476,0.07201676897739183,0.026533539276257723,0.04852952875971254,0.7505614612966013
2016-06-30,2016-08-01,MMC,472000000,0.91,521000000,3376000000,839000000,6624000000,4757000000,3783000000,974000000,747000000,810000000,12.714011516314779,0.07125603864734299,0.026111971675149368,0.049373748353890905,0.7181461352657005
2016-09-30,2016-10-28,MMC,379000000,0.73,518000000,3135000000,681000000,6671000000,4756000000,3368000000,1388000000,823000000,883000000,12.878378378378379,0.05681307150352271,0.0206449504303301,0.04167518107950422,0.7129365912157097
2016-12-31,2017-02-24,MMC,436000000,0.85,515000000,3364000000,744000000,6192000000,4807000000,3781000000,1026000000,816000000,895000000,12.023300970873786,0.07041343669250646,0.023969213853765804,0.047829138674420936,0.7763242894056848
2017-03-31,2017-04-28,MMC,569000000,1.1,515000000,3503000000,931000000,6532000000,5891000000,4961000000,930000000,-461000000,-399000000,12.683495145631069,0.08710961420698102,0.029996309768569773,0.054165194842891264,0.901867728107777
2017-06-30,2017-07-28,MMC,501000000,0.98,514000000,3495000000,887000000,6993000000,5641000000,4675000000,966000000,660000000,742000000,13.605058365758754,0.07164307164307164,0.025768953811336284,0.04711902726487678,0.8066638066638067
2017-09-30,2017-10-27,MMC,393000000,0.77,512000000,3341000000,717000000,7046000000,5488000000,4410000000,1078000000,721000000,794000000,13.76171875,0.05577632699403917,0.01995937023869985,0.03852632174401548,0.7788816349701958
2017-12-31,2018-02-22,MMC,29000000,0.06,510000000,3685000000,826000000,7359000000,5487000000,4282000000,1205000000,671000000,756000000,14.429411764705883,0.003940752819676587,0.0014195506387977876,0.0026263386927876846,0.7456176110884631
