date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,MOH,46000000,0.84,55000000,3611363000,144000000,1518009000,927251000,-1236959000,2164210000,223575000,258076000,27.600163636363636,0.03030285064186049,0.007776797788549206,0.1906655998143719,0.6108336643590387
2015-12-31,2016-02-26,MOH,29605000,0.54,56000000,3765000000,110624000,1557000000,1609000000,-720000000,2329000000,188000000,219000000,27.803571428571427,0.019014129736673088,0.004501976885644769,0.04941564260112647,1.03339755940912
2016-03-31,2016-05-03,MOH,24000000,0.44,55000000,4343000000,121000000,1590000000,1618000000,-538000000,2156000000,93000000,139000000,28.90909090909091,0.01509433962264151,0.0033412223305025754,0.03172528517110266,1.0176100628930818
2016-06-30,2016-07-27,MOH,33000000,0.58,55000000,4359000000,139000000,1641000000,1627000000,-718000000,2345000000,83000000,139000000,29.836363636363636,0.02010968921389397,0.004582060538739239,0.04692578548212351,0.9914686166971359
2016-09-30,2016-10-27,MOH,42000000,0.77,56000000,4546000000,164000000,1691000000,1635000000,-1207000000,2842000000,314000000,355000000,30.196428571428573,0.024837374334713187,0.005548216644649934,0.111300754581387,0.9668835008870491
2016-12-31,2017-03-01,MOH,-91000000,-1.65,55219344,4463000000,41000000,1649000000,1645000000,-1174000000,2819000000,7000000,40000000,29.86272346879021,-0.05518496058217101,-0.012216404886561954,-0.011610845295055822,0.9975742874469375
2017-03-31,2017-05-04,MOH,77000000,1.38,56000000,4904000000,206000000,1727000000,1654000000,-1544000000,3198000000,693000000,719000000,30.839285714285715,0.044585987261146494,0.009579497387409803,0.5042756434321946,0.9577301679212508
2017-06-30,2017-08-02,MOH,-230000000,-4.11,56000000,4999000000,-240000000,1521000000,1988000000,-991000000,2979000000,-81000000,-47000000,27.160714285714285,-0.15121630506245892,-0.02679715717115228,-0.39664703761567127,1.307034845496384
2017-09-30,2017-11-07,MOH,-97000000,-1.72,56500000,5031000000,-38000000,1429000000,2297000000,-1637000000,3934000000,260000000,285000000,25.292035398230087,-0.06787963610916725,-0.010833147196783561,0.3342835262083049,1.6074177746675997
2017-12-31,2018-03-01,MOH,-262000000,-4.59,57095648,4949000000,-244000000,1337000000,2169000000,-1017000000,3186000000,-154000000,-153000000,23.416846061542202,-0.19596110695587135,-0.030929052059969306,-0.7332476265822785,1.6222887060583395
2018-03-31,2018-04-30,MOH,107000000,1.79,59800000,4646000000,249000000,1553000000,2082000000,-1647000000,3729000000,390000000,394000000,25.96989966555184,0.06889890534449453,0.011715756049490857,-1.3481516700344705,1.340631036703155
2018-06-30,2018-08-01,MOH,202000000,3.29,61200000,4883000000,373000000,1658000000,1701000000,-1691000000,3392000000,-90000000,-80000000,27.091503267973856,0.1218335343787696,0.023051466392787857,-6.763437655240934,1.025934861278649
2018-09-30,2018-11-01,MOH,197000000,3.22,61300000,4697000000,310000000,1561000000,1513000000,-1301000000,2814000000,-515000000,-505000000,25.464926590538337,0.1262011531069827,0.024469010060862006,0.906890406890407,0.9692504804612428
2018-12-31,2019-02-19,MOH,201000000,3.24,62000000,4664000000,303000000,1647000000,1458000000,-1368000000,2826000000,-129000000,-123000000,26.56451612903226,0.122040072859745,0.02809616997483925,0.7879704301075269,0.8852459016393442
2019-03-31,2019-04-30,MOH,198000000,3.19,62100000,4119000000,308000000,1835000000,1553000000,-1671000000,3224000000,243000000,249000000,29.54911433172303,0.10790190735694823,0.026124818577648767,1.3141181988742965,0.8463215258855585
2019-06-30,2019-07-31,MOH,196000000,3.15,62100000,4193000000,301000000,1736000000,1538000000,-715000000,2253000000,-107000000,-93000000,27.954911433172303,0.11290322580645161,0.02929745889387145,0.2084017728861229,0.8859447004608295
2019-09-30,2019-10-30,MOH,175000000,2.81,62200000,4243000000,276000000,1831000000,1487000000,-1192000000,2679000000,232000000,242000000,29.437299035369776,0.09557618787547788,0.0261155051484853,0.29972395172177557,0.8121245221190606
2019-12-31,2020-02-14,MOH,168000000,2.71,62000000,4274000000,263000000,1960000000,1486000000,-966000000,2452000000,2000000,29000000,31.612903225806452,0.08571428571428572,0.024753204655959923,0.1842405786067758,0.7581632653061224
2020-03-31,2020-05-01,MOH,178000000,2.95,60200000,4549000000,294000000,1647000000,1851000000,-514000000,2365000000,115000000,136000000,27.358803986710964,0.10807528840315725,0.02496843877121616,0.17014536942392958,1.1238615664845173
2020-06-30,2020-07-31,MOH,276000000,4.72,58600000,4618000000,440000000,1996000000,2041000000,-1262000000,3303000000,589000000,613000000,34.06143344709898,0.13827655310621242,0.03504316912138141,0.39886869244300344,1.0225450901803608
2020-09-30,2020-10-29,MOH,185000000,3.14,58700000,5021000000,312000000,2201000000,2039000000,-1157000000,3196000000,-177000000,-158000000,37.49574105621806,0.08405270331667423,0.023474178403755867,0.19546444970898774,0.9263970922308041
2020-12-31,2021-02-16,MOH,34000000,0.57,59300000,5235000000,105000000,2096000000,2352000000,-1802000000,4154000000,1289000000,1299000000,35.345699831365934,0.016221374045801526,0.0035669324381032313,0.18367346938775514,1.1221374045801527
2021-03-31,2021-04-29,MOH,228000000,3.95,57700000,6522000000,368000000,2164000000,2351000000,-2080000000,4431000000,552000000,568000000,37.50433275563258,0.10536044362292052,0.02291457286432161,2.9812646370023423,1.0864140480591498
2021-06-30,2021-07-29,MOH,185000000,3.2,57700000,6800000000,304000000,2370000000,2352000000,-2256000000,4608000000,480000000,493000000,41.074523396880416,0.07805907172995781,0.017568850902184234,1.8231535629196447,0.9924050632911392
2021-09-30,2021-10-28,MOH,143000000,2.49,57800000,7040000000,253000000,2518000000,2350000000,-2007000000,4357000000,434000000,461000000,43.56401384083045,0.05679110405083399,0.01296111665004985,0.3237979119066403,0.9332803812549643
2021-12-31,2022-02-14,MOH,103000000,1.78,58000000,7409000000,201000000,2630000000,2392000000,-2046000000,4438000000,576000000,597000000,45.3448275862069,0.039163498098859315,0.008436399377508395,0.2152749798549557,0.9095057034220533
2022-03-31,2022-04-28,MOH,258000000,4.45,58000000,7770000000,412000000,2794000000,2391000000,-2413000000,4804000000,340000000,363000000,48.172413793103445,0.09234073013600573,0.02087378640776699,0.7322834645669292,0.8557623478883322
2022-06-30,2022-07-28,MOH,248000000,4.29,57800000,8054000000,405000000,2830000000,2391000000,-1921000000,4312000000,341000000,368000000,48.96193771626297,0.08763250883392226,0.019726376073814826,0.29488218282906137,0.8448763250883392
2022-09-30,2022-10-27,MOH,230000000,3.99,57600000,7927000000,380000000,3041000000,2392000000,-1850000000,4242000000,223000000,254000000,52.795138888888886,0.07563301545544229,0.01797858203705151,0.2107281265298643,0.7865833607365998
2022-12-31,2023-02-13,MOH,56000000,0.97,58000000,8223000000,152000000,2964000000,2391000000,-1615000000,4006000000,-222000000,-212000000,51.10344827586207,0.018893387314439947,0.004547669319473769,0.055881849803273084,0.8066801619433198
2023-03-31,2023-04-27,MOH,321000000,5.53,58000000,8149000000,499000000,3288000000,2381000000,-2173000000,4554000000,884000000,916000000,56.689655172413794,0.09762773722627738,0.02400717971729863,0.3067705653164743,0.7241484184914841
2023-06-30,2023-07-27,MOH,309000000,5.36,57700000,8327000000,485000000,3621000000,2381000000,-2529000000,4910000000,456000000,487000000,62.755632582322356,0.08533554266777134,0.022619134763194496,0.3013326817413356,0.6575531621099144
2023-09-30,2023-10-26,MOH,245000000,4.24,57800000,8548000000,401000000,3879000000,2378000000,-3187000000,5565000000,923000000,949000000,67.11072664359861,0.0631606084042279,0.01647612642905178,0.38283916010864266,0.6130445991234854
