date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,MO,1528000000,0.78,1958000000,4978000000,2357000000,2887000000,12921000000,11014000000,1907000000,2780000000,2843000000,1.4744637385086823,0.5292691375129892,0.04775149223413232,0.11078452826356912,4.4755801870453755
2015-12-31,2016-02-25,MO,1247000000,0.64,1948437500,4729000000,2574000000,2873000000,12919000000,10550000000,2369000000,1653000000,1720000000,1.4745148356054532,0.4340410720501218,0.038327954510527125,0.11776172699316809,4.496693351896972
2016-03-31,2016-04-28,MO,1217000000,0.62,1956000000,4530000000,2146000000,2745000000,12850000000,9035000000,3815000000,2663000000,2689000000,1.4033742331288344,0.44335154826958106,0.03572791592050025,0.11514633207313764,4.681238615664845
2016-06-30,2016-07-27,MO,1653000000,0.84,1954000000,4881000000,2460000000,3140000000,12837000000,12018000000,819000000,-1682000000,-1631000000,1.6069600818833163,0.5264331210191083,0.052771038181586,0.10382075966356172,4.088216560509554
2016-09-30,2016-10-27,MO,1093000000,0.56,1952000000,5193000000,2435000000,2944000000,13878000000,11580000000,2298000000,2391000000,2442000000,1.5081967213114753,0.37126358695652173,0.033187587295803726,0.10397884650560213,4.713994565217392
2016-12-31,2017-02-27,MO,10276000000,5.3,1939000000,4733000000,15775000000,12770000000,13881000000,9312000000,4569000000,230000000,291000000,6.585869004641568,0.8046985121378231,0.22372202386136028,0.46580254484483113,1.0870007830853563
2017-03-31,2017-05-02,MO,1401000000,0.72,1939000000,4589000000,2295000000,12260000000,13884000000,8656000000,5228000000,2632000000,2665000000,6.322846828261991,0.11427406199021208,0.030341093665403357,0.07190260438259607,1.132463295269168
2017-06-30,2017-07-27,MO,1989000000,1.03,1928155339,5068000000,2592000000,12418000000,13887000000,11632000000,2255000000,-775000000,-717000000,6.440352469962484,0.16017071992269286,0.04548781045602159,0.07222353201734645,1.1182960219036882
2017-09-30,2017-10-26,MO,1866000000,0.97,1915000000,5123000000,2648000000,12166000000,13890000000,11308000000,2582000000,2157000000,2217000000,6.353002610966057,0.15337826730231793,0.042255434782608695,0.07812098607955471,1.1417063948709518
2017-12-31,2018-02-27,MO,4966000000,2.62,1894000000,4714000000,3201000000,15377000000,13894000000,12641000000,1253000000,709000000,757000000,8.118796198521647,0.32294986018078947,0.11494838201935095,0.25561566386532414,0.9035572608441178
2018-03-31,2018-04-26,MO,1894000000,1.0,1894000000,4670000000,2371000000,15394000000,13897000000,11706000000,2191000000,2775000000,2809000000,8.127771911298838,0.1230349486813044,0.04314449076288754,0.06572949306135396,0.9027543198648824
2018-06-30,2018-07-26,MO,1876000000,0.99,1891000000,4879000000,2551000000,15796000000,13900000000,12470000000,1430000000,1003000000,1041000000,8.353252247488102,0.11876424411243353,0.04344905852653033,0.0649245874455813,0.8799696125601418
2018-09-30,2018-10-25,MO,1943000000,1.03,1883000000,5292000000,2619000000,15494000000,13903000000,11510000000,2393000000,2656000000,2716000000,8.228359001593203,0.1254033819543049,0.04420631128705663,0.0705263614661041,0.8973150897121467
2018-12-31,2019-05-29,MO,1250000000,0.67,1865671642,4786000000,2724000000,14786000000,25746000000,24413000000,1333000000,1719000000,1825000000,7.925295999112367,0.08453942918977411,0.022466659477335633,0.04973743959633772,1.7412417151359394
2019-03-31,2019-04-25,MO,1120000000,0.6,1874000000,4389000000,1953000000,14081000000,29168000000,25816000000,3352000000,2251000000,2289000000,7.513874066168623,0.07953980541154748,0.018908378775344823,0.03521435770988925,2.0714437895035864
2019-06-30,2019-07-30,MO,1996000000,1.07,1870000000,5193000000,2803000000,14464000000,29240000000,27444000000,1796000000,62000000,103000000,7.73475935828877,0.13799778761061948,0.034712439783655936,0.05038177583624803,2.021570796460177
2019-09-30,2019-10-31,MO,-2600000000,-1.39,1868000000,5412000000,3002000000,10545000000,27903000000,26299000000,1604000000,2801000000,2882000000,5.645074946466809,-0.24656235182550973,-0.04913726305444787,0.09773591745893885,2.6460881934566145
