date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-28,MPWR,11201000,0.28,39592000,91194000,16832000,354113000,0,-76616000,76616000,20295000,22050000,8.944054354415034,0.031631145990121796,0.026664032241554565,0.040795229022547105,0.0
2015-12-31,2016-02-29,MPWR,10109000,0.26,39615000,86918000,15380000,368516000,0,-90860000,90860000,16723000,24337000,9.302435945980058,0.027431644758979256,0.023439257103771288,0.03562136055094532,0.0
2016-03-31,2016-05-06,MPWR,10575000,0.26,40028000,84512000,13741000,381986000,0,-77808000,77808000,23524000,28870000,9.542969921055262,0.027684260679710776,0.023651791944747626,0.03318020813090187,0.0
2016-06-30,2016-07-29,MPWR,11198000,0.28,40387000,94079000,15072000,395140000,0,-82046000,82046000,1666000,14998000,9.783841335083071,0.028339322771675862,0.023894622962992995,0.03398087586181841,0.0
2016-09-30,2016-11-03,MPWR,14373000,0.35,40590000,106456000,18725000,416298000,0,-109479000,109479000,22561000,32919000,10.256171470805617,0.03452574838216854,0.029044813036519714,0.044693077616296754,0.0
2016-12-31,2017-03-01,MPWR,16574000,0.41,40739000,103618000,21354000,431116000,0,-112703000,112703000,22923000,30999000,10.582390338496282,0.03844440939329554,0.03242644670785677,0.04861346311602294,0.0
2017-03-31,2017-05-05,MPWR,14477000,0.35,41047000,100362000,17900000,451128000,0,-76826000,76826000,18468000,21892000,10.990523058932443,0.032090670497065134,0.026968875045640495,0.03584462654127397,0.0
2017-06-30,2017-07-31,MPWR,15014000,0.36,41323000,112198000,19279000,473793000,0,-71110000,71110000,7774000,24878000,11.4656002710355,0.03168894432800822,0.026430958056213757,0.03510629658942173,0.0
2017-09-30,2017-11-06,MPWR,23642000,0.57,41458000,128939000,28188000,505523000,0,-104424000,104424000,29098000,33678000,12.193617637126732,0.046767407219849545,0.03907684628264186,0.056762675513271715,0.0
2017-12-31,2018-03-01,MPWR,12071000,0.29,41574000,129430000,29402000,522007000,0,-82759000,82759000,12708000,53373000,12.556092750276616,0.023124210978013704,0.01852951966929006,0.02613582469719102,0.0
2018-03-31,2018-05-08,MPWR,21856000,0.52,41922000,129150000,25323000,558306000,0,-76016000,76016000,8892000,16292000,13.317732932589093,0.039146991076578076,0.03132277680085186,0.04550060301884658,0.0
2018-06-30,2018-08-02,MPWR,24206000,0.57,42237000,139761000,28597000,579020000,0,-83075000,83075000,19820000,25418000,13.708833487226839,0.04180511899416255,0.03362168589017046,0.045942077004110925,0.0
2018-09-30,2018-11-02,MPWR,31568000,0.75,42362000,159975000,37064000,610164000,0,-131094000,131094000,47092000,52151000,14.403569236579953,0.05173691007663513,0.041365014014154364,0.0615792743075645,0.0
2018-12-31,2019-03-01,MPWR,27638000,0.65,42467000,153497000,36739000,640093000,0,-172704000,172704000,43121000,47590000,15.072715284809382,0.04317810068224461,0.03483348289456437,0.06058375625178363,0.0
2019-03-31,2019-05-10,MPWR,26181000,0.61,42749000,141363000,25250000,680251000,2154000,-179615000,181769000,-20521000,38836000,15.912676319913917,0.03848726425980998,0.030866213397877176,0.045903068316815274,0.003166478255820278
2019-06-30,2019-08-02,MPWR,20693000,0.48,43109000,151007000,24361000,704154000,1990000,-195022000,197012000,24795000,44057000,16.334268946159735,0.029387037494638956,0.023836758578664297,0.03750465574077406,0.0028260863390678743
2019-09-30,2019-11-01,MPWR,29528000,0.68,43308000,168813000,34547000,734428000,2508000,-202721000,205229000,62933000,72424000,16.958252516856007,0.04020543879046006,0.03223105764980052,0.05284267760271104,0.003414902481931517
