date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,MRK,1826000000,0.65,2802234464,10073000000,4132000000,45587000000,26667000000,19119000000,7548000000,2989000000,3305000000,16.268089121610345,0.040055278917235176,0.018037774616721985,0.030245090076625396,0.5849693991708163
2015-12-31,2016-02-26,MRK,977000000,0.35,2781128073,10215000000,2545000000,44676000000,26412000000,17888000000,8524000000,3754000000,4247000000,16.063985126656913,0.02186856477750918,0.009608859427402461,0.01894667703408964,0.5911899006177813
2016-03-31,2016-05-09,MRK,1125000000,0.41,2769552710,9312000000,3357000000,43806000000,25769000000,16053000000,9716000000,1879000000,2158000000,15.816994506668912,0.025681413504999317,0.011391828261860158,0.020877057801761887,0.5882527507647354
2016-06-30,2016-08-08,MRK,1205000000,0.44,2765627486,9844000000,3225000000,43357000000,24286000000,17678000000,6608000000,1240000000,1615000000,15.677093252608786,0.0277925133196485,0.012490282456594972,0.02206044796410849,0.5601402311045506
2016-09-30,2016-11-07,MRK,2184000000,0.79,2761661188,10536000000,4232000000,43744000000,25143000000,17236000000,7907000000,2562000000,2971000000,15.839741743149704,0.049926847110460866,0.022209793054355012,0.03799343433763936,0.5747759692757864
2016-12-31,2017-02-28,MRK,-595000000,0.43,2748731322,10115000000,-21000000,40088000000,24842000000,18327000000,6515000000,3081000000,3632000000,14.584182775212687,-0.014842346836958691,-0.006238401291716033,-0.008714878815675753,0.6196866892835762
2017-03-31,2017-05-09,MRK,1551000000,0.57,2740435881,9434000000,3378000000,39837000000,28474000000,16766000000,11708000000,-53000000,286000000,14.536738580967368,0.038933654642668875,0.016062385435113555,0.02998752582219722,0.71476265783066
2017-06-30,2017-08-08,MRK,1946000000,0.71,2727128779,9930000000,3794000000,39463000000,24887000000,17101000000,7786000000,2924000000,3317000000,14.470530436215972,0.04931201378506449,0.020968923753286496,0.03722127455345694,0.6306413602615107
2017-09-30,2017-11-07,MRK,-56000000,-0.0205,2727000000,10325000000,1543000000,38248000000,26995000000,19094000000,7901000000,-1612000000,-1171000000,14.025669233590026,-0.0014641288433382138,-0.0006108468955888128,-0.0017298838547661391,0.7057885379627693
2017-12-31,2018-02-27,MRK,-1046000000,-0.32,2696611608,10433000000,3197000000,34336000000,24410000000,18318000000,6092000000,3300000000,4015000000,12.733016463377918,-0.030463653308480894,-0.011903678077203205,-0.02170699443825115,0.7109156570363467
2018-03-31,2018-05-08,MRK,736000000,0.27,2692481383,10037000000,2667000000,33668000000,23556000000,19073000000,4483000000,705000000,1155000000,12.50445043467177,0.021860520375430677,0.008554061435827105,0.015982289548652887,0.699655459189735
2018-06-30,2018-08-07,MRK,1707000000,0.64,2670041946,10465000000,3570000000,32529000000,23338000000,18028000000,5310000000,2799000000,3382000000,12.182954671828965,0.05247625195978973,0.02007290686735654,0.03709851544304597,0.7174521196470841
2018-09-30,2018-11-06,MRK,1950000000,0.73,2658739396,10794000000,3949000000,32422000000,23592000000,15766000000,7826000000,2140000000,2793000000,12.19450091602735,0.060144346431435444,0.022906143545166218,0.043529400405011576,0.7276540620566282
2018-12-31,2019-02-27,MRK,1827000000,0.7,2592559543,10998000000,3902000000,26701000000,25114000000,17149000000,7965000000,2663000000,3592000000,10.299088432546755,0.06842440358039024,0.022108740636760774,0.04370826743173821,0.9405640238193326
2019-03-31,2019-05-08,MRK,2915000000,1.13,2583071214,10816000000,4174000000,27539000000,26969000000,18893000000,8076000000,741000000,1336000000,10.661339823207832,0.10584988561676169,0.035395973480340966,0.06583886808216319,0.9793020806855732
2019-06-30,2019-08-06,MRK,2670000000,1.04,2566795022,11760000000,4465000000,27635000000,27588000000,20929000000,6659000000,2302000000,3084000000,10.766344707364794,0.09661660937217297,0.031798963853986784,0.05833603062148021,0.9982992581870817
2019-09-30,2019-11-05,MRK,1901000000,0.75,2550888630,12397000000,3423000000,26838000000,27111000000,19242000000,7869000000,3267000000,4226000000,10.521039485757557,0.0708324018183173,0.02281263875388511,0.04545776153363632,1.010172143974961
