date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2017-03-31,2017-03-31,MRNA,-80075500,-1.25,64093777,35724000,-75083000,841851000,0,1058138000,-1058138000,-101640000,-92968500,13.134676085636208,-0.09511837605467001,-inf,-0.035722362202147084,0.0
2017-12-31,2017-12-31,MRNA,-37944000,-0.13,296680997,91904000,-35913000,625296000,15687000,-119172000,134859000,-114887000,-102927000,2.107637517478074,-0.06068166116527213,-0.034987906746864195,-0.08227300407139915,0.025087318645889308
2018-03-31,2018-03-31,MRNA,-72376000,-0.19,395000000,29039000,-67196000,625296000,0,756029000,-756029000,-143294000,-111385000,1.5830278481012658,-0.1157467823238914,-inf,-0.052241195779917225,0.0
2018-06-30,2018-06-30,MRNA,-90601000,-0.24,395000000,28851000,-84592000,1148852000,26683000,-113936000,140619000,-82329000,-48249000,2.908486075949367,-0.07886220331252415,-0.05656315806231493,-0.08757043776290005,0.02322579409706385
2018-09-30,2018-09-30,MRNA,-80331000,-0.27,324411226,41757000,-73850000,1076432000,26892000,-140168000,167060000,-106351000,-80211000,3.3181095897094512,-0.07462710138680381,-0.05394383410781917,-0.0857995180846428,0.02498253489305409
2018-12-31,2019-03-13,MRNA,-141426000,-0.44,328798904,35421000,-132383000,1530241000,33489000,-624875000,658364000,-104657000,-91020000,4.6540331533465205,-0.09242073634153052,-0.07207709506260737,-0.15452224437124132,0.021884788082400092
2019-03-31,2019-05-09,MRNA,-132576000,-0.4,328809986,16024999,-123820000,1446033000,33384000,-469550000,502934000,-151522000,-143927000,4.397777018852462,-0.09168255496243861,-0.07340022489116696,-0.13428217675620557,0.023086610056616965
2019-06-30,2019-08-08,MRNA,-135054000,-0.41,329176107,13083000,-126337000,1338554000,33588000,-118036000,151624000,-122806000,-112220000,4.066376542936635,-0.10089544388945086,-0.0801374727864051,-0.10939323968649776,0.025092749339959388
2019-09-30,2019-11-06,MRNA,-123194000,-0.37,330769341,17046000,-114529000,1251807000,33801000,-139910000,173711000,-113759000,-107048000,3.7845315294805393,-0.09841293426223052,-0.0774367197414795,-0.10932702426363847,0.02700176624671375
2019-12-31,2020-02-27,MRNA,-123290000,-0.37,334392128,14055000,-113475000,1174810000,132364000,-103512000,235876000,-102435000,-95773000,3.513270503784108,-0.1049446293443195,-0.07756907857070054,-0.11411176913718798,0.11266843149104962
2020-03-31,2020-05-07,MRNA,-124230000,-0.35,353000000,8389000,-115049000,1640874000,147849000,-243871000,391720000,-112414000,-106191000,4.648368271954674,-0.07570965229505738,-0.060085870123010865,-0.08773289279214373,0.09010381053024182
2020-06-30,2020-08-06,MRNA,-116713000,-0.31,377419354,66351000,-107087000,2946885000,167772000,-1593857000,1761629000,-42507000,-23875000,7.807985914786977,-0.03960554958880309,-0.03348043577664525,-0.08487083456142439,0.056931980718623224
2020-09-30,2020-10-30,MRNA,-233636000,-0.59,394915254,157910000,-221438000,2759798000,212294000,-1293287000,1505581000,873456000,892748000,6.9883297037698116,-0.08465692054273538,-0.050234869883568095,-0.15737453097635096,0.07692374586835703
2020-12-31,2021-02-26,MRNA,-272485000,-0.69,396000000,570745000,-259798000,2561000000,237000000,-2387000000,2624000000,1240988000,1264289000,6.467171717171717,-0.10639789144865287,-0.03713847621643723,-1.5457352492853096,0.09254197579070675
2021-03-31,2021-05-06,MRNA,1221000000,3.05,400000000,1743000000,1278000000,3838000000,234000000,-5208000000,5442000000,2936000000,2971000000,9.595,0.31813444502344973,0.09618717504332755,-0.8933628779979146,0.060969254820218866
2021-06-30,2021-08-05,MRNA,2780000000,6.93,402000000,4215000000,3137000000,6704000000,603000000,-5000000000,5603000000,4033000000,4063000000,16.676616915422887,0.4146778042959427,0.17210425307992325,1.6341185649099736,0.08994630071599045
