date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,MTB,280401000,1.94,132653000,1209725000,476675000,12921934000,10348072000,4385102000,5962970000,670408000,689757000,97.4115474207142,0.02169961555290408,0.0028671720219979615,0.016201561029860923,0.8008144910815982
2015-12-31,2016-02-19,MTB,270965000,1.65,150339000,1353709000,458894000,16173289000,12786040000,3823650000,8962390000,455376000,494568000,107.57879858187164,0.016753858785309533,0.002206773104747045,0.013550323877069385,0.7905652338247341
2016-03-31,2016-04-29,MTB,298528000,1.74,158476000,1393767000,519511000,16355053000,12107861000,1384505000,10723356000,431913000,448220000,103.20208107221282,0.018252952161023264,0.0023953980831166416,0.01682837870030358,0.7403131619322787
2016-06-30,2016-08-04,MTB,336031000,1.98,158068000,1418875000,580368000,16471514000,10735874000,976593000,9759281000,181499000,201811000,104.20524078244806,0.020400735475803865,0.0027138541036117224,0.019258880060742407,0.6517842864960683
2016-09-30,2016-11-04,MTB,349984000,2.1,155713000,1460865000,599813000,16340976000,10425006000,-1684832000,12109838000,393401000,422059000,104.9429142075485,0.021417570162271825,0.0027592333925265883,0.02387967803809788,0.6379671569189013
2016-12-31,2017-02-22,MTB,330571000,1.98,155453000,1448360000,559297000,16486622000,9820719000,3499532000,6321187000,68905000,111321000,106.05534791866351,0.020050863057332183,0.0026777896003640556,0.016540000642444763,0.5956780594593605
2017-03-31,2017-05-05,MTB,348927000,2.13,154257000,1452878000,567645000,16213104000,8272721000,40610000,8232111000,1264295000,1285816000,105.10449444757775,0.021521295367006837,0.0028316652674583304,0.02146752428398826,0.5102490553320327
2017-06-30,2017-08-07,MTB,381053000,2.36,152823000,1491229000,646407000,16283537000,9345033000,2976726000,6368307000,309130000,337471000,106.55161199557658,0.023401119793568192,0.003151892642245168,0.019784413120423124,0.5738945414623371
2017-09-30,2017-11-03,MTB,355923000,2.22,151263000,1516639000,631567000,16318052000,8778413000,1103677000,7674736000,429926000,442579000,107.87867489075319,0.021811610846686848,0.0029561268035485583,0.020429832194037687,0.5379571654753889
2017-12-31,2018-02-22,MTB,322403000,2.01,150491000,1558192000,675368000,16250819000,8491628000,1991837000,6499791000,699618000,716069000,107.98532138134506,0.019839184720474703,0.0027185556994373562,0.017673029629018934,0.5225353872934035
2018-03-31,2018-05-04,MTB,352610000,2.24,148549000,1540846000,503438000,15709694000,10217180000,2790082000,7427098000,474635000,484179000,105.75428983029168,0.022445376720896026,0.0029725308175094535,0.01906023078333489,0.6503742211656064
2018-06-30,2018-08-02,MTB,493160000,3.26,144969000,1586319000,700374000,15577885000,11621732000,3584153000,8037579000,9491000,37063000,107.45666314867316,0.031657699360343204,0.004164286383841569,0.025736302161596798,0.7460404284663804
2018-09-30,2018-11-05,MTB,526091000,3.54,142758000,1626669000,740950000,15436085000,10450378000,2615021000,7835357000,996189000,1018375000,108.12763557909189,0.03408189317433792,0.0045031382428799786,0.029144529980600634,0.6770096173997487
2018-12-31,2019-02-20,MTB,546219000,3.76,139715000,1700877000,742483000,15460191000,12843292000,3132656000,9710636000,511861000,550235000,110.6551980818094,0.03533067605697756,0.00454813331808682,0.0293779107632091,0.8307330743843979
2019-03-31,2019-05-02,MTB,482742000,3.35,137920000,1727074000,706649000,15587529000,12078590000,3208433000,8870157000,382596000,413306000,113.01862674013921,0.030969757939183305,0.004022005211322072,0.025683282398634346,0.7748880531352981
2019-06-30,2019-08-05,MTB,473260000,3.34,135464000,1750008000,699469000,15691827000,12266897000,2203533000,10063364000,14925000,66872000,115.83761737435776,0.03015964935121959,0.003893384959939293,0.02644596141122615,0.7817379709832386
2019-09-30,2019-11-05,MTB,480081000,3.47,132971000,1757248000,712996000,15779811000,12516420000,-1797965000,14314385000,709805000,746670000,118.67107113581157,0.030423748421321395,0.0038253183884874283,0.034336024012852094,0.7931920097141848
2019-12-31,2020-02-20,MTB,493066000,3.6,131492000,1706942000,729462000,15716649000,7048549000,-1574410000,8622959000,1072180000,1130707000,119.52551486021963,0.03137220917766885,0.004113244846783661,0.03486477636249819,0.4484765804720841
2020-03-31,2020-05-07,MTB,268822000,1.93,129755000,1649779000,427409000,15815794000,6380615000,-3813884000,10194499000,-445989000,-394442000,121.88966899156102,0.016997060027463685,0.0021578638312002105,0.022398268275632797,0.40343311249501607
2020-06-30,2020-08-05,MTB,241054000,1.74,128218000,1519515000,389253000,15945105000,6373589000,-15869567000,22243156000,483415000,525519000,124.35933332293438,0.015117743031482075,0.001727527849626718,3.1911620641266647,0.39972072933981934
2020-09-30,2020-11-04,MTB,372136000,2.75,128509000,1521722000,572392000,16101013000,5505008000,-16182161000,21687169000,-37731000,-6012000,125.29093682154557,0.023112583040582602,0.002684445958598335,-4.585892443436683,0.3419044503597382
2020-12-31,2021-02-22,MTB,471140000,3.52,128372000,1590140000,700755000,16187283000,4441675000,-20774878000,25216553000,617203000,664122000,126.09667996136228,0.029105563917057608,0.0033039014669626857,-0.1026986907083123,0.27439286753681885
2021-03-31,2021-05-06,MTB,447249000,3.33,128556000,1522560000,672354000,16446508000,3557460000,-29108756000,32666216000,963721000,994737000,127.93263636080773,0.027194161824504022,0.0029721281867631714,-0.03532145318903879,0.21630488368716325
2021-06-30,2021-08-05,MTB,458069000,3.41,128668000,1483991000,684904000,16720304000,3590683000,-31684609000,35275292000,523531000,536974000,129.9492025989368,0.027395973183262697,0.0030411682881253755,-0.03061077677847384,0.21474986339961283
2021-09-30,2021-11-05,MTB,495460000,3.7,128638000,1562072000,741406000,17528771000,3603939000,-36321561000,39925500000,443614000,486320000,136.264330913105,0.028265529853747307,0.0032617255134939887,-0.02636436633411005,0.20560135105878216
2021-12-31,2022-02-16,MTB,457968000,3.37,128834000,1537155000,680693000,17903405000,3532415000,-39677466000,43209881000,634880000,696928000,138.96490833165157,0.02557993856475905,0.0029525909700106687,-0.021032732479255935,0.1973040882446663
2022-03-31,2022-05-05,MTB,362174000,2.63,128945000,1469143000,558631000,17876020000,3493894000,-33942948000,37436842000,1267860000,1295770000,138.63290550234595,0.020260326403752065,0.0024166916849802144,-0.022541583555985314,0.1954514483649045
2022-06-30,2022-08-05,MTB,217522000,1.08,177367000,2036242000,399939000,25794531000,4136684000,-30989044000,35125728000,1127537000,1187369000,145.43027169653882,0.008432872844247487,0.0010661124344516829,-0.041875340383208205,0.16037058398154244
2022-09-30,2022-11-07,MTB,646596000,3.55,174609000,2344592000,974856000,25256493000,4377142000,-23270196000,27647338000,1097914000,1136982000,144.6459976289882,0.025601179071061055,0.0032663708186627155,0.32552835754169696,0.17330759262578538
2022-12-31,2023-02-22,MTB,765371000,4.32,171094000,2753746000,1111840000,25318000000,7520000000,-18956000000,26476000000,866041000,953619000,147.97713537587526,0.030230310451062486,0.0038129377771135356,0.12030352090537567,0.2970218816652184
2023-03-31,2023-05-05,MTB,702000000,4.03,167732000,2894000000,1039000000,25377171000,14458192000,-9665973000,24124165000,373000000,428000000,151.29594233658455,0.02766265790619451,0.003458870850034313,0.04468150678261454,0.5697322211368635
2023-06-30,2023-08-08,MTB,867000000,5.07,165842000,3319000000,1284000000,25800933000,15324522000,-13630763000,28955285000,1211000000,1257000000,155.57538500500476,0.03360343596876904,0.004174858100208719,0.07123976082503367,0.5939522419596222
2023-09-30,2023-11-06,MTB,690000000,4.0,165909000,3201000000,1037000000,26196502000,13854089000,-18029061000,31883150000,1352508000,1420000000,157.89681090236215,0.026339394473353733,0.003299472836052217,0.08448178566579177,0.5288526307825373
2023-12-31,2024-02-21,MTB,482401000,2.75,166149000,3298106000,754977000,26957000000,13517000000,-16283000000,29800000000,712492000,800279000,162.24593587683344,0.01789520347219646,0.002316295663196712,0.04519402285928424,0.5014282004674111
2024-03-31,2024-05-03,MTB,531000000,3.04,166460000,3300000000,794000000,27169000000,16245000000,-17594000000,33839000000,573000000,608000000,163.21638832151868,0.019544333615517686,0.002468194685247075,0.055456919060052214,0.5979241046781258
2024-06-30,2024-08-05,MTB,655000000,3.75,166951000,3373000000,982000000,28424000000,16083000000,-10487000000,26570000000,1288000000,1354000000,170.2535474480536,0.023043906557838445,0.003136147087692418,0.03651669732954229,0.56582465522094
2024-09-30,2024-11-05,MTB,721000000,4.04,166671000,3391000000,1031000000,28876000000,14188000000,-12445000000,26633000000,-58000000,-28000000,173.251495461118,0.024968832248233826,0.0034043959676086596,0.043880469843588336,0.49134229117606315
2024-12-31,2025-02-19,MTB,681000000,3.88,165979000,3341000000,1011000000,29027000000,13665000000,-7117000000,20782000000,1591000000,1676000000,174.88356960820346,0.02346091569917663,0.0032723865356430646,0.031081697854860795,0.47076859475660593
2025-03-31,2025-05-05,MTB,584000000,3.33,164209000,3171000000,891000000,28991000000,12069000000,-10696000000,22765000000,610000000,635000000,176.54939741427083,0.020144182677382636,0.0027767079844618465,0.03192128996993714,0.41630161084474493
2025-06-30,2025-08-04,MTB,716000000,4.28,156532000,3292000000,1059000000,28525000000,14451000000,-6974000000,21425000000,818000000,844000000,182.23110929394628,0.025100788781770376,0.003383998790078645,0.03322351631014802,0.5066082383873795
