date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,MTD,88861000,3.23,27547734,604154000,140039000,586352000,622792000,499493000,123299000,105208000,126041000,21.284944888752012,0.15154889895489398,0.043271979298248005,0.08675548641296528,1.0621469697383141
2015-12-31,2016-02-04,MTD,123351000,4.58,26931293,673535000,184377000,580457000,589626000,490739000,98887000,111292000,137042000,21.553254052822492,0.21250669730918914,0.06295554359004459,0.11996930870020973,1.0157961743936244
2016-03-31,2016-05-06,MTD,65674000,2.44,26931293,539674000,109539000,543333000,699253000,588658000,110595000,21352000,35700000,20.17478329020445,0.12087246679292442,0.03226790705718594,0.06243407336057798,1.286969501208283
2016-06-30,2016-07-29,MTD,79588000,2.99,26631015,608286000,126693000,491962000,714208000,599562000,114646000,101015000,115525000,18.473272610901237,0.16177672259239534,0.03860221452971679,0.07777120369941433,1.451754403795415
2016-09-30,2016-11-04,MTD,101332000,3.84,26375468,650598000,157731000,500517000,847801000,701668000,146133000,116546000,138922000,18.976611144871438,0.20245466187961647,0.045624904321515725,0.08865785090455652,1.6938505585224877
2016-12-31,2017-02-02,MTD,137776000,5.27,26139024,709699000,206793000,434943000,894030000,735356000,158674000,80208000,152931000,16.639603682218585,0.31676794430534577,0.06358568509818961,0.12253734006212667,2.055510722094619
2017-03-31,2017-05-05,MTD,92466000,3.57,25932112,594567000,139256000,439852000,963687000,798794000,164893000,46584000,67599000,16.961672847934636,0.21022071060265726,0.041958213311407214,0.07950112943720491,2.190934678028064
2017-06-30,2017-07-28,MTD,101580000,3.94,25751374,653656000,152715000,461919000,969389000,823055000,146334000,110264000,137778000,17.937644802953038,0.21990868528897925,0.04518783780778042,0.08382970281519728,2.098612527304571
2017-09-30,2017-11-03,MTD,104950000,4.1,25613433,698799000,167517000,512979000,1069214000,900128000,169086000,108561000,145858000,20.027733103953693,0.20458927168558558,0.04202708714844111,0.0788816907630903,2.0843231399336037
2017-12-31,2018-02-09,MTD,76976000,3.01,25562542,778031000,223633000,547280000,979847000,831160000,148687000,123490000,165090000,21.40945137615813,0.14065195146908346,0.030188975235361137,0.05844489990770561,1.7903943136968279
2018-03-31,2018-05-04,MTD,93304000,3.66,25468323,660821000,147013000,560747000,993598000,894649000,98949000,46790000,76564000,22.017429259083922,0.16639233023092412,0.03714468728340659,0.06884844672232758,1.771918530103594
2018-06-30,2018-07-27,MTD,111468000,4.41,25299414,721996000,173872000,532434000,1072472000,889282000,183190000,108383000,140195000,21.045309587012568,0.2093555257553049,0.0435725521222602,0.08323631485277923,2.014281582318184
2018-09-30,2018-11-09,MTD,126653000,5.04,25126061,734846000,191402000,531615000,1044647000,907199000,137448000,114595000,149674000,21.157912495715106,0.23824196081750892,0.04951901422548075,0.09346024935197654,1.965044251949249
2018-12-31,2019-02-08,MTD,181186000,7.25,24975303,817923000,258465000,590063000,1034691000,856581000,178110000,152511000,198572000,23.625859514096785,0.30706212726437687,0.06918540869321499,0.12892505968693968,1.7535263183761733
2019-03-31,2019-05-10,MTD,111805000,4.5,24851340,679452000,157821000,561750000,1062283000,935803000,126480000,76391000,98795000,22.604414892718058,0.19902981753449042,0.04240343126267448,0.0806916823485786,1.8910244770805518
2019-06-30,2019-08-02,MTD,127160000,5.15,24698032,731366000,187397000,504086000,1139792000,1015353000,124439000,104775000,127070000,20.40996626775769,0.25225854318509144,0.04778909659966823,0.08920563400564573,2.261106239808287
2019-09-30,2019-11-08,MTD,129395000,5.28,24487268,753866000,202677000,438301000,1172856000,1052322000,120534000,148948000,175876000,17.89913844206712,0.29521949527835895,0.04909007238220109,0.0924599926958085,2.6759144971149964
2019-12-31,2020-02-07,MTD,192749000,7.95,24241383,843969000,260734000,420780000,1291218000,1083433000,207785000,175995000,201709000,17.357920544384783,0.45807547887257,0.06910248049614942,0.1320948835520034,3.0686296877228005
2020-03-31,2020-05-08,MTD,98115000,4.08,24027833,649162000,153600000,306397000,1569418000,1245833000,323585000,46680000,65515000,12.751753352039694,0.32022180373828724,0.03399947327932136,0.06906061532628763,5.122171561732001
2020-06-30,2020-07-31,MTD,126562000,5.29,23940278,690673000,188728000,450093000,1200175000,1072898000,127277000,165014000,183237000,18.8006588728836,0.28119077612848903,0.04723084794377767,0.08812699125429763,2.6665044779634433
2020-09-30,2020-11-06,MTD,161767000,6.76,23922272,807357000,239429000,443067000,1224247000,1070561000,153686000,204740000,225079000,18.521108697367875,0.3651073088268817,0.05847276160512641,0.11148338334576584,2.7631193476381677
2020-12-31,2021-02-08,MTD,216295000,9.15,23642415,937985000,304198000,282675000,1334491000,1240237000,94254000,215803000,250869000,11.956265889081129,0.7651720173343947,0.07684890190222306,0.1469162606457665,4.7209374723622535
2021-03-31,2021-05-07,MTD,149663000,6.41,23365077,804390000,219581000,202643000,1613559000,1506905000,106654000,134272000,158877000,8.672901013765117,0.7385549957314094,0.049420347857327775,0.09195535180711507,7.96256964217861
2021-06-30,2021-07-30,MTD,184763000,7.97,23191155,924351000,268216000,191424000,1655030000,1512778000,142252000,222777000,245535000,8.254181389413334,0.96520290036777,0.05878735080676979,0.11326132112101837,8.645885573386828
2021-09-30,2021-11-05,MTD,203688000,8.83,23056924,951950000,286345000,159171000,1693107000,1509435000,183672000,240874000,263307000,6.903392664173244,1.2796803437812165,0.06351037568740703,0.12776046169175506,10.637031871383606
2021-12-31,2022-02-11,MTD,230871000,10.08,22909677,1037239000,325740000,171421000,1800894000,1702330000,98564000,203322000,241106000,7.482471271855993,1.3468069839751255,0.06939736046492753,0.1280767316724005,10.505679000822536
2022-03-31,2022-05-06,MTD,174001000,7.64,22768298,897791000,253575000,84570000,1872094000,1755145000,116949000,71686000,90837000,3.714375136867938,2.0574790114697885,0.05184490833783498,0.09994882273661922,22.136620551022823
2022-06-30,2022-07-29,MTD,212070000,9.39,22593375,978387000,297969000,7262000,1928032000,1818583000,109449000,175916000,219156000,0.321421655684465,29.20269898099697,0.06356195094756971,0.12224165498614312,265.4960066097494
2022-09-30,2022-11-04,MTD,220597000,9.85,22403393,985846000,320271000,-82809000,1978892000,1856756000,122136000,218609000,245431000,-3.696270471173719,-2.663925418734679,0.0669599873727409,0.13155847890189457,-23.897064328756535
2022-12-31,2023-02-10,MTD,265834000,11.97,22209188,1057685000,370144000,24793000,2130693000,2034727000,95966000,271615000,303643000,1.116339777933349,10.722139313515912,0.07611796489228738,0.13574962640885982,85.93929738232566
2023-03-31,2023-05-05,MTD,188426000,8.53,22083456,928738000,277196000,-24469000,2122910000,2033825000,89085000,130066000,153262000,-1.1080240339193286,-7.70060076014549,0.05525839854283416,0.10237502776055359,-86.7591646573215
2023-06-30,2023-07-28,MTD,213927000,9.75,21944645,982117000,315688000,-89705000,2152827000,2069253000,83574000,238060000,266811000,-4.0877854255559845,-2.384783456886461,0.06347238231720614,0.11711484207867624,-23.998963268491167
2023-09-30,2023-11-09,MTD,201631000,9.26,21776944,942462000,304640000,-105872000,2108484000,2038809000,69675000,243336000,264296000,-4.861655519709285,-1.904478993501587,0.061309684893560736,0.1138566798387459,-19.915407284267793
2023-12-31,2024-02-09,MTD,184794000,8.56,21593616,934992000,285534000,-149938000,2196285000,2126478000,69807000,249089000,281505000,-6.943626301403156,-1.2324694206938869,0.055071068720375614,0.10248153804141891,-14.64795448785498
2024-03-31,2024-05-10,MTD,177509000,8.28,21437673,925949000,273529000,-158717000,2086747000,2016556000,70191000,172596000,189987000,-7.403648707581275,-1.1183994153115293,0.05406721722070825,0.10517735999162008,-13.147596035711361
2024-06-30,2024-08-02,MTD,221814000,10.42,21279006,946750000,295756000,-152762000,2057884000,1987074000,70810000,233696000,257506000,-7.179000748437216,-1.452023408962962,0.0682680221743193,0.13188973114584557,-13.471177387046517
2024-09-30,2024-11-08,MTD,211516000,10.01,21288000,954535000,311530000,-154353000,2077485000,2005911000,71574000,233245000,254666000,-7.250704622322435,-1.3703394167913807,0.0637129393450504,0.12372105860242133,-13.45931080056753
2024-12-31,2025-02-07,MTD,252301000,12.0,21024000,1045127000,363260000,-126890000,2131073000,2071711000,59362000,224911000,266187000,-6.035483257229832,-1.9883442351643155,0.07787070304651329,0.1370916124447235,-16.79464890850343
2025-03-31,2025-05-02,MTD,163587000,7.84,20869000,883744000,248252000,-181982000,2074095000,2009804000,64291000,177194000,194449000,-8.720207005606403,-0.8989185743644976,0.050572869827268795,0.09687873482785601,-11.39725357452935
2025-06-30,2025-08-01,MTD,202348000,9.77,20778000,983221000,295887000,-258793000,2183922000,2122097000,61825000,212489000,236366000,-12.455144864760804,-0.7818913185441646,0.05950597932929761,0.11592426056053226,-8.43887585831147
