date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,NDAQ,138000000,0.28,500700000,871000000,269000000,5546000000,2435000000,2145000000,290000000,34000000,66000000,11.076492909926104,0.024882798413270825,0.011724723874256585,0.02038191152690132,0.4390551749008294
2015-12-31,2016-02-26,NDAQ,148000000,0.3,493800000,865000000,278000000,5609000000,2364000000,2063000000,301000000,171000000,213000000,11.35884973673552,0.026386165091816724,0.012477868645139533,0.021316915927454872,0.42146550187199144
2016-03-31,2016-05-05,NDAQ,132000000,0.27,492900000,905000000,261000000,5697000000,2565000000,2234000000,331000000,228000000,251000000,11.558125380401703,0.02317008952080042,0.009623095429029671,0.019033393790675347,0.45023696682464454
2016-06-30,2016-08-03,NDAQ,70000000,0.14,495000000,897000000,219000000,5717000000,3731000000,3387000000,344000000,113000000,141000000,11.54949494949495,0.012244184012594018,0.004636068613815485,0.00937417242458531,0.6526150078712611
2016-09-30,2016-11-08,NDAQ,131000000,0.26,496800000,929000000,282000000,5754000000,3709000000,3452000000,257000000,27000000,61000000,11.582125603864734,0.022766770941953424,0.00884656942193409,0.01687560112096437,0.6445950643030935
2016-12-31,2017-03-01,NDAQ,-224000000,-0.45,497400000,973000000,-329000000,5430000000,3603000000,3200000000,403000000,220000000,269000000,10.916767189384801,-0.041252302025782686,-0.015830388692579505,-0.02407621990472512,0.6635359116022099
2017-03-31,2017-05-10,NDAQ,168000000,0.34,499500000,969000000,295000000,5352000000,3621000000,3235000000,386000000,208000000,244000000,10.714714714714715,0.03139013452914798,0.011594202898550725,0.022749369652882535,0.6765695067264574
2017-06-30,2017-08-02,NDAQ,146000000,0.3,496200000,994000000,292000000,5576000000,3552000000,3196000000,356000000,242000000,270000000,11.237404272470778,0.02618364418938307,0.009959072305593451,0.019325816957445383,0.6370157819225251
2017-09-30,2017-11-07,NDAQ,170000000,0.34,500100000,965000000,314000000,5735000000,3743000000,3213000000,530000000,57000000,95000000,11.467706458708259,0.02964254577157803,0.011279193205944798,0.02159676612068208,0.6526591107236268
2017-12-31,2018-02-28,NDAQ,246000000,0.48,500700000,1024000000,289000000,5880000000,4207000000,3830000000,377000000,258000000,300000000,11.743559017375674,0.04183673469387755,0.015583428354237932,0.0286650904396513,0.7154761904761905
2018-03-31,2018-05-02,NDAQ,177000000,0.35,500700000,1151000000,327000000,5725000000,4115000000,3710000000,405000000,359000000,375000000,11.433992410625125,0.03091703056768559,0.011209626345788475,0.021507207428940137,0.7187772925764192
2018-06-30,2018-08-01,NDAQ,162000000,0.33,497100000,1027000000,376000000,5542000000,3847000000,3525000000,322000000,250000000,279000000,11.148662240997787,0.029231324431613137,0.010699425401228452,0.020038325796845703,0.6941537351136774
2018-09-30,2018-11-06,NDAQ,163000000,0.33,492600000,964000000,297000000,5602000000,3880000000,3556000000,324000000,-13000000,14000000,11.372310190824198,0.029096751160299892,0.010972736452372938,0.020779280488938998,0.6926097822206355
2018-12-31,2019-02-22,NDAQ,-44000000,-0.0896,491334643,1136000000,414000000,5449000000,3831000000,3286000000,545000000,321000000,360000000,11.090201103527724,-0.00807487612405946,-0.002802547770700637,-0.005574713446046878,0.7030647825289044
2019-03-31,2019-05-01,NDAQ,247000000,0.5,495900000,1039000000,398000000,5494000000,3924000000,3452000000,472000000,317000000,337000000,11.07884654164146,0.04495813614852567,0.01703095911190788,0.03087391941282055,0.7142337095012741
