date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,NEM,219000000,0.42,521428571,2033000000,539000000,11544000000,6351000000,3387000000,2964000000,475000000,810000000,22.139178100388367,0.018970893970893972,0.008570086874853252,0.01367572297097541,0.5501559251559252
2015-12-31,2016-02-17,NEM,-254000000,-0.5,508000000,1816000000,228000000,11350000000,6003000000,3640000000,2782000000,-188000000,272000000,22.34251968503937,-0.02237885462555066,-0.010086569772059408,-0.013976105506371104,0.5288986784140969
2016-03-31,2016-04-20,NEM,52000000,0.1,520000000,2032000000,558000000,11349000000,5704000000,3243000000,2461000000,225000000,522000000,21.825,0.004581901489117984,0.0021178674703702196,0.006547059613319011,0.5025993479601727
2016-06-30,2016-07-20,NEM,23000000,0.04,575000000,2038000000,789000000,11423000000,5571000000,2669000000,2902000000,483000000,777000000,19.866086956521738,0.00201348157226648,0.0009310610047362669,0.005068882562397596,0.4877002538737635
2016-09-30,2016-10-26,NEM,219000000,0.4124,531000000,1789000000,650000000,11102000000,5116000000,3017000000,2099000000,613000000,854000000,20.907721280602637,0.01972617546388038,0.009094306714837424,0.012250133951101734,0.4608178706539362
2016-12-31,2017-02-21,NEM,-321000000,-0.6051,529230769,1795000000,-421000000,10721000000,4615000000,1859000000,2756000000,332000000,633000000,20.257703497205394,-0.02994123682492305,-0.015263182920450763,-0.06905995758073837,0.4304635761589404
2017-03-31,2017-04-24,NEM,46000000,0.09,532000000,1647000000,581000000,10755000000,4621000000,1702000000,2919000000,193000000,373000000,20.216165413533833,0.0042770804277080425,0.0021937145309742956,0.008906909197691873,0.4296606229660623
2017-06-30,2017-07-25,NEM,175000000,0.33,533000000,1875000000,749000000,10928000000,4623000000,1518000000,3105000000,343000000,526000000,20.50281425891182,0.016013909224011712,0.00827736259578091,0.015908725695002412,0.42304172767203513
2017-09-30,2017-10-26,NEM,206000000,0.3865,533000000,1871000000,686000000,11138000000,4050000000,1081000000,2969000000,491000000,685000000,20.896810506566606,0.01849524151553241,0.009886734497984257,0.019987218816171656,0.36362003950439936
2017-12-31,2018-02-22,NEM,-542000000,-1.01,533000000,1929000000,736000000,10535000000,4065000000,806000000,3259000000,442000000,751000000,19.765478424015008,-0.051447555766492646,-0.026358021689442204,-0.05825726586490724,0.3858566682486948
2018-03-31,2018-04-26,NEM,192000000,0.36,534000000,1819000000,662000000,10575000000,4095000000,984000000,3111000000,32000000,263000000,19.803370786516854,0.018156028368794326,0.009373626910120588,0.01776888233834286,0.3872340425531915
2018-06-30,2018-07-26,NEM,292000000,0.55,533000000,1668000000,667000000,10813000000,4121000000,994000000,3127000000,141000000,399000000,20.287054409005627,0.027004531582354573,0.014137012829823287,0.0279324686811316,0.3811153241468603
2018-09-30,2018-10-25,NEM,-145000000,-0.27,533000000,1735000000,251000000,10597000000,4190000000,1122000000,3068000000,151000000,425000000,19.881801125703564,-0.013683117863546286,-0.007052872221411547,-0.00688880681007759,0.395394923091441
2018-12-31,2019-02-21,NEM,2000000,0.0038,533000000,2040000000,735000000,10502000000,4261000000,864000000,3397000000,471000000,740000000,19.703564727954973,0.00019043991620643687,9.654839488293506e-05,0.0010818490494717854,0.4057322414778137
2019-03-31,2019-04-25,NEM,87000000,0.1629,534000000,1800000000,678000000,10499000000,4420000000,875000000,3545000000,346000000,571000000,19.66104868913858,0.008286503476521573,0.004166666666666667,0.015864642557099035,0.42099247547385465
2019-06-30,2019-07-25,NEM,-25000000,-0.0326,766000000,2254000000,665000000,19354000000,6917000000,5090000000,1827000000,-81000000,299000000,25.266318537859007,-0.001291722641314457,-0.0006759131586773731,0.0024279097564619758,0.35739382039888395
2019-09-30,2019-11-05,NEM,2178000000,2.6561,820000000,2709000000,3467000000,21430000000,7565000000,4853000000,2712000000,363000000,791000000,26.134146341463413,0.10163322445170322,0.05343080734980252,0.08711588874613213,0.35300979934671023
2019-12-31,2020-02-20,NEM,565000000,0.6907,818000000,2963000000,1435000000,21420000000,6909000000,4666000000,2243000000,775000000,1205000000,26.185819070904646,0.026377217553688142,0.014134187221694102,0.021821326298580596,0.32254901960784316
2020-03-31,2020-05-05,NEM,822000000,1.0186,807000000,2604000000,1475000000,21806000000,6872000000,3163000000,3709000000,608000000,936000000,27.02106567534077,0.037696046959552414,0.020705811229502002,0.03590766275672029,0.31514262129689075
2020-06-30,2020-07-30,NEM,344000000,0.4284,803000000,2323000000,1198000000,22004000000,6803000000,2995000000,3808000000,384000000,664000000,27.402241594022417,0.01563352117796764,0.00862479628933183,0.01806289868175038,0.30917105980730775
2020-09-30,2020-10-29,NEM,839000000,1.0448,803000000,3124000000,1588000000,22661000000,6787000000,1959000000,4828000000,1300000000,1596000000,28.220423412204234,0.03702396187282115,0.02068999531454218,0.026191203833096942,0.2995013459247165
2020-12-31,2021-02-18,NEM,824000000,1.0274,802000000,3366000000,1871000000,23008000000,6702000000,1162000000,5540000000,1288000000,1686000000,28.688279301745634,0.035813630041724616,0.019918296308830283,0.030926191798795716,0.2912899860917942
2021-03-31,2021-04-29,NEM,559000000,0.6979,801000000,2908000000,1418000000,23127000000,6809000000,1291000000,5518000000,442000000,841000000,28.872659176029963,0.02417088251826869,0.013613228453839223,0.023601240149365762,0.29441778008388464
2021-06-30,2021-07-22,NEM,650000000,0.8115,801000000,3036000000,1631000000,23239000000,6261000000,1678000000,4583000000,580000000,995000000,29.012484394506867,0.02797022247084642,0.01597954618088846,0.026679827025725408,0.26941778906149144
2021-09-30,2021-10-28,NEM,3000000,0.0038,799000000,2906000000,685000000,22712000000,6242000000,1606000000,4636000000,746000000,1144000000,28.425531914893618,0.00013208876364917223,7.525398218989088e-05,-0.0006528086191298627,0.2748326875660444
2021-12-31,2022-02-24,NEM,-46000000,-0.0579,795000000,3340000000,667000000,22022000000,6302000000,1310000000,4992000000,858000000,1299000000,27.70062893081761,-0.0020888202706384525,-0.001134010452618085,-0.11138501084642952,0.286168377077468
2022-03-31,2022-04-22,NEM,448000000,0.5649,793000000,2965000000,1298000000,21449000000,6210000000,1938000000,4272000000,257000000,694000000,27.047919293820932,0.02088675462725535,0.011224413098489214,0.020037657230733842,0.28952398713226724
2022-06-30,2022-07-25,NEM,387000000,0.4874,794000000,3163000000,1073000000,21421000000,6173000000,1866000000,4307000000,524000000,1043000000,26.978589420654913,0.018066383455487604,0.009750566893424037,0.01841774885760548,0.2881751552215116
2022-09-30,2022-11-01,NEM,213000000,0.2683,794000000,2673000000,912000000,21219000000,6127000000,3069000000,3058000000,-56000000,473000000,26.724181360201513,0.010038173335218436,0.005441585979613213,0.010129612869860735,0.28875064800414724
2022-12-31,2023-02-23,NEM,-1488000000,-1.8602,794000000,3148000000,-1000000,19354000000,6132000000,3255000000,2877000000,364000000,1010000000,24.375314861460957,-0.07688333161103648,-0.0386674289278104,-0.06368134614094015,0.31683372946161
2023-03-31,2023-04-27,NEM,351000000,0.4421,795000000,2657000000,1131000000,19377000000,6119000000,3462000000,2657000000,-45000000,481000000,24.373584905660376,0.018114259173246633,0.009146818158127899,0.01645840960730665,0.31578675749600044
