date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,NI,-4900000,-0.02,318100000,817200000,248000000,3800300000,6683300000,6651600000,31700000,-290400000,78300000,11.94687205281358,-0.0012893718916927612,-0.00028729061497780826,0.007939282094573412,1.7586243191327
2015-12-31,2016-02-18,NI,59400000,0.19,318800000,1097800000,361500000,3843500000,6995100000,6979600000,15500000,-174400000,262900000,12.056148055207027,0.015454663717965396,0.003395741031870802,0.010360678224219457,1.819981787433329
2016-03-31,2016-05-03,NI,179700000,0.58,320300000,1436600000,514900000,3872300000,7014600000,6990900000,23700000,1900000,302900000,12.089603496721823,0.04640652841980218,0.010285380679281569,0.02167603381461995,1.8114815484337474
2016-06-30,2016-08-02,NI,28600000,0.09,321700000,897600000,269000000,3810600000,7269800000,7254100000,15700000,-187300000,184200000,11.84519738887162,0.0075053797302262115,0.0016234134822786823,0.0074326579258221035,1.907783551146801
2016-09-30,2016-11-01,NI,27200000,0.08,322300000,861300000,253500000,3811600000,7737800000,7721700000,16100000,-366000000,44900000,11.826248836487744,0.007136110819603316,0.0015054906128232376,0.0074793954723489575,2.0300661139678877
2016-12-31,2017-05-08,NI,88800000,0.0,323000000,1297000000,383400000,4071200000,7909300000,7882900000,26400000,-120500000,271300000,12.604334365325077,0.021811750835134605,0.004750720900497007,0.012828971028009648,1.9427441540577717
2017-03-31,2017-05-03,NI,211300000,0.65,323700000,1598600000,561000000,4191100000,7914200000,7885800000,28400000,99100000,411100000,12.947482236638864,0.050416358473909,0.01133833085603593,0.02197945160577171,1.8883348047052086
2017-06-30,2017-08-02,NI,-44400000,-0.14,317142857,990700000,158900000,4122800000,8239900000,8222000000,17900000,-179900000,240300000,12.999819825675594,-0.01076938003298729,-0.0023588539370015993,0.0008452591951486296,1.9986174444552247
2017-09-30,2017-11-01,NI,14000000,0.04,331100000,917000000,247400000,4363000000,8651600000,8632300000,19300000,-606000000,-121800000,13.17728782845062,0.0032088012835205133,0.0007265367549754793,0.006816450422985094,1.9829475131790053
2017-12-31,2018-02-20,NI,-52400000,0.0,337500000,1368300000,416700000,4320100000,9002200000,8973200000,29000000,-266800000,212600000,12.800296296296297,-0.012129348857665331,-0.0026250269265643707,-0.006567336609989676,2.0837943566121155
