date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-28,NOC,516000000,2.78,185800000,5979000000,907000000,5697000000,6417000000,5125000000,1292000000,455000000,557000000,30.66200215285253,0.09057398630858346,0.021530501543853792,0.05258606724755927,1.1263823064770933
2015-12-31,2016-02-01,NOC,459000000,2.53,181300000,5694000000,827000000,5522000000,6416000000,4097000000,2319000000,1496000000,1633000000,30.45780474351903,0.08312205722564288,0.018769935388893433,0.05348110849451041,1.1618978630930823
2016-03-31,2016-04-27,NOC,556000000,3.07,181300000,5956000000,842000000,5621000000,6387000000,5110000000,1277000000,-358000000,-60000000,31.003861003861005,0.0989147838462907,0.023231521330380644,0.05763758044354161,1.1362746842198896
2016-06-30,2016-07-27,NOC,517000000,2.87,180100000,6000000000,903000000,5681000000,6387000000,5248000000,1139000000,431000000,604000000,31.543586896168794,0.09100510473508185,0.02146920808936506,0.052100669702450565,1.1242738954409435
2016-09-30,2016-10-26,NOC,602000000,3.38,178100000,6155000000,956000000,5767000000,6387000000,5284000000,1103000000,601000000,738000000,32.38068500842223,0.10438702965146524,0.024979253112033195,0.058512495382856106,1.1075082365181204
2016-12-31,2017-01-30,NOC,525000000,3.0,174800000,6397000000,959000000,5259000000,7058000000,4517000000,2541000000,1219000000,1531000000,30.085812356979407,0.09982886480319453,0.020496603420004686,0.0596619627243845,1.3420802433922798
2017-03-31,2017-04-26,NOC,640000000,3.72,174800000,6267000000,948000000,5558000000,7060000000,5657000000,1403000000,-655000000,-439000000,31.79633867276888,0.11514933429291112,0.025183960964860506,0.06371064441392771,1.2702410939186757
2017-06-30,2017-07-26,NOC,552000000,3.16,174500000,6375000000,990000000,5919000000,6219000000,4836000000,1383000000,290000000,507000000,33.919770773638966,0.0932589964521034,0.02138457366443265,0.056158543013623816,1.05068423720223
2017-09-30,2017-10-25,NOC,645000000,3.69,174200000,6527000000,969000000,6493000000,6227000000,4349000000,1878000000,721000000,938000000,37.27324913892078,0.09933774834437085,0.02432768830385094,0.06502314072309032,0.9590328045587556
2017-12-31,2018-01-29,NOC,178000000,1.02,174100000,6634000000,973000000,7048000000,14399000000,3174000000,11225000000,1329000000,1607000000,40.48248133256749,0.02525539160045403,0.005097803362259071,0.020875739861621702,2.0429909194097617
