date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,NOW,-41030000,-0.26,156930506,261150000,-12940000,516934000,466831000,117758000,349073000,42297000,63065000,3.29403130835505,-0.07937183470230243,-0.024673940758487643,-0.05192286809588667,0.9030766016551436
2015-12-31,2016-02-25,NOW,-37378000,-0.23,159718874,285650000,-14459000,566814000,474534000,62229000,412305000,78429000,105072000,3.5488229149424133,-0.06594403102252237,-0.02068451820976928,-0.04891260282707098,0.837195270406165
2016-03-31,2016-05-06,NOW,-333332000,-2.06,162067108,305879000,-324152000,302356000,482643000,29193000,453450000,43860000,78687000,1.8656222334762709,-1.1024487690007805,-0.17786785041751976,-0.9807890761544541,1.5962739287462462
2016-06-30,2016-08-03,NOW,-49625000,-0.3,163838755,341312000,-27278000,324282000,490891000,201778000,289113000,-181123000,-148171000,1.9792752941756668,-0.15303038713218742,-0.02894703378213631,-0.07999542838078032,1.5137781313794783
2016-09-30,2016-11-04,NOW,-36258000,-0.22,165378836,357656000,-2792000,362503000,499280000,174213000,325067000,65535000,96718000,2.1919552027806026,-0.10002124120352107,-0.01999763942035636,-0.05057792078037311,1.3773127394807767
2016-12-31,2017-02-28,NOW,-32589000,-0.2,166816643,385666000,-237000,386961000,507812000,106574000,401238000,103237000,132687000,2.31967861863759,-0.08421778938962841,-0.016023959480117436,-0.05158807265115772,1.3123079586831747
2017-03-31,2017-05-05,NOW,-40662000,-0.25,165492307,416783000,-9548000,427339000,516490000,76575000,439915000,154238000,187424000,2.582228792061011,-0.09515162435443524,-0.018735978081919104,-0.06457689965173007,1.20861891846988
2017-06-30,2017-08-08,NOW,-56473000,-0.33,170419083,471703000,-19386000,482426000,1140063000,-33394000,1173457000,86638000,128725000,2.8308214755503642,-0.11706044035769217,-0.019310930151285422,-0.10051687258075584,2.3631873074834275
2017-09-30,2017-11-06,NOW,-24188000,-0.14,170630769,498170000,25491000,551391000,1156629000,51758000,1104871000,95137000,141890000,3.2314863446463162,-0.04386723758639514,-0.007880072258972508,-0.005867121713736777,2.0976566538082775
2017-12-31,2017-12-31,NOW,-27807000,-0.17,166915252,546370000,23633000,778744000,1173436000,446941000,726495000,149632000,184786000,4.665505342795157,-0.03570749822791572,-0.007832417199376381,-0.009882664142383169,1.5068315133086099
2018-03-31,2018-05-08,NOW,10622000,0.06,175482833,589222000,43115000,865163000,1154720000,471866000,682854000,206859000,250080000,4.930185962976789,0.012277455230979596,0.002867335135653134,-0.010474624026073125,1.3346849090864958
2018-06-30,2018-08-08,NOW,-52746000,-0.3,177343176,631056000,9856000,891710000,857131000,152285000,704846000,69905000,125896000,5.028160767798587,-0.059151517870159584,-0.015187953297605103,-0.03135485362622961,0.9612216976371242
2018-09-30,2018-11-07,NOW,8405000,0.05,178719694,673097000,56337000,1020184000,814610000,110981000,703629000,94764000,145501000,5.70829088371201,0.008238709879786392,0.0023468200797332472,0.009833194469289087,0.7984932129890294
2018-12-31,2019-02-27,NOW,7015000,0.04,179763953,715441000,43390000,1111199000,661707000,95503000,566204000,190699000,289612000,6.181433938538278,0.006313000641649246,0.0018083905195481473,0.024475607652827587,0.5954891968045327
2019-03-31,2019-05-03,NOW,-1545000,-0.0085,182061579,788926000,39736000,1194951000,1092771000,453049000,639722000,313724000,360848000,6.563444119091156,-0.0012929400452403488,-0.0003512245688974163,-0.00030131590432960894,0.9144902175905121
2019-06-30,2019-08-06,NOW,-11079000,-0.06,184650000,833904000,40054000,1260946000,1107089000,523508000,583581000,157679000,243735000,6.8288437584619555,-0.008786260474278836,-0.002407063849220773,-0.003213337569916479,0.8779828795206139
2019-09-30,2019-10-25,NOW,40598000,0.22,188074303,885833000,120330000,1429473000,1124330000,501405000,622925000,120109000,210178000,7.600575821355031,0.02840067633316614,0.008534714876026108,0.02392193054452787,0.7865346180025786
2019-12-31,2020-02-20,NOW,598724000,3.17,189042000,951774000,100843000,2127941000,1130870000,355092000,775778000,306879000,421211000,11.25644565757874,0.2813630641075105,0.0994156843666095,0.3009032780018472,0.531438606615503
2020-03-31,2020-04-30,NOW,48231000,0.25,190163000,1046340000,133000000,2266095000,1203121000,394396000,808725000,408361000,491568000,11.916592607394708,0.021283750239950223,0.00778243706731967,0.021341093096373553,0.5309225782679013
2020-06-30,2020-07-30,NOW,40766000,0.21,191319000,1070842000,146000000,2478806000,1198364000,361055000,837309000,251090000,368054000,12.956402657341926,0.016445821092897144,0.006251198954075018,0.014575724747818472,0.4834440452379089
2020-09-30,2020-10-29,NOW,13000000,0.07,193237000,1151972000,153000000,2673716000,2203128000,854834000,1348294000,149796000,241452000,13.83645989122166,0.004862146914631172,0.001687115589090799,0.009777387312068698,0.8239947698259651
2020-12-31,2021-02-12,NOW,16648000,0.0852,195461000,1250330000,114101000,2834000000,2135000000,458000000,1677000000,544835000,685525000,14.499056077683017,0.00587438249823571,0.001910269650028686,0.007974786999512519,0.7533521524347212
2021-03-31,2021-04-29,NOW,82000000,0.42,197000000,1360000000,212000000,3037000000,2108000000,287000000,1821000000,620000000,727000000,15.416243654822335,0.0270003292723082,0.00929494445703922,0.026413351323098615,0.6941060256832401
2021-06-30,2021-07-29,NOW,59000000,0.3,198000000,1409000000,151000000,3275000000,2089000000,727000000,1362000000,209000000,300000000,16.54040404040404,0.01801526717557252,0.006422118210514858,0.016806596701649176,0.6378625954198474
2021-09-30,2021-10-28,NOW,63000000,0.32,199000000,1512000000,178000000,3534000000,2227000000,827000000,1400000000,226000000,320000000,17.758793969849247,0.017826825127334467,0.0066469719350073855,0.01593333962798603,0.6301641199773628
2021-12-31,2022-02-03,NOW,26000000,0.13,199000000,1614000000,143000000,3695000000,2214000000,486000000,1728000000,737000000,844000000,18.5678391959799,0.0070365358592692825,0.0024078533061678087,0.007578928486008132,0.5991880920162381
2022-03-31,2022-04-28,NOW,75000000,0.38,200000000,1722000000,169000000,3997000000,2207000000,-45000000,2252000000,770000000,863000000,19.985,0.018764073054791094,0.006822523423997089,0.02031733746130031,0.5521641230923192
2022-06-30,2022-07-28,NOW,20000000,0.0995,201000000,1752000000,116000000,4194000000,2144000000,480000000,1664000000,282000000,433000000,20.865671641791046,0.004768717215069146,0.0018014772113132769,0.005164298466941112,0.5112064854554125
2022-09-30,2022-10-27,NOW,80000000,0.4,202000000,1831000000,196000000,4523000000,2125000000,877000000,1248000000,103000000,265000000,22.39108910891089,0.017687375635640063,0.007203313524221142,0.01597676107480029,0.4698209153216891
2022-12-31,2023-01-31,NOW,150000000,0.74,203000000,1940000000,288000000,5032000000,2232000000,762000000,1470000000,1018000000,1162000000,24.788177339901477,0.029809220985691574,0.011279043537108053,0.026879134435283534,0.4435612082670906
2023-03-31,2023-04-27,NOW,150000000,0.74,203385000,2096000000,320000000,5600000000,2238000000,386000000,1852000000,737000000,902000000,27.53398726553089,0.026785714285714284,0.011018069634200088,0.025858208159464283,0.39964285714285713
2023-06-30,2023-07-27,NOW,1044000000,5.12,204021000,2150000000,290000000,6926000000,2212000000,549000000,1663000000,448000000,580000000,33.9474857980306,0.15073635576090094,0.0699591235006366,0.14448160535117058,0.31937626335547215
2023-09-30,2023-10-26,NOW,242000000,1.18,204464000,2288000000,424000000,7182000000,2260000000,1148000000,1112000000,175000000,311000000,35.125987948978796,0.03369534948482317,0.016036047975614604,0.029634596313441765,0.31467557783347255
