date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-03,2015-11-12,NUE,226389000,0.71,320819000,4225514000,574173000,7709087000,4415201000,2519776000,1895425000,454761000,562595000,24.02939663797967,0.02936651253254763,0.01482625327876518,0.02960316998691108,0.5727268352270509
2015-12-31,2016-02-26,NUE,-62022000,-0.19,320629000,3456713000,237724000,7416878000,4388460000,2448991000,1939469000,308708000,399744000,23.132274373185208,-0.008362278575972262,-0.004329038472827016,-0.004925555660991778,0.5916856121942413
2016-04-02,2016-05-11,NUE,87196000,0.22,319240000,3715576000,387298000,7426468000,4374530000,2096042000,2278488000,470162000,550859000,23.26296203483273,0.011741247656355619,0.006057337272450411,0.01780165679053201,0.5890458290535958
2016-07-02,2016-08-10,NUE,242768000,0.73,319360000,4245772000,604675000,7573763000,4357512000,2576362000,1781150000,168868000,315513000,23.715440255511023,0.032053815256696046,0.01626631712256215,0.03037031304539301,0.5753430626228996
2016-10-01,2016-11-09,NUE,304413000,0.84,319737000,4290236000,702191000,7727246000,4368142000,2663435000,1704707000,215624000,315718000,24.167506419338395,0.03939475978893386,0.02014155520968786,0.037171853880802935,0.5652909199474172
2016-12-31,2017-02-28,NUE,159639000,0.5,319921000,3956538000,577665000,7879865000,4357100000,2311139000,2045961000,288449000,565853000,24.630658818895913,0.02025910342372617,0.01048634093643795,0.03083235872210174,0.5529409450542617
2017-04-01,2017-05-10,NUE,355707000,1.11,320224000,4815179000,776168000,8134023000,4388061000,2730302000,1657759000,149607000,244142000,25.401041146197663,0.043730759059815785,0.02240609091012166,0.037692028997200956,0.5394699523224854
2017-07-01,2017-08-09,NUE,321910000,1.0,320439000,5174769000,738529000,8377065000,4379891000,2868538000,1511353000,12019000,106719000,26.142463932292884,0.03842753995581985,0.01997861938312731,0.0332318062678673,0.5228431437502276
2017-09-30,2017-11-08,NUE,253950000,0.84,320096000,5170117000,597721000,8519035000,4391858000,2815914000,1575944000,312630000,415707000,26.614000174947517,0.02980971436318785,0.015387333634111927,0.02583603793601591,0.5155346820385173
2017-12-31,2018-02-28,NUE,382581000,1.2,319210000,5092328000,551882000,8739036000,3795075000,2845971000,949104000,132527000,288770000,27.377074653049718,0.043778398441201065,0.02415092286231308,0.038950659843254284,0.43426700610914065
2018-03-31,2018-05-09,NUE,352998000,1.11,319421000,5568419000,737208000,8976027000,3816901000,3056647000,760254000,-44282000,127921000,28.100929494303756,0.03932675336203868,0.02189644646573844,0.03405013871887747,0.4252327895181242
2018-06-30,2018-08-08,NUE,680234000,2.14,318467000,6460774000,1128899000,9373407000,4291412000,2804959000,1486453000,553388000,742671000,29.43289885608242,0.07257062453385413,0.038978111692551075,0.0608634099664725,0.4578284075363419
2018-09-29,2018-11-07,NUE,673849000,2.13,315913000,6742202000,1147330000,9792137000,4285589000,2353434000,1932155000,767614000,1030867000,30.99630911041964,0.06881531579878836,0.03751338940781978,0.06097518211720843,0.4376561520738527
2018-12-31,2019-02-28,NUE,644142000,2.08,309804000,6295884000,1096847000,9792078000,4291146000,2892260000,1398886000,134701000,492493000,31.607332377890536,0.06578195149180797,0.03594424468661408,0.05620000266320145,0.43822628863863217
2019-03-30,2019-05-08,NUE,499838000,1.63,306585000,6096624000,906349000,10114191000,4305230000,2754423000,1550807000,361922000,650708000,32.98984294730662,0.04941947408349318,0.027635669042519535,0.04346384024256665,0.42566231940844307
