date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-25,2015-11-18,NVDA,246000000,0.011,21680000000,1305000000,305000000,4465000000,1417000000,946000000,471000000,238000000,255000000,0.20595018450184502,0.05509518477043673,0.03429049344856426,0.04768970238252389,0.3173572228443449
2016-01-31,2016-03-17,NVDA,208000000,0.0095,21560000000,1401000000,312000000,4469000000,1510000000,914000000,596000000,496000000,511000000,0.20728200371057515,0.046542850749608414,0.028222523744911805,0.04046568301199021,0.3378831953457149
2016-05-01,2016-05-25,NVDA,208000000,0.009,21480000000,1305000000,298000000,4196000000,1509000000,962000000,547000000,264000000,319000000,0.19534450651769086,0.04957102001906578,0.029262802476083285,0.04233362669116499,0.359628217349857
2016-07-31,2016-08-23,NVDA,261000000,0.012,21360000000,1428000000,376000000,4480000000,1508000000,1082000000,426000000,168000000,200000000,0.20973782771535582,0.05825892857142857,0.03498190591073583,0.048701928475901705,0.3366071428571429
2016-10-30,2016-11-22,NVDA,542000000,0.025,21520000000,2004000000,685000000,5324000000,3045000000,1105000000,1940000000,394000000,432000000,0.24739776951672862,0.10180315552216379,0.05638784852267998,0.08647761288986174,0.571938392186326
2017-01-29,2017-03-01,NVDA,654000000,0.03,22120000000,2173000000,791000000,5762000000,2816000000,1050000000,1766000000,670000000,721000000,0.2604882459312839,0.11350225616105519,0.06645666090844426,0.09852309312167169,0.4887191947240542
2017-04-30,2017-05-23,NVDA,507000000,0.022,23680000000,1937000000,599000000,6132000000,2210000000,221000000,1989000000,228000000,282000000,0.2589527027027027,0.08268101761252446,0.0538788522848034,0.08218704995407035,0.3604044357469015
2017-07-30,2017-08-23,NVDA,583000000,0.025,23880000000,2230000000,748000000,5973000000,2073000000,85000000,1988000000,651000000,705000000,0.2501256281407035,0.09760589318600368,0.06200808338651351,0.0983468286099865,0.3470617780010045
2017-10-29,2017-11-21,NVDA,838000000,0.035,24120000000,2636000000,960000000,6352000000,2010000000,-792000000,2802000000,1088000000,1157000000,0.2633499170812604,0.13192695214105793,0.08524923702950153,0.1532426291109969,0.31643576826196473
2018-01-28,2018-02-28,NVDA,1119000000,0.046,24240000000,2911000000,1148000000,7471000000,2000000000,-2002000000,4002000000,942000000,1358000000,0.3082095709570957,0.14977914603132111,0.09954630370963437,0.20745219792203115,0.26770178021683844
