date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-10-30,ON,46300000,0.11,413700000,904200000,160900000,1558300000,1407700000,850900000,556800000,63800000,128300000,3.7667391829828376,0.02971186549444908,0.011721222247538037,0.024521318513772324,0.9033562215234551
2015-12-31,2016-02-24,ON,54100000,0.13,412500000,840300000,145400000,1608200000,1393900000,776300000,617600000,89800000,157200000,3.8986666666666667,0.03364009451560751,0.013980773206532975,0.03150980714411203,0.8667454296729262
2016-04-01,2016-05-09,ON,36000000,0.09,412600000,817200000,138000000,1654000000,1360500000,741000000,619500000,42000000,114900000,4.008725157537567,0.02176541717049577,0.009338279162667634,0.02088403598624232,0.8225513905683193
2016-07-01,2016-08-08,ON,25100000,0.06,414900000,877800000,155100000,1700900000,3471800000,2883700000,588100000,52200000,104200000,4.099542058327308,0.014756893409371509,0.004116238643445177,0.012720926423556498,2.0411546828149802
2016-09-30,2016-11-07,ON,10100000,0.02,415800000,950900000,217800000,1730600000,3636300000,2755800000,880500000,96800000,132700000,4.1620971620971625,0.0058361261990061255,0.0014872844541960566,0.0036265897351680553,2.101178781925344
2016-12-31,2017-02-28,ON,110900000,0.27,417300000,1261000000,179100000,1823200000,3622300000,2594200000,1028100000,177300000,229400000,4.369039060627846,0.06082711715664765,0.016015828086187973,0.08211122648348165,1.9867814831066257
2017-03-31,2017-05-08,ON,78200000,0.19,419800000,1436700000,267700000,1976000000,3259600000,2530700000,728900000,155600000,208500000,4.707003334921391,0.039574898785425104,0.011781721758519902,0.023293974864477145,1.6495951417004049
2017-06-30,2017-08-07,ON,93900000,0.22,420800000,1338000000,294400000,2096500000,3140500000,2268900000,871600000,264400000,333200000,4.98217680608365,0.04478893393751491,0.013739519775251306,0.02686463103843761,1.4979728118292392
2017-09-29,2017-11-06,ON,108700000,0.26,422200000,1390900000,330900000,2212400000,2942900000,2041700000,901200000,236000000,328200000,5.240170535291331,0.049132164165612,0.015842478830542316,0.030907207856227276,1.3301844151148075
2017-12-31,2018-02-21,ON,529900000,1.25,424300000,1377500000,277600000,2778800000,2951800000,2002600000,949200000,42500000,224300000,6.549139759604054,0.19069382467252052,0.07364734333087795,0.1415267218322238,1.062257089391104
2018-03-30,2018-04-30,ON,139600000,0.33,425900000,1377600000,308300000,2928400000,2831600000,1906700000,924900000,115400000,226500000,6.875792439539798,0.04767108318535719,0.019220443061502664,0.03489223738474231,0.966944406501844
2018-06-29,2018-07-30,ON,155300000,0.36,427000000,1455900000,351500000,3072700000,2766800000,1916600000,850200000,113500000,268500000,7.196018735362998,0.050541868714811075,0.02128184396968742,0.036607606047365356,0.9004458619455202
2018-09-28,2018-10-29,ON,166900000,0.39,425500000,1541700000,374300000,3179100000,2714900000,1763900000,951000000,235900000,358200000,7.47144535840188,0.052499134975307477,0.022524224675429836,0.038688380875311894,0.8539838319021107
2018-12-31,2019-02-20,ON,165600000,0.4,416900000,1503100000,357800000,3171600000,2766100000,1696500000,1069600000,294600000,421000000,7.607579755337011,0.05221339387060159,0.02182508303020718,0.040044829883116834,0.8721465506369025
2019-03-29,2019-04-29,ON,114100000,0.28,410600000,1386600000,319800000,3198200000,2769800000,1830200000,939600000,-28900000,138200000,7.7890891378470535,0.035676317928834966,0.015084013061353992,0.027414084454663888,0.866049652929773
2019-06-28,2019-08-05,ON,101800000,0.25,411900000,1347700000,303900000,3274300000,3656500000,2771300000,885200000,-20800000,222600000,7.949259529011896,0.031090614787893597,0.011942049387060824,0.021565775227132745,1.1167272394099501
2019-09-27,2019-10-28,ON,-60700000,-0.15,404666666,1381800000,107100000,3215300000,3615400000,2686700000,928700000,130500000,242200000,7.945551907653298,-0.01887848723291761,-0.007122490407519097,-0.005311338144780829,1.124436288993251
2019-12-31,2020-02-19,ON,56500000,0.14,410800000,1401800000,286800000,3301700000,3612500000,2718300000,894200000,-20500000,91700000,8.037244401168453,0.01711239664415301,0.0067058334816924815,0.014263458765019464,1.094133325256686
2020-04-03,2020-05-11,ON,-14000000,-0.0341,410600000,1277900000,183700000,3214900000,4732600000,2750600000,1982000000,33700000,166000000,7.829761324890404,-0.004354723319543377,-0.0014860733695652175,0.002359457290378581,1.4720831130050702
2020-07-03,2020-08-10,ON,-1400000,-0.0034,410100000,1213500000,200700000,3236100000,4740400000,2680000000,2060400000,81200000,154500000,7.891002194586687,-0.00043261951113995244,-0.0001469384327966582,0.07119555112320616,1.4648496647198788
2020-10-02,2020-11-02,ON,160600000,0.39,410800000,1317300000,282900000,3423400000,4239200000,2585200000,1654000000,101800000,163400000,8.333495618305745,0.046912426242916395,0.017354657445429005,0.04352284985630712,1.2383011041654495
2020-12-31,2021-02-16,ON,89000000,0.22,411300000,1446300000,322800000,3538500000,3491300000,2410600000,1080700000,184000000,400400000,8.603209336250911,0.025151900522820403,0.010267651130595292,0.02117018850998139,0.9866610145541896
2021-04-02,2021-05-03,ON,89900000,0.22,413400000,1481700000,288800000,3629600000,3343600000,2301100000,1042500000,141100000,218500000,8.779874213836479,0.02476856953934318,0.010416666666666666,0.021166132069758897,0.9212034383954155
2021-07-02,2021-08-02,ON,184100000,0.43,427700000,1669900000,413000000,3784400000,3108400000,2017300000,1091100000,380800000,488000000,8.848258124853869,0.04864707747595392,0.021420925253653543,0.037149401845094486,0.8213719479970405
2021-10-01,2021-11-01,ON,309700000,0.72,430600000,1742100000,558900000,4123700000,3113500000,1724300000,1389200000,337000000,448900000,9.576637250348352,0.07510245653175546,0.03463934591251244,0.0583258783687925,0.7550258263210223
2021-12-31,2022-02-14,ON,425900000,0.99,431100000,1846100000,643300000,4585400000,3097500000,1744900000,1352600000,431100000,626600000,10.636511250289956,0.09288175513586601,0.044244753791813834,0.0726755989539744,0.6755135866009508
2022-04-01,2022-05-02,ON,530200000,1.22,433300000,1945000000,791000000,4998200000,3205800000,1560700000,1645100000,304800000,478600000,11.535195015001154,0.10607818814773319,0.05191727703576045,0.08383304688996886,0.6413909007242607
2022-07-01,2022-08-01,ON,455800000,1.05,434200000,2085000000,724000000,5389500000,3212600000,1421000000,1791600000,171300000,420800000,12.412482726853984,0.08457185267650061,0.04224790753288163,0.0696111604890446,0.5960849800538083
2022-09-30,2022-10-31,ON,311900000,0.72,432900000,2192600000,566900000,5656000000,3211800000,761600000,2450200000,706600000,1002400000,13.065373065373066,0.055144978783592646,0.02809732719558226,0.05104987449092185,0.5678571428571428
2022-12-31,2023-02-06,ON,604300000,1.4,432200000,2103600000,918100000,6188500000,3230700000,311700000,2919000000,412000000,731300000,14.318602498843129,0.09764886482992648,0.050448720624452145,0.09559714924854543,0.5220489617839541
2023-03-31,2023-05-01,ON,461700000,1.07,431900000,1959700000,705400000,6448000000,3499800000,797400000,2702400000,70700000,408900000,14.929381801342904,0.07160359801488833,0.03761517968438119,0.06548662470270694,0.5427729528535981
2023-06-30,2023-07-31,ON,576600000,1.34,431700000,2094400000,842900000,6984100000,3482800000,860600000,2622200000,-23100000,390800000,16.178132962705583,0.08255895534141837,0.04517852805440855,0.07492571892284504,0.4986755630646755
2023-09-29,2023-10-30,ON,582700000,1.35,431200000,2180800000,866200000,7484300000,3480800000,801600000,2679200000,133600000,566600000,17.35691094619666,0.07785631254759964,0.04387371718130002,0.07168983401910774,0.46508023462448056
2023-12-31,2024-02-05,ON,562700000,1.31,428100000,2018100000,791800000,7782600000,3359800000,876800000,2483000000,457000000,611200000,18.179397337070778,0.07230231542158147,0.04257975664386464,0.06725619152079032,0.43170662760517053
2024-03-29,2024-04-29,ON,453000000,1.06,428100000,1862700000,705700000,8123900000,3360500000,746100000,2614400000,264800000,498700000,18.976640971735577,0.05576139538891419,0.03359811316556527,0.05234743394931621,0.4136560026588215
2024-06-28,2024-07-29,ON,338200000,0.79,429100000,1735200000,574500000,8339500000,3363400000,1132400000,2231000000,221100000,362200000,19.434863668142626,0.04055399004736495,0.024760593902831873,0.03686401310297009,0.4033095509323101
2024-09-27,2024-10-28,ON,401700000,0.94,427000000,1761900000,632100000,8584100000,3366400000,896200000,2470200000,291700000,465800000,20.10327868852459,0.04679582017916846,0.02885029733689563,0.043944557565615994,0.3921669132465838
2024-12-31,2025-02-10,ON,379900000,0.89,425400000,1722500000,624400000,8796400000,3366900000,675600000,2691300000,434800000,579700000,20.67795016455101,0.043188122413714704,0.02696276739201408,0.041483537562986714,0.38275885589559366
